strategy,split,cost_multiplier,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,realized_avg_cost_bps,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.09273829667230682,0.11842368253438361,0.2070460232506388,0.08862234071625524,1.7299439897943754,0.061393387427599366,0.05958256134476566,0.04033007913073631,1.4773727854988679,2.0828106573834417,-0.0421273279378257,0.5107951953778318,0.11972858202879026,0.09273829667230682,0.09061260876007668,257.745909243401
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.09849125775521715,0.1186030534369171,0.20835103110080244,0.08974797766388537,1.7310769744371182,0.061489179280724886,0.0596728083086748,0.040921160006081016,1.45823843458512,2.055834913416552,-0.04273422445926944,0.5107372942018611,0.11263444015607542,0.09849125775521715,0.09551909619670121,260.84883316023684
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.06253525098702764,0.09297250011094049,0.14933148525836581,0.05635898514742534,1.7058467624844496,0.047888614458904834,0.04677729633705633,0.03473823129170968,1.3465652854991437,1.898397313818898,-0.0296920913746358,0.5092446448703495,0.13489292474810174,0.06253525098702764,0.061822356997130554,166.22783767427842
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.08554709531866893,0.0857379364721085,0.15955457576437113,0.07381663929226263,1.7290668737005577,0.044081307356455796,0.043137367037541736,0.03802425291346951,1.1344698115623195,1.599383606625665,-0.034789113804714056,0.509395088181968,0.09699358560633575,0.08554709531866893,0.0830537179267558,214.7944646980457
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.12928652002256064,0.10053460889493915,0.22528497686991172,0.1247503679749726,1.698021988261523,0.05188313903184534,0.05058202357468104,0.04651075367275545,1.0875339481826203,1.5332130927105057,-0.06070657725817319,0.5079070781982769,0.08358336901195693,0.12928652002256064,0.125229380116652,369.6401454556539
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.12336435420191766,0.09722829085571032,0.22097571903997784,0.12374742818426754,1.6933559969182141,0.050134776258168236,0.048918514273317615,0.046160429651818664,1.0597499772489722,1.4940430529392006,-0.06011107502102797,0.507372271116699,0.08605701807148225,0.12336435420191766,0.120207755007989,367.6787399240598
wf_event_252D_pure_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.0909545967287084,0.06257843517098935,0.06567712969649989,0.00309869452551054,1.2817152354234138,0.031986016017523454,0.03148511659694708,0.030368978708704288,1.0367525657990893,1.46162113876141,-0.027259175035291294,0.46802573443919077,0.0495502135839477,0.0909545967287084,0.0843556119571348,12.163759509362325
wf_event_252D_pure_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.09024957698815567,0.060391387035475495,0.06348857642358544,0.00309718938810994,1.281544882501094,0.030851073566627113,0.030384746072154672,0.03033838072284093,1.001528273698498,1.4119616813069227,-0.027169720461351465,0.4674634794156706,0.048228977054008526,0.09024957698815567,0.08365059221658207,12.159467289279352
wf_event_252D_pure_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.09120135363790186,0.05944710449503413,0.06254579902054466,0.00309869452551054,1.2817152354234138,0.030361435322074838,0.029909648767387925,0.030437417987133532,0.9826605127948531,1.3853617778317788,-0.027011859121769177,0.4680735930735931,0.04699551628687051,0.09120135363790186,0.08460236886632826,12.163759509362325
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,2021_2022,1.0,141840,1.9875560879154308,0.10052876480541455,0.06750996742931747,0.18131441009726884,0.1138044426679514,1.7278650532710018,0.03454976319722743,0.03396632066877801,0.04222199283601163,0.8044698600727284,1.1341473286564268,-0.0632910334511465,0.5092923767445122,0.08341426571048599,0.10052876480541455,0.0979207360197288,331.3828297988175
