root,per_side_cost_bps,contract_multiplier,cost_source
GC,0.55078817788255,100.0,mbp1
SI,1.8695083193124464,5000.0,mbp1
HG,0.8003841844080726,25000.0,mbp1
PL,2.563182447326601,50.0,mbp1
PA,5.593884020137983,100.0,mbp1
