strategy,root,cum_log_contribution,contribution_bp,share_of_gross_pnl,leg_turnover
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,GC,0.020613043391950706,206.13043391950706,0.09080694063231275,338.8180631083216
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,SI,-0.004798727054628281,-47.98727054628281,-0.021139902268408586,189.56879384809838
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,HG,0.13193594216138893,1319.3594216138893,0.5812193298829371,391.7167176791744
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PL,-0.008251229540216233,-82.51229540216234,-0.03634926181228467,330.3252307510919
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PA,0.08749951595906988,874.9951595906988,0.38546289356544333,153.36055137222644
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,GC,0.020613043391950706,206.13043391950706,0.0940753689852093,334.67678968638285
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,SI,-0.0034322311408882186,-34.322311408882186,-0.01566427649144092,187.32537261818408
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,HG,0.14063681477955992,1406.368147795599,0.641848949314203,387.3407894098684
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,PL,-0.025950953829959707,-259.50953829959707,-0.11843692901868744,311.36872013276707
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,PA,0.08724533894771941,872.453389477194,0.3981768872107162,150.42919135816632
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,GC,0.010970295554702946,109.70295554702946,0.0458273833121093,251.66704314610428
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,SI,-0.008452180938616556,-84.52180938616556,-0.0353081950951843,140.91731704484357
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,HG,0.10484173643034381,1048.417364303438,0.43796654507095445,274.61134966571495
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,PL,0.0274594557796227,274.594557796227,0.11470930744570623,245.42048083270214
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,PA,0.10456367255964083,1045.6367255964083,0.4368049592664142,113.43857495640428
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,GC,0.010970295554702946,109.70295554702946,0.049125860344328205,248.24300506162695
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,SI,-0.007111260324562324,-71.11260324562325,-0.031844792132956386,140.0946627524695
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,HG,0.11525825719976057,1152.5825719976058,0.5161356882767612,273.40251738573744
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,PL,0.001678803473591237,16.78803473591237,0.007517816140683676,240.73727544080077
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,PA,0.10251389760727797,1025.1389760727798,0.45906542737118317,113.32666695888744
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,GC,0.007749594260546382,77.49594260546381,0.04548275064130892,204.74894747477344
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,SI,-0.010881943698522096,-108.81943698522096,-0.06386666386554124,112.99011477544087
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,HG,0.09306535556657533,930.6535556657533,0.5462051583950746,224.89085774502647
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,PL,-0.0148771520559254,-148.77152055925401,-0.08731473861249404,190.44166754095158
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,PA,0.09532949314746392,953.2949314746392,0.5594934934416518,89.49898467900272
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,GC,0.007685593603707778,76.85593603707778,0.04145162395971165,168.8165320067172
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,SI,-0.011640308513383291,-116.4030851338329,-0.06278105715074708,89.09993472561243
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,HG,0.09579159209398339,957.9159209398339,0.5166441603243612,200.203799904515
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,PL,-0.005052233724820217,-50.52233724820216,-0.027248811648951664,136.71216204649838
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,PA,0.09862651464562516,986.2651464562516,0.531934084515626,78.47301496201796
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,GC,0.01578647454317469,157.8647454317469,0.07451336487970688,279.65001755393655
