strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,HG,long_cheap,45,0.0,0.4222222222222222,-2.667718785353856,-2.8126790945872964,-42.63793448149093,43.81742535870268,11.696296296296294,3.8333333333333335,-0.4892005460763852
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,PA,short_rich,57,0.0,0.45614035087719296,-0.3458943519679385,-0.6071848417277259,-19.34923607467498,23.378371932664564,2.859649122807017,1.5833333333333333,-0.11149400086011475
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,SI,short_rich,70,0.0,0.5428571428571428,-0.3389629960631787,0.6919606853092453,-16.331440989548472,17.19892156025216,1.9511904761904764,1.0,-0.16699534400897048
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,GC,long_cheap,35,0.0,0.6857142857142857,5.422178650267162,3.8275276494123545,-9.202679888694108,20.85439500865861,1.8571428571428572,0.9166666666666666,2.522455353142193
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,HG,short_rich,49,0.0,0.6326530612244898,8.266497982394789,8.557188097717827,-25.355456259346457,41.51679613087489,10.59013605442177,2.75,1.4632315976201578
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,PA,long_cheap,102,0.0,0.5784313725490197,10.444607779450374,6.168071683380627,-24.81293544430396,55.34317343593248,5.7107843137254894,1.9166666666666667,3.0634066480953583
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,PA,short_rich,106,0.0,0.4528301886792453,-2.310916370941644,-1.3400691871939818,-28.25504746392371,23.381121760114308,8.422955974842766,1.875,-0.865462512814594
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,SI,short_rich,70,0.0,0.5428571428571428,-0.3389629960631787,0.6919606853092453,-16.331440989548472,17.19892156025216,1.9511904761904764,1.0,-0.16699534400897048
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,PL,short_rich,105,0.0,0.5333333333333333,2.703726119214632,1.1762930004022287,-18.890034899298136,33.30020280493597,5.723015873015874,1.8333333333333333,1.2147422471864018
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,GC,long_cheap,35,0.0,0.6857142857142857,5.422178650267162,3.8275276494123545,-9.202679888694108,20.85439500865861,1.8571428571428572,0.9166666666666666,2.522455353142193
