spec,base_strategy,timing,z_buffer,selection_policy,rebalance_ts,root,side,train_event_count,train_hit_rate,train_mean_trade_return_bp,train_tstat,selected,strategy
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2022-01-01 00:00:00+00:00,PA,short_rich,102,0.5980392156862745,5.746296066685003,1.356897213838731,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2022-01-01 00:00:00+00:00,PL,long_cheap,155,0.5483870967741935,1.6793858051438744,0.8049854622319877,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2022-01-01 00:00:00+00:00,PL,short_rich,209,0.569377990430622,3.8207684244850766,2.8922337125533906,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2022-01-01 00:00:00+00:00,SI,long_cheap,290,0.49310344827586206,0.20368569550082766,0.18422051519834656,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2022-01-01 00:00:00+00:00,SI,short_rich,82,0.5853658536585366,3.409677906104289,1.241673437305358,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,GC,long_cheap,51,0.6862745098039216,5.636774380032535,3.3185161131113348,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,GC,short_rich,139,0.49640287769784175,-0.8716350794480946,-0.33599526311344763,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,HG,long_cheap,160,0.6125,6.734882026886359,2.109185517729491,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,HG,short_rich,57,0.5087719298245614,7.519000276757996,1.5080557894528326,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,PA,long_cheap,140,0.6785714285714286,10.836257263614227,3.1666403692282064,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,PA,short_rich,114,0.6052631578947368,6.229031273840945,1.618220393127817,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,PL,long_cheap,160,0.55625,2.7204294641367173,1.2522066960784486,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
