split,gross_return,cost_return,net_return,sharpe,tstat,max_drawdown,events,bars
full,0.130180272088171,0.06249647355523967,0.07294547187502692,2.6332808278837914,4.559415008274714,-0.009384060926352656,275,930
2023,0.00992275889492496,0.006242739843042576,0.0043311373335300435,2.4625829396881946,1.7761210221545871,-0.0008307299428073562,35,163
2024,0.03368564449844709,0.021406335715869064,0.014702918535750679,1.3983898355317175,1.3959949205431796,-0.009384060926352654,83,310
2025,0.05049035869295618,0.02374274617689695,0.02862492032090792,2.9727238726473795,2.963553494377372,-0.003712800829356225,99,311
2026,0.03608151000184275,0.01110465181943108,0.025286495684838275,5.545439223950272,3.794363140738456,-0.0017438512193764452,58,146
