root,direction,beta,tstat,corr,observations
6E,-1.0,-0.04982523051850655,-0.25925723353674535,-0.02406445895821431,118.0
6J,1.0,0.028116172182764167,0.15410529054860203,0.014306852590395758,118.0
CL,1.0,0.01760516539747679,0.05767640196800834,0.005355042700597374,118.0
ES,1.0,0.010985562731640081,0.05152669760035956,0.0047840790194890485,118.0
NQ,-1.0,-0.07395636652095769,-0.3478920624053205,-0.03228412961617667,118.0
ZB,1.0,0.13786712911988555,0.891286925921143,0.08247200257873909,118.0
ZF,-1.0,-0.12670089296363,-0.7939771815013672,-0.0735194313219723,118.0
ZN,1.0,0.022443296707314556,0.13926345602521695,0.012929206494252731,118.0
