root,label,observations,total_gross_return,total_cost_return,total_net_return,mean_net_bps,event_tstat,annualized_sharpe,hit_rate,max_drawdown
6E,6E_event_trades,81,0.000721065872297918,0.022199999999999998,-0.021478934127702076,-2.651720262679268,-2.22678173585295,-3.927673798058418,0.32098765432098764,-0.024574853705257527
6J,6J_event_trades,81,0.010019732561726533,0.0231,-0.013080267438273464,-1.6148478318856128,-1.1534582993556666,-2.034509205185725,0.4074074074074074,-0.013979324548924746
CL,CL_event_trades,80,-0.20907027776798182,0.0237,-0.23277027776798181,-29.096284720997726,-3.266963076683843,-5.798284263030661,0.4,-0.2479506434078024
ES,ES_event_trades,81,-0.03510444059458918,0.0243,-0.05940444059458917,-7.333881554887552,-3.232290950402458,-5.70122534651301,0.41975308641975306,-0.06024312095050133
NQ,NQ_event_trades,81,0.04835127951850658,0.0243,0.024051279518506583,2.969293767716862,0.967715158492575,1.7068890995458725,0.5308641975308642,-0.022863218212003652
ZB,ZB_event_trades,81,-0.009146064655580755,0.0219,-0.031046064655580755,-3.832847488343303,-1.8633513022971715,-3.2866427673511027,0.37037037037037035,-0.03353844663130425
ZF,ZF_event_trades,81,0.00313187603708924,0.0225,-0.01936812396291076,-2.391126415174168,-3.176609849265626,-5.603013115623481,0.32098765432098764,-0.0210301031866526
ZN,ZN_event_trades,81,-0.007789533037933444,0.0207,-0.028489533037933442,-3.5172263009794373,-3.376023294631655,-5.9547453719708665,0.25925925925925924,-0.02874019384479967
