group,label,observations,total_gross_return,total_cost_return,total_net_return,mean_net_bps,event_tstat,annualized_sharpe,hit_rate,max_drawdown
Currencies,Currencies,1351,0.09704145811285718,0.038327949597317404,0.05871350851553979,0.43459295718386226,0.7889996871991772,0.34076064130905653,0.4900074019245004,-0.04489346152701521
Equities,Equities,1351,-0.01108920633921981,0.015300000000006744,-0.02638920633922657,-0.19533091294764302,-0.26084240368430495,-0.11265508238106722,0.49222797927461137,-0.10894523087895884
Fixed income,Fixed income,1351,-0.008911528267066836,0.035807848602727316,-0.04471937686979413,-0.331009451293813,-0.7292973004759437,-0.3149758103166526,0.47298297557364916,-0.07312881457902926
Metals,Metals,1351,0.42921330298852245,0.04170478206072126,0.3875085209278012,2.8683088151576697,1.6377469904994482,0.7073256477016653,0.5166543301258327,-0.1320949536751594
