,logret,logret,logret,logret,logret,cum_logret,cum_logret,cum_logret,cum_logret,cum_logret,logret_bps,logret_bps,logret_bps,logret_bps,logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps
,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA
2025-10-09 00:00:00+00:00,-0.0004963887818778545,-0.0006236358169067202,9.885818800992041e-05,-0.0011927482330085226,0.002387857180995212,-0.0004963887818778545,-0.0006236358169067202,9.885818800992041e-05,-0.0011927482330085226,0.002387857180995212,-4.963887818778545,-6.236358169067202,0.9885818800992041,-11.927482330085226,23.87857180995212,-4.963887818778545,-6.236358169067202,0.9885818800992041,-11.927482330085226,23.87857180995212
2025-10-09 00:01:00+00:00,0.0003474980177937681,0.0006236358169067202,9.884841603469141e-05,0.0008946945215235758,-0.0017050302510845938,-0.0001488907640840864,0.0,0.00019770660404461182,-0.00029805371148494686,0.0006828269299106182,3.474980177937681,6.236358169067202,0.9884841603469141,8.946945215235758,-17.05030251084594,-1.4889076408408641,0.0,1.9770660404461182,-2.9805371148494686,6.828269299106182
2025-10-09 00:02:00+00:00,0.00022332783377976284,0.0,0.0004940955681329573,-0.00029814257398630417,0.0010233669663382017,7.443706969567643e-05,0.0,0.0006918021721775691,-0.000596196285471251,0.00170619389624882,2.2332783377976284,0.0,4.940955681329573,-2.9814257398630417,10.233669663382017,0.7443706969567643,0.0,6.918021721775691,-5.96196285471251,17.0619389624882
2025-10-09 00:03:00+00:00,0.0004465060972638213,0.0011423231939522438,0.0004938515582617597,0.0001192676964860695,0.0010223207569550752,0.0005209431669594977,0.0011423231939522438,0.0011856537304393289,-0.00047692858898518153,0.002728514653203895,4.465060972638213,11.423231939522438,4.9385155826175975,1.192676964860695,10.223207569550752,5.209431669594977,11.423231939522438,11.856537304393289,-4.769285889851815,27.28514653203895
2025-10-09 00:04:00+00:00,-0.00019842254144997185,-0.0007267819455041291,9.874105167240188e-05,5.962851437324446e-05,0.0027210901143606137,0.00032252062550952587,0.0004155412484481147,0.0012843947821117307,-0.0004173000746119371,0.005449604767564509,-1.9842254144997185,-7.267819455041291,0.9874105167240188,0.5962851437324446,27.210901143606137,3.2252062550952587,4.155412484481147,12.843947821117307,-4.173000746119371,54.49604767564509
2025-10-09 00:05:00+00:00,0.0006199397617105973,0.0008305648317992187,0.0006909145021429808,0.0003576964387725923,0.0016969289665098586,0.0009424603872201232,0.0012461060802473334,0.0019753092842547115,-5.9603635839344804e-05,0.007146533734074367,6.199397617105973,8.305648317992187,6.909145021429808,3.5769643877259227,16.969289665098586,9.424603872201232,12.461060802473334,19.753092842547115,-0.596036358393448,71.46533734074367
2025-10-09 00:06:00+00:00,0.00014872837269130912,-0.0004151961861595943,-0.0004934616433713845,0.0,-0.0033967423963590093,0.0010911887599114323,0.0008309098940877391,0.001481847640883327,-5.9603635839344804e-05,0.003749791337715358,1.4872837269130912,-4.151961861595943,-4.934616433713845,0.0,-33.96742396359009,10.911887599114323,8.30909894087739,14.81847640883327,-0.596036358393448,37.49791337715358
2025-10-09 00:07:00+00:00,-0.0001735185855160637,-0.0002076627564311373,9.871181094833759e-05,0.0,,0.0009176701743953686,0.0006232471376566018,0.0015805594518316646,-5.9603635839344804e-05,0.003749791337715358,-1.735185855160637,-2.076627564311373,0.9871181094833759,0.0,,9.176701743953686,6.232471376566018,15.805594518316646,-0.596036358393448,37.49791337715358
2025-10-09 00:08:00+00:00,0.00029744200100267904,0.0009341429917970601,-9.871181094833759e-05,-0.0004769570232907583,,0.0012151121753980476,0.0015573901294536618,0.001481847640883327,-0.0005365606591301031,0.003749791337715358,2.9744200100267904,9.3414299179706,-0.9871181094833759,-4.769570232907583,,12.151121753980476,15.573901294536618,14.81847640883327,-5.365606591301031,37.49791337715358
2025-10-09 00:09:00+00:00,-0.00034702427039334793,-0.0007264802353659228,-9.872155593204646e-05,-0.000715862346385876,-0.001021276684511463,0.0008680879050046997,0.0008309098940877391,0.0013831260849512805,-0.001252423005515979,0.002728514653203895,-3.4702427039334793,-7.264802353659228,-0.9872155593204646,-7.15862346385876,-10.21276684511463,8.680879050046997,8.30909894087739,13.831260849512805,-12.52423005515979,27.28514653203895
2025-10-09 00:10:00+00:00,0.0006691532982436854,0.0005189683026851633,-0.0003949837120571509,0.00023867772653396457,,0.001537241203248385,0.0013498781967729023,0.0009881423728941297,-0.0010137452789820145,0.002728514653203895,6.691532982436854,5.1896830268516325,-3.949837120571509,2.3867772653396457,,15.372412032483851,13.498781967729023,9.881423728941297,-10.137452789820145,27.28514653203895
2025-10-09 00:11:00+00:00,-0.00017344119767415123,-0.00010377211652556895,-0.0007904357688495178,0.00035790981054972804,,0.0013638000055742339,0.0012461060802473334,0.00019770660404461182,-0.0006558354684322865,0.002728514653203895,-1.7344119767415123,-1.0377211652556895,-7.904357688495178,3.5790981054972804,,13.638000055742339,12.461060802473334,1.9770660404461182,-6.558354684322865,27.28514653203895
