,bars,cum_logret_bps,min_1m_logret_bps,max_1m_logret_bps,realized_vol_1m_bps
GC,1380,-58.48188181097669,-21.65391923208304,24.211254922903436,4.362071791001556
SI,1377,-74.04737384506089,-84.44213148020019,44.47899756087281,8.711320941340443
HG,1315,199.67385513868675,-37.64664902868864,59.25358043574525,6.14691150143404
PL,1308,-56.78267550566218,-49.91440738796982,36.14497461657429,8.28039018108313
PA,1058,139.05599682558113,-130.45155815112787,80.18753291236358,17.611301925552745
