universe,roots,symbols,start,end,record_count,billable_size_bytes,cost_usd,billable_size_gb
full6,"GC,SI,HG,PL,PA,ALI","GC.FUT,SI.FUT,HG.FUT,PL.FUT,PA.FUT,ALI.FUT",2016-06-16T00:00:00Z,2026-06-16T00:00:00Z,32972141,1846439896,0.0,1.846439896
core4,"GC,SI,HG,PL","GC.FUT,SI.FUT,HG.FUT,PL.FUT",2016-06-16T00:00:00Z,2026-06-16T00:00:00Z,30741377,1721517112,0.0,1.721517112
daily_highest_no_PA,"GC,SI,HG,PL,ALI","GC.FUT,SI.FUT,HG.FUT,PL.FUT,ALI.FUT",2016-06-16T00:00:00Z,2026-06-16T00:00:00Z,31098346,1741507376,0.0,1.741507376
