variant,obs,net_log,compounded_return,cagr,tstat,sharpe,max_drawdown_log,calmar,cost_log
baseline_all,985,0.39349748691177644,0.4821555589397333,0.13226730731045078,1.8524900634784025,0.9369966588914457,-0.14916637895007415,0.8867099157426119,0.055039720155047676
conservative_GC_SI_HG_PL,985,0.41133418092248153,0.5088294943490392,0.13866087820411366,2.228748575766322,1.1273096737052801,-0.07251468886091572,1.912176420836161,0.0333864096026527
vol_target_8pct_126d_GC_SI_HG_PL,985,0.3681453918831826,0.4450521225506803,0.12324156467581604,2.300081950484434,1.1633903713003968,-0.06414945771308822,1.9211630007383746,0.029448065041026247
market_vol_filter_42d_p70_scale50_GC_SI_HG_PL,985,0.31651982698039804,0.3723434513931885,0.10508387071978409,2.4940976728297657,1.261524276142314,-0.05001448502587791,2.101068733696105,0.025021588158131908
deadband_0p5_GC_SI_HG_PL,985,0.5551281636098105,0.7421642525258558,0.19154026704230986,2.744345531445749,1.3881006136032727,-0.08138771053197563,2.3534298457389027,0.04023165175699911
