lookback_bars,cost_bps,eval_bars,start,end,gross_log_return,cost_log_return,net_log_return,compounded_net_return,bar_tstat,annualized_sharpe_sample,max_drawdown_log,avg_turnover
63,0.0,1517,2026-05-18 08:40:00+00:00,2026-06-15 23:30:00+00:00,0.11197051735761554,0.0,0.11197051735761554,0.11847988441648805,2.901556044701847,10.365876125970415,-0.02088486759527805,0.278699335094632
63,0.5,1517,2026-05-18 08:40:00+00:00,2026-06-15 23:30:00+00:00,0.11197051735761554,0.02113934456692784,0.0908311727906877,0.09508410965700476,2.3549703295739146,8.41318600799501,-0.02363599272736326,0.278699335094632
63,1.5,1517,2026-05-18 08:40:00+00:00,2026-06-15 23:30:00+00:00,0.11197051735761554,0.06341803370078351,0.04855248365683204,0.049750465117734066,1.2595530753752324,4.499782514029075,-0.029138242991534304,0.278699335094632
63,3.0,1517,2026-05-18 08:40:00+00:00,2026-06-15 23:30:00+00:00,0.11197051735761554,0.12683606740156703,-0.01486555004395148,-0.014755603235724668,-0.38555519533998006,-1.377404858994973,-0.04484733702327739,0.278699335094632
126,0.0,1485,2026-05-18 14:35:00+00:00,2026-06-15 23:30:00+00:00,0.09004127487308498,0.0,0.09004127487308498,0.09421944654194192,2.4064095225712134,8.634223541546795,-0.022970715405780856,0.20623361913025282
126,0.5,1485,2026-05-18 14:35:00+00:00,2026-06-15 23:30:00+00:00,0.09004127487308498,0.015312846220421271,0.07472842865266371,0.0775914681774208,1.9973179811418076,7.166398641201757,-0.02515276135826748,0.20623361913025282
126,1.5,1485,2026-05-18 14:35:00+00:00,2026-06-15 23:30:00+00:00,0.09004127487308498,0.04593853866126382,0.04410273621182117,0.045089717931946716,1.1786341591835747,4.22895218317641,-0.030948895298721357,0.20623361913025282
126,3.0,1485,2026-05-18 14:35:00+00:00,2026-06-15 23:30:00+00:00,0.09004127487308498,0.09187707732252764,-0.0018358024494426611,-0.001834118394814177,-0.049020866882517805,-0.1758874035753577,-0.04222091168574298,0.20623361913025282
252,0.0,1422,2026-05-19 11:00:00+00:00,2026-06-15 23:30:00+00:00,0.01214904800608415,0.0,0.01214904800608415,0.012223147465053597,0.3163253585906752,1.1523869491291674,-0.042661411632179014,0.13124463170693662
252,0.5,1422,2026-05-19 11:00:00+00:00,2026-06-15 23:30:00+00:00,0.01214904800608415,0.009331493314363195,0.0028175546917209443,0.002821527729482076,0.07334849045255014,0.26721171995957643,-0.0466574428546382,0.13124463170693662
252,1.5,1422,2026-05-19 11:00:00+00:00,2026-06-15 23:30:00+00:00,0.01214904800608415,0.02799447994308958,-0.015845431937005446,-0.015720553534474546,-0.4123138325807384,-1.5020771073441153,-0.055896357337114316,0.13124463170693662
252,3.0,1422,2026-05-19 11:00:00+00:00,2026-06-15 23:30:00+00:00,0.01214904800608415,0.05598895988617916,-0.04383991188009503,-0.04289283330390481,-1.1396684372876356,-4.151861359822764,-0.06977949258855955,0.13124463170693662
504,0.0,1296,2026-05-21 01:55:00+00:00,2026-06-15 23:30:00+00:00,-0.004404954063696076,0.0,-0.004404954063696076,-0.0043952664832134225,-0.11342850820343219,-0.42596436911534324,-0.053772522287187374,0.07495029669311859
504,0.5,1296,2026-05-21 01:55:00+00:00,2026-06-15 23:30:00+00:00,-0.004404954063696076,0.004856779225714085,-0.00926173328941017,-0.009218975543081154,-0.2385033338392729,-0.8956648001448184,-0.05517750877242478,0.07495029669311859
504,1.5,1296,2026-05-21 01:55:00+00:00,2026-06-15 23:30:00+00:00,-0.004404954063696076,0.014570337677142255,-0.01897529174083834,-0.018796394223721147,-0.48866796583809535,-1.8351219201594322,-0.05798748174289946,0.07495029669311859
504,3.0,1296,2026-05-21 01:55:00+00:00,2026-06-15 23:30:00+00:00,-0.004404954063696076,0.02914067535428451,-0.033545629417980595,-0.032989213914641824,-0.8638682365717318,-3.2441323104602673,-0.06220244119861158,0.07495029669311859
