schema,roots,start,end,record_count,billable_size_bytes,cost_usd,billable_size_gb
trades,"GC,SI,HG,PL,PA,ALI",2016-06-22T00:00:00Z,2026-06-22T00:00:00Z,520645115,24990965520,570.010716855526,24.99096552
ohlcv-1m,"GC,SI,HG,PL,PA,ALI",2016-06-22T00:00:00Z,2026-06-22T00:00:00Z,32984232,1847116992,0.0,1.847116992
