label,train_obs,train_gross_log,train_cost_log,train_net_log,train_comp_total,train_cagr,train_mean_bps,train_tstat,train_sharpe,train_mdd_log,train_calmar,train_hit,oos_obs,oos_gross_log,oos_cost_log,oos_net_log,oos_comp_total,oos_cagr,oos_mean_bps,oos_tstat,oos_sharpe,oos_mdd_log,oos_calmar,oos_hit,family,roots,params
baseline_all,2296,0.18955206237804353,0.1281392197689665,0.06141284260907706,0.06333781474030431,0.008336197704774007,0.26747753749598024,0.19375476064677902,0.0641899017074713,-0.3862973605952438,0.021579742848692518,0.4856271777003484,985,0.4485372070668241,0.055039720155047676,0.39349748691177644,0.4821555589397333,0.13226730731045078,3.9948983442819945,1.8524900634784025,0.9369966588914457,-0.14916637895007415,0.8867099157426119,0.531979695431472,baseline,"GC,SI,HG,PL,PA,ALI",
subset_GC_SI_HG,2296,0.052749652185729065,0.0514823163821531,0.0012673358035760057,0.0012681392129560987,0.00017133014619052922,0.005519755242055774,0.004359994004447014,0.0014444423747647956,-0.26825038546588065,0.0006386948741675567,0.4917247386759582,985,0.46535641081807794,0.0338193597817566,0.43153705103632134,0.5396221836540296,0.14594622100382848,4.3810868125514855,2.2012816102774613,1.1134167760318514,-0.0972442016332161,1.5008218336174506,0.5309644670050762,subset,"GC,SI,HG",
subset_GC_SI_PL,2296,0.012192141759251762,0.050279289660186674,-0.03808714790093484,-0.0373709538651229,-0.005135300033941248,-0.16588479050929808,-0.14466675271401783,-0.04792731082350433,-0.30045934664876733,-0.017091497040178084,0.492595818815331,985,0.3160725315500372,0.02694938926820411,0.2891231422818331,0.3352561448935114,0.09556745485851925,2.9352603277343463,1.5272573039981967,0.7724926677484181,-0.08936982469225396,1.0693481293893874,0.5258883248730964,subset,"GC,SI,PL",
subset_GC_SI_PA,2296,0.057812491501182325,0.05004542178238741,0.007767069718795011,0.007797311651164485,0.0010504855762314413,0.03382870086583193,0.023591373096523073,0.007815693999750364,-0.29936748097939947,0.0035090169873986045,0.48214285714285715,985,-0.12312309067068965,0.022390131907009614,-0.14551322257769922,-0.13542154195746536,-0.04489753439440636,-1.477291599773596,-0.5492057567550761,-0.277790401832001,-0.43648945360116276,-0.10286052509170351,0.48934010152284263,subset,"GC,SI,PA",
subset_GC_SI_ALI,2296,0.10901341107385676,0.16911028004075862,-0.0600968689669019,-0.058326689754757854,-0.008090844780288764,-0.2617459449777957,-0.16215263049984,-0.053720287329444116,-0.2264170145952471,-0.03573426137939461,0.4817073170731707,985,0.47932392809062707,0.09136451622043439,0.3879594118701927,0.4739699573900562,0.13028949495011077,3.9386742321846975,1.4674964819995306,0.7422654122023268,-0.1473001337488321,0.884517153068395,0.5269035532994923,subset,"GC,SI,ALI",
subset_GC_HG_PL,2296,0.005786316782474078,0.05321504656636699,-0.04742872978389301,-0.046321560420908736,-0.0063907954963109415,-0.20657112275214726,-0.1600541475112965,-0.053025071292843236,-0.3085062658969642,-0.020715285888051806,0.4917247386759582,985,0.3698412823439593,0.03165382543682514,0.33818745690713403,0.4024033689646689,0.11266876777382406,3.4333751970267414,1.7067099811727064,0.8632605278609381,-0.09918677645572199,1.135925289638993,0.5299492385786801,subset,"GC,HG,PL",
subset_GC_HG_PA,2296,0.20126026723520601,0.057901267169303425,0.1433590000659027,0.15414406509669254,0.019567922531465998,0.6243858887887748,0.4321416067308035,0.14316617133515644,-0.3074638119193421,0.06364301024342764,0.4856271777003484,985,-0.12032376977294391,0.02020898665279508,-0.14053275642573904,-0.1311047974345615,-0.043394675232106494,-1.4267284916318683,-0.5679845627962139,-0.2872887947602078,-0.3722114788007449,-0.1165860745937308,0.4700507614213198,subset,"GC,HG,PA",
subset_GC_HG_ALI,2296,-0.025604806940772787,0.1581405585072394,-0.18374536544801212,-0.1678523295995079,-0.02453233444088143,-0.8002846927178228,-0.550490716485419,-0.18237458973456153,-0.35977591392404085,-0.06818781772606634,0.4817073170731707,985,0.6940306594091139,0.09429689184318032,0.5997337675659336,0.8216337578370176,0.20843752918352565,6.088667691024706,2.6506499902957854,1.3407090454964539,-0.0887869350718472,2.347614871657143,0.5218274111675127,subset,"GC,HG,ALI",
subset_GC_PL_PA,2296,-0.11466871083745056,0.0455556711898016,-0.1602243820272521,-0.14804739533470457,-0.021425888224303025,-0.6978413851361153,-0.5219287898577369,-0.17291217829916336,-0.33591836690272847,-0.06378302092218523,0.4799651567944251,985,0.05091211376697574,0.02165333519744478,0.029258778569531012,0.029691021970505327,0.009279408807826961,0.29704343725412197,0.11976804295902195,0.06057914064265051,-0.22499155044390973,0.041243365759819114,0.4954314720812183,subset,"GC,PL,PA",
subset_GC_PL_ALI,2296,-0.41071073045229156,0.14630680832558032,-0.5570175387778719,-0.4270847842673071,-0.07253138168840267,-2.4260345765586755,-1.7111029823692963,-0.566879140842788,-0.5701044219653151,-0.12722473093326656,0.4808362369337979,985,0.48153222184526756,0.09798195895051542,0.383550262894752,0.4674853106547996,0.12871732636095246,3.893911298423878,1.3482779683702524,0.6819642256259809,-0.14762562517099878,0.8719172312520653,0.5106598984771573,subset,"GC,PL,ALI",
