variant,description,segment,roots,lookback_bars,entry_z,deadband,roll_pause_bars,cost_bps,common_bars,eval_bars,start,end,calendar_days,bars_per_year_sample,gross_log_return,cost_log_return,net_log_return,compounded_net_return,annualized_return_sample,mean_net_bps_per_bar,bar_tstat,annualized_sharpe_sample,hit_rate,max_drawdown_log,avg_turnover,p95_turnover,avg_gross_exposure
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",63,2.0,0.0,3,0.0,152260,152260,2016-07-15 16:00:00+00:00,2026-06-21 23:50:00+00:00,3628.3263888888887,15327.442748895171,1.9968921813091263,0.0,1.9968921813091263,6.366127899076909,0.22264878600225607,0.13115014982983883,5.516671309534324,1.7503264170184396,0.5109221069223696,-0.28781788065495845,0.23096704551645927,0.6503857525864489,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",63,2.0,0.0,3,1.5,152260,152260,2016-07-15 16:00:00+00:00,2026-06-21 23:50:00+00:00,3628.3263888888887,15327.442748895171,1.9968921813091263,5.275056352550412,-3.2781641712412855,-0.9623026007093761,-0.28107661434925896,-0.21530041844484996,-9.052399814949707,-2.872140398528981,0.46849468015237095,-3.312486890407756,0.23096704551645927,0.6503857525864489,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",63,2.0,0.0,3,3.0,152260,152260,2016-07-15 16:00:00+00:00,2026-06-21 23:50:00+00:00,3628.3263888888887,15327.442748895171,1.9968921813091263,10.550112705100824,-8.553220523791698,-0.9998070772144134,-0.5772695803138266,-0.5617509867195388,-23.580610756027728,-7.481643117720659,0.42994220412452383,-8.556030690521405,0.23096704551645927,0.6503857525864489,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",126,2.0,0.0,3,0.0,152228,152228,2016-07-27 15:58:00+00:00,2026-06-21 23:50:00+00:00,3616.3277777777776,15375.065651312949,1.4752586252680935,0.0,1.4752586252680935,3.37216637942378,0.1606747140112558,0.0969111218217472,4.0495206504708605,1.286959371273897,0.5073705231626244,-0.2903385773398765,0.16352334626654982,0.4709934753035415,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",126,2.0,0.0,3,1.5,152228,152228,2016-07-27 15:58:00+00:00,2026-06-21 23:50:00+00:00,3616.3277777777776,15375.065651312949,1.4752586252680935,3.733924793319651,-2.258666168051558,-0.8955102363681751,-0.20397591942796103,-0.14837389757807748,-6.1984137942791575,-1.969889132100959,0.4780329505741388,-2.384378425139417,0.16352334626654982,0.4709934753035415,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",126,2.0,0.0,3,3.0,152228,152228,2016-07-27 15:58:00+00:00,2026-06-21 23:50:00+00:00,3616.3277777777776,15375.065651312949,1.4752586252680935,7.467849586639302,-5.992590961371209,-0.997502814450242,-0.45406380512876837,-0.3936589169779022,-16.429853075593183,-5.221495384109057,0.4509551462280264,-6.023714669503011,0.16352334626654982,0.4709934753035415,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",252,2.0,0.0,3,0.0,152165,152165,2016-09-27 13:14:00+00:00,2026-06-21 23:50:00+00:00,3554.4416666666666,15636.28593801652,1.285268779303014,0.0,1.285268779303014,2.615639635729303,0.1411911889480445,0.08446546704583932,3.5750221795782666,1.1460093401340372,0.5043472546249137,-0.27930072429252184,0.11534198063258747,0.3376240164104821,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",252,2.0,0.0,3,1.5,152165,152165,2016-09-27 13:14:00+00:00,2026-06-21 23:50:00+00:00,3554.4416666666666,15636.28593801652,1.285268779303014,2.6326518724436503,-1.347383093140636,-0.7400804432982099,-0.12929792413117436,-0.08854750390304184,-3.747640258264491,-1.2013438025551184,0.4843426543554694,-1.4117239836799504,0.11534198063258747,0.3376240164104821,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",252,2.0,0.0,3,3.0,152165,152165,2016-09-27 13:14:00+00:00,2026-06-21 23:50:00+00:00,3554.4416666666666,15636.28593801652,1.285268779303014,5.265303744887301,-3.9800349655842866,-0.9813150140051421,-0.3356747648734278,-0.261560474851923,-11.065180688174813,-3.5470550340515707,0.4644103440344363,-3.980029687925573,0.11534198063258747,0.3376240164104821,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",504,2.0,0.0,3,0.0,152039,152039,2016-11-14 15:33:00+00:00,2026-06-21 23:50:00+00:00,3506.345138888889,15837.64362900036,1.2808666150259498,0.0,1.2808666150259498,2.599757978565682,0.14273635002381058,0.08424592473154584,3.671013167061784,1.1848236738861244,0.5032590322219956,-0.18921359045984482,0.08128196385439919,0.23888456364179678,1.0
