hour_utc,size_bucket,trades,contracts,share_within_hour
11,006: 26-50,2829,93673.0,0.0005133022206989075
11,007: 51-100,426,28620.0,7.729471403949615e-05
11,008: 101-250,88,12677.0,1.596698318186775e-05
11,009: 251-500,3,895.0,5.443289721091278e-07
12,001: 1,7582290,7582290.0,0.6871599619475481
12,002: 2,1849541,3699082.0,0.16761829515626944
12,003: 3-5,1211708,4391560.0,0.10981342353979336
12,004: 6-10,296741,2188988.0,0.026892737453760987
12,005: 11-25,86482,1277936.0,0.007837601546386101
12,006: 26-50,6354,209243.0,0.0005758437620052413
12,007: 51-100,931,63662.0,8.437370828248027e-05
12,008: 101-250,184,25239.0,1.6675362324357005e-05
12,009: 251-500,12,3760.0,1.0875236298493697e-06
13,001: 1,12396872,12396872.0,0.6948312473607966
13,002: 2,2953416,5906832.0,0.16553576767230754
13,003: 3-5,1889254,6837894.0,0.10589064026807524
13,004: 6-10,455140,3360130.0,0.025510103994281216
13,005: 11-25,134154,1988706.0,0.007519186384955843
13,006: 26-50,10880,359333.0,0.0006098122148301174
13,007: 51-100,1526,103703.0,8.55306470432683e-05
13,008: 101-250,299,40773.0,1.6758626124467382e-05
13,009: 251-500,16,4808.0,8.967826688678197e-07
13,010: >500,1,548.0,5.604891680423873e-08
14,001: 1,12252956,12252956.0,0.6958808171611311
14,002: 2,2878062,5756124.0,0.16345346677164266
14,003: 3-5,1871073,6778789.0,0.10626364839701775
14,004: 6-10,456742,3374949.0,0.025939699464505493
14,005: 11-25,135674,2019949.0,0.00770531894405883
14,006: 26-50,11409,375275.0,0.0006479501144859531
14,007: 51-100,1612,109249.0,9.155014326859114e-05
14,008: 101-250,291,40579.0,1.6526731818337484e-05
14,009: 251-500,17,4944.0,9.654791783908496e-07
14,010: >500,1,519.0,5.6792892846520555e-08
15,001: 1,9571719,9571719.0,0.697575264473472
15,002: 2,2231612,4463224.0,0.1626371742737301
15,003: 3-5,1452192,5255281.0,0.10583399057852201
15,004: 6-10,351038,2594779.0,0.02558322341997698
15,005: 11-25,104614,1558733.0,0.007624141360358342
15,006: 26-50,8760,289844.0,0.0006384181688563583
15,007: 51-100,1201,80311.0,8.752742246535234e-05
15,008: 101-250,266,36728.0,1.938575718216796e-05
15,009: 251-500,12,4060.0,8.74545436789532e-07
16,001: 1,7059232,7059232.0,0.6963060300053747
16,002: 2,1658469,3316938.0,0.1635874788187984
16,003: 3-5,1077417,3898546.0,0.10627387709177158
16,004: 6-10,258017,1906998.0,0.025450189616079595
16,005: 11-25,77033,1154120.0,0.007598353816591385
16,006: 26-50,6792,225454.0,0.0006699468944775445
16,007: 51-100,953,64145.0,9.400167703726441e-05
16,008: 101-250,191,26377.0,1.8839790466020466e-05
16,009: 251-500,13,3959.0,1.2822894034464192e-06
17,001: 1,5757682,5757682.0,0.6973788709662767
17,002: 2,1319214,2638428.0,0.15978513052351725
17,003: 3-5,883797,3204609.0,0.10704678619336436
17,004: 6-10,219174,1622136.0,0.026546675670028795
17,005: 11-25,69011,1037165.0,0.00835871332669184
17,006: 26-50,6377,211011.0,0.0007723915735797751
17,007: 51-100,758,50297.0,9.181006943287903e-05
17,008: 101-250,156,22135.0,1.8894948326555578e-05
17,009: 251-500,6,2016.0,7.267287817905991e-07
18,001: 1,4152641,4152641.0,0.7071980869089264
18,002: 2,911372,1822744.0,0.15520738124541997
18,003: 3-5,610904,2211845.0,0.10403744029041055
18,004: 6-10,147833,1093723.0,0.025176078255261487
18,005: 11-25,44242,661430.0,0.007534448020193588
18,006: 26-50,4236,141844.0,0.0007213941913462329
18,007: 51-100,613,41180.0,0.00010439439076847044
18,008: 101-250,110,15669.0,1.873308806612031e-05
18,009: 251-500,10,3264.0,1.703008006010937e-06
18,010: >500,2,1046.0,3.406016012021874e-07
19,001: 1,3122063,3122063.0,0.7171686056474624
19,002: 2,653797,1307594.0,0.1501836070785548
19,003: 3-5,440237,1594476.0,0.10112677272829598
19,004: 6-10,104236,770513.0,0.023944035331211734
19,005: 11-25,29812,442197.0,0.006848109878488087
19,006: 26-50,2632,88406.0,0.0006045963102167129
19,007: 51-100,451,30869.0,0.00010359913978257504
