root,hour_utc,size_bucket,trades,contracts,mean_size,share_within_root_hour
GC,8,006: 26-50,1322,44231.0,33.45763993948563,0.0004230041292498396
GC,8,007: 51-100,234,16117.0,68.87606837606837,7.487365071441941e-05
GC,8,008: 101-250,57,7929.0,139.10526315789474,1.8238453379153448e-05
GC,8,009: 251-500,2,559.0,279.5,6.399457326018753e-07
GC,9,001: 1,1963501,1963501.0,1.0,0.6986792176220081
GC,9,002: 2,437094,874188.0,2.0,0.15553263988522237
GC,9,003: 3-5,313737,1137838.0,3.626725569505669,0.11163810036209605
GC,9,004: 6-10,75093,550719.0,7.333826055690944,0.026720596775295483
GC,9,005: 11-25,19272,281910.0,14.627957658779577,0.006857621097219375
GC,9,006: 26-50,1350,45068.0,33.3837037037037,0.0004803750768600123
GC,9,007: 51-100,217,14667.0,67.58986175115207,7.721584568786865e-05
GC,9,008: 101-250,40,5379.0,134.475,1.4233335610667032e-05
GC,10,001: 1,1804612,1804612.0,1.0,0.6950811185778317
GC,10,002: 2,404144,808288.0,2.0,0.1556638565999335
GC,10,003: 3-5,295870,1075180.0,3.6339608611890357,0.1139600371457261
GC,10,004: 6-10,71273,523008.0,7.338094369536852,0.02745217064077918
GC,10,005: 11-25,18849,276457.0,14.666931932728527,0.007260055903470414
GC,10,006: 26-50,1271,42263.0,33.25177025963808,0.0004895501646406121
GC,10,007: 51-100,189,13000.0,68.78306878306879,7.279699537142068e-05
GC,10,008: 101-250,50,6635.0,132.7,1.9258464383973723e-05
GC,10,009: 251-500,3,1010.0,336.6666666666667,1.1555078630384234e-06
GC,11,001: 1,2066948,2066948.0,1.0,0.7022903668276844
GC,11,002: 2,450726,901452.0,2.0,0.15314392422004564
GC,11,003: 3-5,324030,1175695.0,3.628352313057433,0.11009621314284375
GC,11,004: 6-10,78437,576638.0,7.351607022196157,0.02665067021660104
GC,11,005: 11-25,21234,311405.0,14.665395121032306,0.007214711569531043
GC,11,006: 26-50,1474,48566.0,32.94843962008141,0.0005008234366341132
GC,11,007: 51-100,241,16345.0,67.82157676348548,8.188497166134415e-05
GC,11,008: 101-250,60,8716.0,145.26666666666668,2.038629999867489e-05
GC,11,009: 251-500,3,895.0,298.3333333333333,1.0193149999337446e-06
GC,12,001: 1,3983094,3983094.0,1.0,0.6881842265263101
GC,12,002: 2,911955,1823910.0,2.0,0.1575642066950469
GC,12,003: 3-5,674911,2451257.0,3.631970733918991,0.11660862247014468
GC,12,004: 6-10,166918,1227817.0,7.355809439365437,0.02883947371649241
GC,12,005: 11-25,46974,690733.0,14.704581257717035,0.008115993711633943
GC,12,006: 26-50,3319,110359.0,33.25067791503465,0.0005734445252461587
GC,12,007: 51-100,529,36453.0,68.90926275992439,9.139866039626935e-05
GC,12,008: 101-250,121,16674.0,137.80165289256198,2.0905931773059717e-05
GC,12,009: 251-500,10,3171.0,317.1,1.7277629564512164e-06
GC,13,001: 1,6338345,6338345.0,1.0,0.6990173815140148
GC,13,002: 2,1399945,2799890.0,2.0,0.1543913889451643
GC,13,003: 3-5,1009135,3660617.0,3.627479970469759,0.11129133950489369
GC,13,004: 6-10,246418,1811490.0,7.351289272699234,0.027175937112593352
GC,13,005: 11-25,67706,993556.0,14.674563554190176,0.007466881470287258
GC,13,006: 26-50,4921,163517.0,33.22840885998781,0.0005427070527764688
GC,13,007: 51-100,845,57663.0,68.24023668639053,9.31898922162398e-05
GC,13,008: 101-250,179,24480.0,136.75977653631284,1.9740817404386894e-05
GC,13,009: 251-500,13,3963.0,304.84615384615387,1.4336906494806124e-06
GC,14,001: 1,6538471,6538471.0,1.0,0.6961809590868229
GC,14,002: 2,1451475,2902950.0,2.0,0.15454519223080537
GC,14,003: 3-5,1058776,3845584.0,3.6321034855342393,0.11273273080787695
GC,14,004: 6-10,262744,1933291.0,7.358078586000061,0.027975557269323086
GC,14,005: 11-25,73849,1088972.0,14.745927500710911,0.007863041320761809
GC,14,006: 26-50,5460,180505.0,33.05952380952381,0.0005813512114092198
GC,14,007: 51-100,948,64620.0,68.16455696202532,0.00010093790264028213
GC,14,008: 101-250,179,24889.0,139.04469273743015,1.905894997110812e-05
GC,14,009: 251-500,11,3115.0,283.1818181818182,1.171220389285974e-06
GC,15,001: 1,5009586,5009586.0,1.0,0.6977480375433395
GC,15,002: 2,1105821,2211642.0,2.0,0.15402159632037724
GC,15,003: 3-5,805718,2923177.0,3.628039835277355,0.11222247772836806
GC,15,004: 6-10,197422,1452686.0,7.358278206076323,0.027497444512955996
GC,15,005: 11-25,55936,825789.0,14.76310426201373,0.007790910112736709
GC,15,006: 26-50,4253,140929.0,33.13637432400658,0.0005923687912877078
GC,15,007: 51-100,725,48634.0,67.08137931034483,0.00010097986684307269
GC,15,008: 101-250,180,24491.0,136.0611111111111,2.507086349207322e-05
GC,15,009: 251-500,8,2560.0,320.0,1.1142605996476988e-06
GC,16,001: 1,3467711,3467711.0,1.0,0.700657375649723
GC,16,002: 2,759832,1519664.0,2.0,0.15352545095444237
GC,16,003: 3-5,549583,1991194.0,3.6230996955873818,0.11104425440346721
GC,16,004: 6-10,131422,966582.0,7.354796000669599,0.0265540564431805
GC,16,005: 11-25,37143,551612.0,14.851035188326199,0.007504811359354243
GC,16,006: 26-50,2935,97655.0,33.27257240204429,0.0005930221398299734
GC,16,007: 51-100,472,32368.0,68.57627118644068,9.536846678015245e-05
GC,16,008: 101-250,119,16652.0,139.9327731092437,2.404416853143674e-05
GC,16,009: 251-500,8,2468.0,308.5,1.6164146911890246e-06
GC,17,001: 1,2984728,2984728.0,1.0,0.6984479703615787
GC,17,002: 2,651821,1303642.0,2.0,0.15253083513440907
GC,17,003: 3-5,479110,1739812.0,3.6313414455970445,0.1121152101899858
GC,17,004: 6-10,119054,876684.0,7.363750902951602,0.027859498307191605
GC,17,005: 11-25,35344,524943.0,14.852393617021276,0.00827075199631579
GC,17,006: 26-50,2852,94132.0,33.00561009817672,0.0006673886570137119
GC,17,007: 51-100,356,24200.0,67.97752808988764,8.33065785052179e-05
GC,17,008: 101-250,104,14712.0,141.46153846153845,2.433675327118725e-05
GC,17,009: 251-500,3,1005.0,335.0,7.020217289765552e-07
GC,18,001: 1,2328428,2328428.0,1.0,0.7029373637328049
GC,18,002: 2,504126,1008252.0,2.0,0.1521923810524371
GC,18,003: 3-5,365738,1325796.0,3.6249883796597566,0.11041393830382928
GC,18,004: 6-10,87348,641903.0,7.348800201492879,0.02636979663847585
GC,18,005: 11-25,24299,359649.0,14.80097946417548,0.007335711046827914
GC,18,006: 26-50,2105,70625.0,33.55106888361045,0.0006354858946282876
GC,18,007: 51-100,306,20480.0,66.9281045751634,9.237942221199809e-05
GC,18,008: 101-250,70,10086.0,144.0857142857143,2.1132547564836165e-05
GC,18,009: 251-500,6,2005.0,334.1666666666667,1.8113612198431e-06
GC,19,001: 1,1866341,1866341.0,1.0,0.7122903354213442
GC,19,002: 2,392655,785310.0,2.0,0.14985705273305786
GC,19,003: 3-5,278985,1009595.0,3.6188146316110186,0.10647481849647183
GC,19,004: 6-10,64107,470266.0,7.335641973575429,0.02446648095543961
GC,19,005: 11-25,16411,240017.0,14.62537322527573,0.0062632695175210105
GC,19,006: 26-50,1398,47059.0,33.66165951359084,0.0005335476683623407
GC,19,007: 51-100,243,16926.0,69.65432098765432,9.27411183204927e-05
GC,19,008: 101-250,52,7425.0,142.78846153846155,1.9845836019200083e-05
GC,19,009: 251-500,5,1435.0,287.0,1.9082534633846235e-06
GC,20,001: 1,1173138,1173138.0,1.0,0.7050557307136152
GC,20,002: 2,251713,503426.0,2.0,0.15127946852383625
GC,20,003: 3-5,185793,672463.0,3.6194205379104702,0.1116615601715013
GC,20,004: 6-10,41647,304843.0,7.319686892213125,0.025029839641227146
GC,20,005: 11-25,10502,153494.0,14.61569224909541,0.0063117001443601575
GC,20,006: 26-50,853,28852.0,33.824150058616645,0.0005126528492800623
GC,20,007: 51-100,214,14917.0,69.70560747663552,0.00012861396218749512
GC,20,008: 101-250,33,4600.0,139.3939393939394,1.9832994169099714e-05
GC,20,009: 251-500,1,288.0,288.0,6.00999823306052e-07
GC,21,001: 1,243276,243276.0,1.0,0.6931157386698729
GC,21,002: 2,53798,107596.0,2.0,0.15327545877506132
GC,21,003: 3-5,42075,152813.0,3.631919191919192,0.11987555165546498
GC,21,004: 6-10,9382,69069.0,7.3618631421871665,0.02673018242736952
GC,21,005: 11-25,2229,32130.0,14.414535666218034,0.006350626372906273
GC,21,006: 26-50,176,6062.0,34.44318181818182,0.0005014402160751477
GC,21,007: 51-100,41,2893.0,70.5609756097561,0.00011681277760841508
GC,21,008: 101-250,12,1725.0,143.75,3.418910564148734e-05
GC,22,001: 1,731771,731771.0,1.0,0.7245149824507556
GC,22,002: 2,154827,309654.0,2.0,0.15329178279530503
GC,22,003: 3-5,99483,354648.0,3.5649105877386087,0.09849655698182701
GC,22,004: 6-10,18611,135729.0,7.292945032507657,0.018426459012984956
GC,22,005: 11-25,4627,68195.0,14.73849146315107,0.004581120082375014
GC,22,006: 26-50,548,18683.0,34.09306569343066,0.0005425661995118884
GC,22,007: 51-100,112,7772.0,69.39285714285714,0.0001108894422360064
GC,22,008: 101-250,34,5074.0,149.23529411764707,3.366286639307337e-05
GC,22,009: 251-500,2,653.0,326.5,1.980168611357257e-06
GC,23,001: 1,1130294,1130294.0,1.0,0.7240995153638935
GC,23,002: 2,241470,482940.0,2.0,0.1546927701774223
GC,23,003: 3-5,153475,547134.0,3.56497149372862,0.09832059014776116
GC,23,004: 6-10,28705,207797.0,7.239052429890263,0.018389265614539723
GC,23,005: 11-25,6186,90915.0,14.696896217264792,0.003962933185561496
GC,23,006: 26-50,676,23287.0,34.44822485207101,0.00043306544349168625
GC,23,007: 51-100,130,8703.0,66.94615384615385,8.32818160560935e-05
GC,23,008: 101-250,27,3965.0,146.85185185185185,1.7296992565496345e-05
GC,23,009: 251-500,2,552.0,276.0,1.2812587085552848e-06
HG,0,001: 1,311715,311715.0,1.0,0.6830777119641319
HG,0,002: 2,85099,170198.0,2.0,0.18648197940566114
HG,0,003: 3-5,47047,169539.0,3.6036091568006463,0.1030966014300772
HG,0,004: 6-10,10140,74140.0,7.31163708086785,0.022220323049312023
HG,0,005: 11-25,2121,30835.0,14.537953795379538,0.004647860472148995
HG,0,006: 26-50,190,6350.0,33.421052631578945,0.0004163571380048604
HG,0,007: 51-100,25,1610.0,64.4,5.478383394800795e-05
HG,0,008: 101-250,2,370.0,185.0,4.382706715840636e-06
HG,1,001: 1,867375,867375.0,1.0,0.6803987122726317
HG,1,002: 2,260157,520314.0,2.0,0.20407607757741583
HG,1,003: 3-5,117589,419871.0,3.57066562348519,0.09224084643600114
HG,1,004: 6-10,23875,173822.0,7.280502617801047,0.018728369223817935
HG,1,005: 11-25,5331,76947.0,14.433877321328081,0.0041818193228135465
HG,1,006: 26-50,406,13791.0,33.967980295566505,0.00031848033109403484
HG,1,007: 51-100,61,4121.0,67.55737704918033,4.7850493095409174e-05
HG,1,008: 101-250,9,1178.0,130.88888888888889,7.059908817355452e-06
HG,1,009: 251-500,1,267.0,267.0,7.844343130394947e-07
HG,2,001: 1,520523,520523.0,1.0,0.6845122950334613
HG,2,002: 2,152084,304168.0,2.0,0.1999976329151045
HG,2,003: 3-5,70059,249978.0,3.5681068813428682,0.09213088927434382
HG,2,004: 6-10,14095,102943.0,7.303511883646683,0.01853558977892742
HG,2,005: 11-25,3341,48803.0,14.607303202633942,0.0043935725754804195
HG,2,006: 26-50,279,9387.0,33.645161290322584,0.0003668981588024655
HG,2,007: 51-100,40,2666.0,66.65,5.260188656666171e-05
HG,2,008: 101-250,8,1073.0,134.125,1.0520377313332343e-05
HG,3,001: 1,344287,344287.0,1.0,0.6881060878602551
HG,3,002: 2,98547,197094.0,2.0,0.19696006715433506
HG,3,003: 3-5,46287,165779.0,3.58154557435133,0.09251109245712916
HG,3,004: 6-10,8891,64432.0,7.246878866269261,0.01776991645680937
HG,3,005: 11-25,2120,30959.0,14.603301886792453,0.0042371187592437146
HG,3,006: 26-50,173,5927.0,34.26011560693642,0.00034576487988168046
HG,3,007: 51-100,30,2186.0,72.86666666666666,5.99592277251469e-05
HG,3,008: 101-250,5,823.0,164.6,9.993204620857817e-06
HG,4,001: 1,187610,187610.0,1.0,0.685731621288712
HG,4,002: 2,53553,107106.0,2.0,0.19574108797438514
HG,4,003: 3-5,25817,92134.0,3.5687337800673973,0.09436348417893864
HG,4,004: 6-10,5328,38884.0,7.298048048048048,0.019474324813316228
HG,4,005: 11-25,1185,17154.0,14.475949367088608,0.004331282827285985
HG,4,006: 26-50,85,2866.0,33.71764705882353,0.00031068273444667406
HG,4,007: 51-100,9,580.0,64.44444444444444,3.289581894141254e-05
HG,4,008: 101-250,4,561.0,140.25,1.4620363973961131e-05
HG,5,001: 1,476764,476764.0,1.0,0.6796786679116978
HG,5,002: 2,142722,285444.0,2.0,0.20346565353443913
HG,5,003: 3-5,65306,232582.0,3.561418552659786,0.09310076911562395
HG,5,004: 6-10,13207,96711.0,7.322707655031422,0.01882800749869913
HG,5,005: 11-25,3204,46509.0,14.515917602996256,0.0045676486731151674
HG,5,006: 26-50,210,6910.0,32.904761904761905,0.00029937772202065705
HG,5,007: 51-100,36,2436.0,67.66666666666667,5.132189520354121e-05
HG,5,008: 101-250,6,693.0,115.5,8.553649200590202e-06
HG,6,001: 1,625744,625744.0,1.0,0.6702994765026047
HG,6,002: 2,193627,387254.0,2.0,0.2074140171328368
HG,6,003: 3-5,90659,323281.0,3.565900793081768,0.09711428354127188
HG,6,004: 6-10,18209,133229.0,7.316656598385414,0.01950555365714402
HG,6,005: 11-25,4829,70227.0,14.54276247670325,0.005172844121607363
HG,6,006: 26-50,373,12646.0,33.90348525469169,0.00039955909243312204
HG,6,007: 51-100,78,5162.0,66.17948717948718,8.355391209057244e-05
