horizon_bars,horizon,bucket,assets,median_abs_corr,mean_abs_corr,median_abs_tstat,assets_abs_t_gt_2,median_hit_rate,mean_r2,median_r2
0,same_bar,low,30,0.12068968232552305,0.12283229591935395,5.789872803502766,26,0.445756819589356,0.018890889965296108,0.014567683422406885
0,same_bar,high,30,0.26122904976402916,0.25562454197557777,8.910511567031609,30,0.5131493942585167,0.07623108904781485,0.0682429468966177
1,next_5m,low,30,0.019726976422408404,0.029112876797202834,0.9212431579245051,3,0.37294131767444705,0.002125139389982585,0.0003898605788341114
1,next_5m,high,30,0.017443294058580743,0.02130967061867656,0.7426195991896435,1,0.36373730896194945,0.000725582595671607,0.00030449168733737153
3,next_15m,low,30,0.02065248355599684,0.029094849205874913,0.8158137364272784,4,0.4246073918694314,0.0018297600677903314,0.00042741435794918514
3,next_15m,high,30,0.017907069767325368,0.026769115507952447,0.727433393552805,5,0.43234972873742394,0.0014231447349987159,0.0003221552848520215
6,next_30m,low,30,0.0260705792432051,0.03323237824972593,0.832150504771224,1,0.439852348663522,0.0018642406402396671,0.0006799995182921181
6,next_30m,high,28,0.015746700797144336,0.021538937977219622,0.5365971012769684,1,0.4544465600925174,0.0008366160823888342,0.00024801863429430027
12,next_60m,low,27,0.017531107619624824,0.038027419913439706,0.6214619274978915,1,0.4592833876221498,0.005243417462806284,0.000307339734371026
12,next_60m,high,27,0.01414477852760801,0.024342868222540035,0.5143865995135642,1,0.4716073147256978,0.001169692659495999,0.00020007475959504806
