asset_class,horizon,bucket,assets,median_abs_corr,median_abs_tstat,assets_abs_t_gt_2,median_hit_rate
Credit,next_15m,high,4,0.04129199761095488,0.7853762470421054,0,0.34577114427860695
Credit,next_15m,low,4,0.03534544799422912,0.46625368898628916,1,0.41296955839892124
Credit,next_30m,high,2,0.0680697673315286,0.7531920717994601,0,0.3951706188548294
Credit,next_30m,low,4,0.05918568993558214,0.9073615439822489,0,0.4033515731874145
Credit,next_5m,high,4,0.029501201412668633,0.44541734322871906,0,0.3152992277992278
Credit,next_5m,low,4,0.02758446977807817,0.602725292313264,1,0.3356420262247785
Credit,next_60m,high,1,0.06020827563340155,0.43646278188373566,0,0.40425531914893614
Credit,next_60m,low,1,0.04999274801610436,0.6844926213102595,0,0.4351145038167939
Credit,same_bar,high,4,0.25463408135625737,4.657896380411692,4,0.4540065043588238
Credit,same_bar,low,4,0.12039715679784752,3.0645317782433694,2,0.421844993212797
Energy,next_15m,high,2,0.030900601242454338,1.1866365060114719,0,0.4834175153698398
Energy,next_15m,low,2,0.015095554989355043,0.6547704045936076,0,0.4973081692526389
Energy,next_30m,high,2,0.004857894784137575,0.18725974752806535,0,0.5006362616717248
Energy,next_30m,low,2,0.021266435901350703,0.7499467583915868,0,0.5059107361204066
Energy,next_5m,high,2,0.015686944532256608,0.7126255130383852,0,0.48248592320812694
Energy,next_5m,low,2,0.013144862329598973,0.6853484232597589,0,0.48509754483836687
Energy,next_60m,high,2,0.013671874105818823,0.5146894914231335,0,0.5030152027720085
Energy,next_60m,low,2,0.027831188799982465,0.828997706136499,0,0.4991515239989839
Energy,same_bar,high,2,0.23633460261177103,9.422345216971811,2,0.6172714169567917
Energy,same_bar,low,2,0.14343397233390281,6.831724449026094,2,0.556883322320338
Equity,next_15m,high,5,0.015576590545643048,0.6859492416260229,0,0.49245283018867925
Equity,next_15m,low,5,0.023339243636054403,0.9740624884476625,0,0.5097300690521029
Equity,next_30m,high,5,0.0035029986665525326,0.14465719797642052,0,0.4943467336683417
Equity,next_30m,low,5,0.025501003773317182,1.0320527333105927,0,0.47939124920735576
Equity,next_5m,high,5,0.019164269282191927,1.0363828614514212,0,0.4803001876172608
Equity,next_5m,low,5,0.016526972061371763,0.812324038342661,0,0.502828409805154
Equity,next_60m,high,5,0.007421329639737397,0.2849172105820586,0,0.5078764965343415
Equity,next_60m,low,5,0.022184872784383657,0.7760802400804803,0,0.49684343434343436
Equity,same_bar,high,5,0.274441156436959,9.124875860131183,5,0.6409290646578782
Equity,same_bar,low,5,0.16229067811901288,7.1860347821539925,4,0.5773847125710676
FX,next_15m,high,11,0.008854660409758835,0.4970782885453055,2,0.44896597731821214
FX,next_15m,low,11,0.015117710867817085,0.6233684160222012,1,0.43116883116883115
FX,next_30m,high,11,0.015991748342649183,0.637900532425749,0,0.4766042780748663
FX,next_30m,low,11,0.026640154713093018,0.7850778893087219,0,0.4409509202453988
FX,next_5m,high,11,0.015330412748670225,0.6192907520493165,0,0.4038961038961039
FX,next_5m,low,11,0.021885601173724407,1.1411252293054654,1,0.3862605314322748
FX,next_60m,high,11,0.024186453587821823,0.7078477365784964,0,0.4820261437908497
FX,next_60m,low,11,0.014638174648393046,0.3277006064827096,0,0.46236559139784944
FX,same_bar,high,11,0.1702370583183922,8.413121673493626,11,0.49201065246338216
FX,same_bar,low,11,0.11939199107904928,6.116904450048204,11,0.47766990291262135
Rates,next_15m,high,8,0.02768265332962457,1.1963353353173567,3,0.3776374716553288
Rates,next_15m,low,8,0.03387097286937647,1.4301345211909364,2,0.3917055104001662
Rates,next_30m,high,8,0.02830679044626508,0.9476814538433372,1,0.4006489983724809
Rates,next_30m,low,8,0.02765479496367645,0.7843290818082793,1,0.4269390175557496
Rates,next_5m,high,8,0.016989786859371442,0.8495729696762377,1,0.33744245097786185
Rates,next_5m,low,8,0.02047806137501553,0.7810044432815384,1,0.3541845415815121
Rates,next_60m,high,8,0.022833575446797105,0.8050044547345433,1,0.4281092187183558
Rates,next_60m,low,8,0.027985760601354548,0.9200837507800161,1,0.44541256282425423
Rates,same_bar,high,8,0.34206107252304185,11.655197514484447,8,0.5084045490638867
Rates,same_bar,low,8,0.09072278650390148,4.506197999117412,7,0.3798795101612003
