root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
6E,Euro FX,FX,high,1,next_5m,1603,-0.09804654805797854,-0.8746191101574319,0.0002350215550446233,-0.015330412748670225,0.4366812227074236
6E,Euro FX,FX,low,3,next_15m,1590,0.007608280446155142,0.02114589345373902,1.966426733668314e-07,0.0004434441038892709,0.4742138364779874
6E,Euro FX,FX,high,3,next_15m,1601,-0.04453809600997087,-0.21734559680838522,1.6104680690465223e-05,-0.004013063753592204,0.47158026233604
6E,Euro FX,FX,low,6,next_30m,1587,-0.6544977659863412,-1.168325850257192,0.0007779849584933496,-0.027892381728589502,0.4473850031505986
6E,Euro FX,FX,high,6,next_30m,1598,0.23498038517722572,0.9322536464775694,0.00024030125353402543,0.01550165325163949,0.48873591989987486
6E,Euro FX,FX,low,12,next_60m,1581,-1.035276664915371,-1.1467868512326096,0.0010037183555726692,-0.03168151441412604,0.46236559139784944
6E,Euro FX,FX,high,12,next_60m,1592,-0.12268403750552052,-0.2951483075956708,3.3903020235648285e-05,-0.005822630010207889,0.4937185929648241
6J,Japanese Yen,FX,low,0,same_bar,1558,0.6094381042313395,6.116904450048204,0.01425444753381977,0.11939199107904928,0.4300385109114249
6J,Japanese Yen,FX,high,0,same_bar,1574,0.8701221636550617,9.484301479881985,0.052651148676141735,0.22945838114163897,0.47903430749682335
6J,Japanese Yen,FX,low,1,next_5m,1556,-0.1324686282088193,-1.2667926856224223,0.0006622947961182346,-0.025735088811159674,0.34383033419023135
6J,Japanese Yen,FX,high,1,next_5m,1572,-0.06413856153477923,-0.9690246118901591,0.00028801059983485366,-0.01697087504622804,0.34033078880407125
6J,Japanese Yen,FX,low,3,next_15m,1552,-0.05289470857969586,-0.2603229516102749,3.997927959165093e-05,-0.006322917016028003,0.3943298969072165
6J,Japanese Yen,FX,high,3,next_15m,1570,-0.2437660244240945,-2.1294898171102385,0.0015866996024809232,-0.0398333980785103,0.39171974522292996
6J,Japanese Yen,FX,low,6,next_30m,1545,-0.16532402377669364,-0.46101808690439017,0.00020369434173550527,-0.014272152666484815,0.42135922330097086
6J,Japanese Yen,FX,high,6,next_30m,1566,-0.26157072764288686,-1.7631413513453549,0.0009737612723427214,-0.031205148170496647,0.41954022988505746
6J,Japanese Yen,FX,low,12,next_60m,1535,0.06294161100358886,0.11180222130781266,1.5574323203426665e-05,0.003946431705148687,0.4592833876221498
6J,Japanese Yen,FX,high,12,next_60m,1557,-0.5032691956127026,-1.8849328597908461,0.0019255100941886205,-0.04388063461469807,0.4482980089916506
6B,British Pound,FX,low,0,same_bar,1512,0.9784058184896024,5.9855185388460725,0.013610866089575735,0.11666561656964619,0.4834656084656085
6B,British Pound,FX,high,0,same_bar,1502,0.9060521103888914,8.454136964136548,0.02898065602489941,0.1702370583183922,0.49201065246338216
6B,British Pound,FX,low,1,next_5m,1511,-0.22944880481604338,-1.3127231558763228,0.000759115438164093,-0.027552049618210745,0.4056915949702184
6B,British Pound,FX,high,1,next_5m,1501,-0.059346914679523195,-0.6192907520493165,0.00012572626402518328,-0.011212772361252767,0.4157228514323784
6B,British Pound,FX,low,3,next_15m,1508,-0.5872907349933638,-1.9404738778705655,0.0016383502037999875,-0.04047653893059559,0.4449602122015915
6B,British Pound,FX,high,3,next_15m,1499,-0.07807296679122286,-0.4970782885453055,7.840501097222674e-05,-0.008854660409758835,0.44896597731821214
6B,British Pound,FX,low,6,next_30m,1503,-0.8752414936667016,-1.7542587518214685,0.0019502202001552282,-0.04416129753704494,0.43446440452428475
6B,British Pound,FX,high,6,next_30m,1496,0.29142315952036874,1.3231102092573128,0.0005687016262204692,0.023847465823869644,0.4766042780748663
6B,British Pound,FX,low,12,next_60m,1495,-0.19532732288310073,-0.18341756017193614,4.921726172479879e-05,-0.0070155015305335385,0.451505016722408
6B,British Pound,FX,high,12,next_60m,1489,0.6206240124281708,1.5991358221842857,0.001373501410477318,0.03706077994966194,0.49361987911349897
6C,Canadian Dollar,FX,low,0,same_bar,1545,0.8502818702991934,7.5358590842279956,0.023362218263623835,0.15284704205061964,0.47766990291262135
6C,Canadian Dollar,FX,high,0,same_bar,1542,0.9037234095949996,9.553926048225453,0.05743677646894141,0.23965970973224024,0.5123216601815823
6C,Canadian Dollar,FX,low,1,next_5m,1543,-0.17503215368903213,-1.7460318973329017,0.0009875281832966154,-0.03142496115028028,0.3862605314322748
6C,Canadian Dollar,FX,high,1,next_5m,1540,0.07569200102046496,0.9887596936003887,0.0004054635359918013,0.020136125148392425,0.4038961038961039
6C,Canadian Dollar,FX,low,3,next_15m,1540,-0.49020505772558265,-2.052292105127081,0.0025086643675930054,-0.05008656873447162,0.43116883116883115
6C,Canadian Dollar,FX,high,3,next_15m,1538,0.0008322564962328293,0.005966318272646525,1.6602673902355036e-08,0.0001288513635603472,0.44928478543563066
6C,Canadian Dollar,FX,low,6,next_30m,1536,-0.5967455708086604,-1.4500437022765909,0.0020625169105440433,-0.04541494149004351,0.439453125
6C,Canadian Dollar,FX,high,6,next_30m,1534,-0.026411960906368617,-0.12852962817294472,9.021717761958925e-06,-0.003003617445999991,0.47979139504563234
6C,Canadian Dollar,FX,low,12,next_60m,1527,-1.1686519843876362,-1.9392074348493455,0.003992723080060712,-0.063187997911476,0.44138834315651604
6C,Canadian Dollar,FX,high,12,next_60m,1526,0.17493369558322774,0.6028634589442645,0.00020007475959504806,0.01414477852760801,0.4855832241153342
6A,Australian Dollar,FX,low,0,same_bar,1557,2.0838531536669938,6.401936734478905,0.025923497245683103,0.16100775523459493,0.5144508670520231
6A,Australian Dollar,FX,high,0,same_bar,1548,1.0619824883916344,6.544906491266064,0.020227317496446462,0.1422227741834849,0.522609819121447
6A,Australian Dollar,FX,low,1,next_5m,1554,-0.28263817633904714,-1.0282560615860694,0.00047897953873543564,-0.021885601173724407,0.42857142857142855
6A,Australian Dollar,FX,high,1,next_5m,1547,-0.09924923239887351,-0.6174155218495063,0.00017896845487141988,-0.013377909211502247,0.4473173884938591
6A,Australian Dollar,FX,low,3,next_15m,1547,-0.41674047551540705,-0.7791357414278177,0.00035095989527167415,-0.018733923648600347,0.4667097608274079
6A,Australian Dollar,FX,high,3,next_15m,1542,-0.27067248885959133,-0.7688627615346604,0.0004624174683106608,-0.02150389425919645,0.4656290531776913
6A,Australian Dollar,FX,low,6,next_30m,1535,-0.4852513189676498,-0.6153468130821875,0.00024395228123985646,-0.015618971836839971,0.47296416938110747
6A,Australian Dollar,FX,high,6,next_30m,1538,0.07657420102729756,0.17819055738533268,1.8938550797487075e-05,0.004351844528178165,0.4960988296488947
6A,Australian Dollar,FX,low,12,next_60m,1518,-0.3158869888445376,-0.26841006539509127,4.886073106769029e-05,-0.0069900451406237326,0.5125164690382081
6A,Australian Dollar,FX,high,12,next_60m,1524,-0.4632031670397113,-0.7115103840799122,0.00036102054473596823,-0.019000540643251615,0.5006561679790026
6N,New Zealand Dollar,FX,low,0,same_bar,1508,1.1445683063272882,6.209644406277876,0.012435497318870281,0.11151456101725139,0.496684350132626
6N,New Zealand Dollar,FX,high,0,same_bar,1257,0.772950183470495,5.918012637701933,0.015129453784196167,0.12300184463737143,0.5163086714399363
6N,New Zealand Dollar,FX,low,1,next_5m,1501,-0.020992914505510725,-0.11931399760476323,4.06550244025361e-06,-0.0020163091133036165,0.41905396402398404
6N,New Zealand Dollar,FX,high,1,next_5m,1254,-0.08085537785388704,-0.611654737080392,0.00017612048661275193,-0.01327103939457735,0.4274322169059011
6N,New Zealand Dollar,FX,low,3,next_15m,1487,-0.026072149884718746,-0.06342442120707738,1.9847947692053225e-06,-0.0014088274447807746,0.4351042367182246
6N,New Zealand Dollar,FX,high,3,next_15m,1248,0.2305233710260566,0.9709080413999427,0.0005008169495956949,0.02237893986755272,0.4703525641025641
6N,New Zealand Dollar,FX,low,6,next_30m,1477,0.8562458156295659,1.5513236920613063,0.0010650166855015186,0.03263459338649083,0.4685172647257955
6N,New Zealand Dollar,FX,high,6,next_30m,1239,0.09131475868622298,0.24701220211880479,3.981424747401263e-05,0.006309853205425811,0.4778046811945117
6N,New Zealand Dollar,FX,low,12,next_60m,1451,0.5430086930700057,0.563178008860849,0.00021427615703706326,0.014638174648393046,0.487250172294969
6N,New Zealand Dollar,FX,high,12,next_60m,1224,-0.22670456357689256,-0.35758137924823913,0.00013176783929103042,-0.011479017348659776,0.4820261437908497
6S,Swiss Franc,FX,low,0,same_bar,1529,1.302471421924878,6.132849368531857,0.014880919310994,0.1219873735719968,0.5448005232177894
6S,Swiss Franc,FX,high,0,same_bar,1406,0.7750581670768703,6.900326875403795,0.023477655996575586,0.15322420173254478,0.5305832147937412
6S,Swiss Franc,FX,low,1,next_5m,1526,-0.131248779314056,-0.7470209583800625,0.00015215747230823418,-0.012335212698134734,0.4567496723460026
6S,Swiss Franc,FX,high,1,next_5m,1404,-0.1826572340566646,-1.6862667778329654,0.0013396726879738585,-0.03660153942082023,0.4415954415954416
6S,Swiss Franc,FX,low,3,next_15m,1522,-0.22717501862854325,-0.602047634457387,0.00015895767775797598,-0.012607841915170514,0.4868593955321945
6S,Swiss Franc,FX,high,3,next_15m,1400,-0.012727104193757655,-0.06466986951349342,2.31765666414141e-06,-0.0015223851891537437,0.485
6S,Swiss Franc,FX,low,6,next_30m,1516,-0.38914567714353615,-0.767531944799092,0.00023615100339535733,-0.015367205451715915,0.49142480211081796
6S,Swiss Franc,FX,high,6,next_30m,1396,0.28960073281464643,1.0390001393608101,0.0006578865584462301,0.02564929937535202,0.501432664756447
6S,Swiss Franc,FX,low,12,next_60m,1509,-0.05418276862678241,-0.06279280147655514,2.2603294506096105e-06,-0.0015034392074673374,0.4665341285619616
6S,Swiss Franc,FX,high,12,next_60m,1388,0.3841206203295452,0.8359718521112474,0.0005849845371557194,0.024186453587821823,0.49711815561959655
6M,Mexican Peso,FX,low,0,same_bar,1507,0.8465946246474088,5.11947107051987,0.013919975484634195,0.11798294573638322,0.41539482415394824
6M,Mexican Peso,FX,high,0,same_bar,1446,1.390557166803626,11.672129971339924,0.056257599415449944,0.2371868449460257,0.4778699861687414
6M,Mexican Peso,FX,low,1,next_5m,1498,-0.05145445403139357,-0.2773275643940514,5.113752749319467e-05,-0.007151050796442276,0.35046728971962615
6M,Mexican Peso,FX,high,1,next_5m,1442,-0.04973652696515226,-0.39190930159166304,7.426925576214938e-05,-0.008617961230008866,0.35714285714285715
6M,Mexican Peso,FX,low,3,next_15m,1487,0.37349576638730314,0.8314945591367615,0.0009511373458437333,0.03084051468188496,0.42434431741761935
6M,Mexican Peso,FX,high,3,next_15m,1437,-0.5310001465332775,-2.3054655048644257,0.003209644067190709,-0.056653720682678044,0.4036186499652053
6M,Mexican Peso,FX,low,6,next_30m,1470,0.726356952951915,0.8852382132572697,0.0018250258691643317,0.04272032150118368,0.4496598639455782
6M,Mexican Peso,FX,high,6,next_30m,1426,-0.48147147256578854,-1.5078472981510653,0.0013365884800931038,-0.036559382928229286,0.40813464235624125
6M,Mexican Peso,FX,low,12,next_60m,1443,1.45823541470254,1.0296193382302246,0.0035869610787724326,0.05989124375710017,0.48925848925848925
6M,Mexican Peso,FX,high,12,next_60m,1403,-0.561063101338485,-1.0637601413086135,0.0008829074775940082,-0.029713759061990724,0.4518888096935139
6L,Brazilian Real,FX,low,0,same_bar,1421,1.830097895860953,6.669764912282056,0.024136134903645634,0.15535808605813115,0.44475721323011963
6L,Brazilian Real,FX,high,0,same_bar,1162,1.7130274301275645,8.413121673493626,0.04160452407343518,0.20397187078966406,0.48709122203098104
6L,Brazilian Real,FX,low,1,next_5m,1393,0.3384142682522939,1.2963196139750648,0.000817514379730544,0.02859220837449095,0.37616654702081836
6L,Brazilian Real,FX,high,1,next_5m,1150,0.09494547476577445,0.4296119206388538,0.00013728163335846588,0.011716724514919135,0.3695652173913043
6L,Brazilian Real,FX,low,3,next_15m,1351,-0.30488861086489955,-0.6233684160222012,0.00022854518188286654,-0.015117710867817085,0.4256106587712805
6L,Brazilian Real,FX,high,3,next_15m,1124,0.06947590213661993,0.18177545250872762,2.544066520127064e-05,0.005043874027094808,0.44395017793594305
6L,Brazilian Real,FX,low,6,next_30m,1304,-0.5513331583137338,-0.7850778893087219,0.0003607904155895625,-0.018994483820034356,0.4409509202453988
6L,Brazilian Real,FX,high,6,next_30m,1094,-0.05362253834601967,-0.09857020351974209,8.455408881946624e-06,-0.0029078185778987015,0.4616087751371115
6L,Brazilian Real,FX,low,12,next_60m,1214,-1.022263475955682,-0.7917011136056684,0.0006087318896764726,-0.02467249257121005,0.4546952224052718
6L,Brazilian Real,FX,high,12,next_60m,1039,-0.04363744962017752,-0.06031708091298818,2.8175350960113477e-06,-0.001678551487447032,0.4716073147256978
CNH,Offshore Renminbi,FX,low,0,same_bar,657,0.22344503152219677,4.910924716772948,0.02469477420141486,0.15714571009548706,0.410958904109589
CNH,Offshore Renminbi,FX,high,0,same_bar,401,0.23086859550467512,3.32243598856165,0.021306218815174582,0.14596649894813032,0.40399002493765584
CNH,Offshore Renminbi,FX,low,1,next_5m,462,-0.14559182485775468,-2.2694769217107345,0.010849568096208295,-0.10416126005482294,0.2813852813852814
CNH,Offshore Renminbi,FX,high,1,next_5m,293,0.036889868015299136,0.42996556610233316,0.0006224778627653693,0.024949506262957482,0.36177474402730375
CNH,Offshore Renminbi,FX,low,3,next_15m,276,-0.11936771663779915,-0.8663371376531204,0.002329896900475137,-0.048269005588213745,0.39492753623188404
CNH,Offshore Renminbi,FX,high,3,next_15m,180,-0.11479501429757544,-0.7145238836620665,0.0021886516974748416,-0.04678302787843761,0.40555555555555556
CNH,Offshore Renminbi,FX,low,6,next_30m,159,0.09027083823796335,0.3240309700156065,0.0007096978431373469,0.026640154713093018,0.44025157232704404
CNH,Offshore Renminbi,FX,high,6,next_30m,113,0.13050205195545034,0.637900532425749,0.0018263002746473633,0.0427352345804668,0.4424778761061947
CNH,Offshore Renminbi,FX,low,12,next_60m,75,0.057417510933805066,0.08148955353030198,0.00017383225312295192,0.013184545996086018,0.4666666666666667
CNH,Offshore Renminbi,FX,high,12,next_60m,60,0.14719385282319658,0.31201223149202556,0.001244532767921358,0.035277935992930366,0.4
6Z,South African Rand,FX,low,0,same_bar,904,1.1011985305513619,4.8472461061442065,0.013122876124503469,0.11455512264627678,0.40486725663716816
6Z,South African Rand,FX,high,0,same_bar,450,1.526990132646028,4.097945223876558,0.01738162008983457,0.13183937230522044,0.44666666666666666
6Z,South African Rand,FX,low,1,next_5m,793,-0.13130347817701582,-0.48713267153871503,0.0001855493679202569,-0.013621650704676882,0.3354350567465322
6Z,South African Rand,FX,high,1,next_5m,410,-0.3348682909451413,-0.8398161808904635,0.0010336304990901102,-0.032150124402402926,0.32682926829268294
6Z,South African Rand,FX,low,3,next_15m,637,-0.06393398928474724,-0.11029153786766094,1.5529274603465204e-05,-0.003940720061534968,0.4097331240188383
6Z,South African Rand,FX,high,3,next_15m,347,-0.0015845789154258646,-0.00174333470398569,9.05484343061147e-09,-9.515694195997865e-05,0.4207492795389049
6Z,South African Rand,FX,low,6,next_30m,491,-0.29293618335598953,-0.3503596455718839,0.0001571661752297615,-0.012536593445977861,0.4134419551934827
6Z,South African Rand,FX,high,6,next_30m,279,-0.3502325780287751,-0.2471668018795376,0.0002557360150545751,-0.015991748342649183,0.4014336917562724
6Z,South African Rand,FX,low,12,next_60m,336,0.5393149820817862,0.3277006064827096,0.000274620953436,0.016571691326961038,0.44642857142857145
6Z,South African Rand,FX,high,12,next_60m,204,-1.2844472899923414,-0.7078477365784964,0.0017508492794247044,-0.041843150926102406,0.4362745098039216
CL,WTI Crude Oil,Energy,low,0,same_bar,1611,45.65742285070722,6.617471280662691,0.026507094621596283,0.16280999545972644,0.5518311607697083
CL,WTI Crude Oil,Energy,high,0,same_bar,1611,39.59767851341168,12.518715406185168,0.126322011655988,0.3554180800915846,0.6672873991309746
CL,WTI Crude Oil,Energy,low,1,next_5m,1609,5.31572734599053,0.960470287003594,0.00035098207212347354,0.018734515529461662,0.5027967681789932
CL,WTI Crude Oil,Energy,high,1,next_5m,1609,-3.2757634220526546,-1.3279440755754428,0.0008635755201749085,-0.029386655477867563,0.4748290863890615
CL,WTI Crude Oil,Energy,low,3,next_15m,1605,5.191211136893969,0.37261814704402724,0.00010986484724240242,0.010481643346471016,0.5052959501557632
CL,WTI Crude Oil,Energy,high,3,next_15m,1605,-8.86064720002824,-1.6852315858133993,0.002057342669524065,-0.045357939432078546,0.47601246105919004
CL,WTI Crude Oil,Energy,low,6,next_30m,1599,24.899471336711674,1.2444207650158512,0.001320436001018388,0.03633780402030682,0.5134459036898061
CL,WTI Crude Oil,Energy,high,6,next_30m,1599,-0.4493036458732092,-0.0638458420082629,2.7758416974998923e-06,-0.0016660857413362418,0.49343339587242024
CL,WTI Crude Oil,Energy,low,12,next_60m,1587,49.689200442037595,1.5471457436787717,0.0026848566951526154,0.0518156028156838,0.5015752993068683
CL,WTI Crude Oil,Energy,high,12,next_60m,1587,-9.403584757938216,-0.9499758401150424,0.000625595180680838,-0.02501190078104112,0.5015752993068683
BZ,Brent Crude Oil,Energy,low,0,same_bar,1550,12.370657367358271,7.045977617389496,0.015390374761714343,0.12405794920807922,0.5619354838709677
BZ,Brent Crude Oil,Energy,high,0,same_bar,1472,5.78256055104982,6.325975027758454,0.013747826344710057,0.11725112513195746,0.5672554347826086
BZ,Brent Crude Oil,Energy,low,1,next_5m,1549,-0.7319934307223602,-0.4102265595159236,5.7081184994145495e-05,-0.007555209129736283,0.46739832149774047
BZ,Brent Crude Oil,Energy,high,1,next_5m,1471,0.09666959626616656,0.09730695050132748,3.949097327815565e-06,0.0019872335866456523,0.49014276002719237
BZ,Brent Crude Oil,Energy,low,3,next_15m,1545,-3.3616532026412016,-0.9369226621431879,0.00038846307492734766,-0.01970946663223907,0.4893203883495146
BZ,Brent Crude Oil,Energy,high,3,next_15m,1471,1.3655101575238437,0.6880414262095447,0.0002703808998245627,0.01644326305283013,0.4908225696804895
BZ,Brent Crude Oil,Energy,low,6,next_30m,1539,-1.4566880344461395,-0.25547275176732237,3.8378864828492176e-05,-0.006195067782394588,0.4983755685510071
BZ,Brent Crude Oil,Energy,high,6,next_30m,1467,0.902635456720716,0.3106736530478678,6.479773170153802e-05,0.008049703826938908,0.5078391274710293
BZ,Brent Crude Oil,Energy,low,12,next_60m,1528,1.2499311160893898,0.1108496685942264,1.4797676241018465e-05,0.003846774784281129,0.4967277486910995
BZ,Brent Crude Oil,Energy,high,12,next_60m,1459,-0.36984461828880844,-0.0794031427312244,5.437512439754322e-06,-0.002331847430596527,0.5044551062371487
