root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
ZF,5-Year U.S. Treasury Note,Rates,high,12,next_60m,1576,-0.864392558225537,-2.155280889784907,0.002108919959675881,-0.04592297855840581,0.4289340101522843
ZN,10-Year U.S. Treasury Note,Rates,low,0,same_bar,1593,0.3392588703269123,2.0857296897082946,0.0014150033064268541,0.037616529696756065,0.3653483992467043
ZN,10-Year U.S. Treasury Note,Rates,high,0,same_bar,1597,3.1985018034171295,10.683103466302434,0.1339396533250371,0.365977667795505,0.5272385723231058
ZN,10-Year U.S. Treasury Note,Rates,low,1,next_5m,1591,-0.07526455595788176,-0.3768422630708691,6.957608820601369e-05,-0.008341228219274624,0.3595223130106851
ZN,10-Year U.S. Treasury Note,Rates,high,1,next_5m,1595,-0.20321635112949563,-1.1320174816088568,0.0005406871203312846,-0.02325267985268496,0.3347962382445141
ZN,10-Year U.S. Treasury Note,Rates,low,3,next_15m,1588,-0.5019593903287962,-1.621284384207365,0.0012110474260595971,-0.03480010669609443,0.3929471032745592
ZN,10-Year U.S. Treasury Note,Rates,high,3,next_15m,1591,-0.6613626602434253,-2.267225359185967,0.002220815546135846,-0.04712552966424733,0.360779384035198
ZN,10-Year U.S. Treasury Note,Rates,low,6,next_30m,1582,-0.2681211122210664,-0.5889396876508083,0.0001839402838902382,-0.013562458622611491,0.42604298356510745
ZN,10-Year U.S. Treasury Note,Rates,high,6,next_30m,1585,-0.7043635342297238,-1.6877190668385664,0.001316402626073021,-0.0362822632435319,0.39747634069400634
ZN,10-Year U.S. Treasury Note,Rates,low,12,next_60m,1570,-0.2685834718474652,-0.3929129836778144,9.591998822311432e-05,-0.009793875036118416,0.4407643312101911
ZN,10-Year U.S. Treasury Note,Rates,high,12,next_60m,1574,-0.9924544973690597,-1.5632070733385124,0.0013472824932726502,-0.036705346930283225,0.41232528589580686
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,0,same_bar,1562,0.7216401159330035,4.3276893803447445,0.005273315000723255,0.0726175942917647,0.3879641485275288
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,0,same_bar,1589,2.749408258820514,11.701291804042908,0.09896810153834479,0.3145919603841534,0.5028319697923223
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,1,next_5m,1560,0.0026808122299451227,0.013163873889412774,7.29377624963945e-08,0.0002700699212497563,0.36346153846153845
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,1,next_5m,1586,-0.02702449987113085,-0.12940377978154596,9.658078366503453e-06,-0.0031077449005000096,0.3656998738965952
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,3,next_15m,1555,-0.2318922140497448,-0.5595552254204368,0.0002047810868889277,-0.01431017424383789,0.40964630225080384
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,3,next_15m,1580,-0.518391879940375,-1.5875469583449107,0.0013130988771522523,-0.036236706212797246,0.3949367088607595
