root,target_months,horizon,horizon_bars,n,mean_forward_return_bp,median_forward_return_bp,mean_initial_funding_paid_bp,mean_path_funding_paid_bp,mean_excess_after_initial_funding_bp,mean_excess_after_path_funding_bp,median_excess_after_path_funding_bp,path_excess_hac_t,initial_excess_hac_t,positive_path_excess_fraction,contango_fraction,avg_abs_funding_share_of_abs_return
GC,1,1h,1,58460,0.14359449946501904,0.0,0.05519396382591816,0.05519396382591816,0.08840053563910087,0.08840053563910087,-0.014812892136202658,1.0106255572826568,1.0106255572826568,0.4972630858706808,0.9853746151214505,0.013308387046200335
GC,1,4h,4,58391,0.5583134855839113,0.6599135515639176,0.22070571082629545,0.22079071766562947,0.33760777475761583,0.3375227679182818,0.515579171474055,1.167010617803364,1.1673461155448515,0.5040502817214981,0.9853573324656197,0.03287115764831186
GC,1,1d,24,57941,3.353481239320801,4.272768784518988,1.3243153043874916,1.323285694879559,2.029165934933309,2.0301955444412423,3.0359786108508016,1.1524059354228506,1.1519520196678819,0.5160766987107575,0.9853126456222709,0.07899114606201467
GC,1,3d,72,56916,9.691166570145857,8.050603841578408,3.9722667410542196,3.9681570403807527,5.718899829091635,5.723009529765103,4.165432434014573,1.1089435535358136,1.1083512638918511,0.5134408602150538,0.9852414083913135,0.15356564483920687
GC,1,1w,168,55320,21.329439910359667,25.20702513379991,9.26628758751554,9.25972510203811,12.063152322844125,12.069714808321557,16.440877949233748,1.0428949537860588,1.042573258154958,0.5281091829356471,0.9850686912509038,0.2708302209865515
GC,1,1m,720,46488,88.24552633866188,28.549754689892737,39.890520913889205,39.913628420768724,48.35500542477268,48.33189791789315,-7.3120734859782335,0.9414560685458658,0.9432848006356825,0.49494493202546896,0.9827482361039408,0.4629104353098469
GC,3,1h,1,58381,0.1459148344404746,0.0,0.054077874300099464,0.054077874300099464,0.09183696014037515,0.09183696014037515,-0.01573454424770151,1.0485665557899269,1.0485665557899269,0.4970624004384988,0.9958548157791062,0.013033478020609555
GC,3,4h,4,58264,0.5976003007290653,0.662625939549244,0.21662306109896623,0.21640588274823563,0.380977239630099,0.38119441798082965,0.5244711588079976,1.314650285619289,1.3139521239816598,0.5042393244542084,0.9958464918302897,0.03200188292528457
GC,3,1d,24,57507,3.690303597804106,4.565167849195362,1.2991937413173191,1.2998071137596612,2.3911098564867874,2.3904964840444456,3.364070431846157,1.3467125701337874,1.3471440940770607,0.5175369954962005,0.995791816648408,0.07709899495670963
GC,3,3d,72,56060,10.693976388200387,9.606569490459016,3.907644790886866,3.909966428657736,6.786331597313522,6.78400995954265,5.675308221202674,1.303596044772011,1.3042622303336484,0.5176061362825544,0.9959686050660007,0.15123365153300558
GC,3,1w,168,53597,22.122813873960634,26.65413932990468,9.154777093354456,9.156001173209086,12.96803678060618,12.966812700751552,17.9105047859951,1.1082835843544856,1.108732630528449,0.5318767841483665,0.9968095229210591,0.27601613915500767
GC,3,1m,720,44553,110.91349120631708,66.07200797361656,40.16953225418737,40.185107990812874,70.74395895212972,70.72838321550421,28.645706449719196,1.4296284029382005,1.4314053381594738,0.5207056763854286,0.9987879604067066,0.6699303958134171
GC,6,1h,1,57873,0.14701368498076178,0.0,0.05316474134074378,0.05316474134074378,0.09384894364001801,0.09384894364001801,-0.015539171387145535,1.0637831788124557,1.0637831788124557,0.49708845230072746,0.996855182900489,0.012758401929570675
GC,6,4h,4,57546,0.602503769833916,0.7049497309941088,0.21339010944922535,0.21310199417810163,0.3891136603846906,0.3894017756558143,0.5369401626290948,1.3302853659824532,1.3293368798529106,0.5047614082646926,0.9968373127584889,0.031430890070679236
GC,6,1d,24,55459,3.9692576558019375,5.022741964566535,1.284198380998322,1.283064331132535,2.685059274803616,2.6861933246694027,3.8293627324795567,1.473318898925765,1.4727364711435749,0.520492616166898,0.9967543590760742,0.07604635417727217
GC,6,3d,72,51589,13.99558175588657,11.423350568238178,3.896965411397361,3.892081436433451,10.09861634448921,10.10350031945312,7.472536504932401,1.835327519072475,1.834581533772258,0.5230572408846847,0.9965496520576091,0.14906595758144522
GC,6,1w,168,45850,38.42293906219162,38.029573108069314,9.246275517656835,9.22833144765575,29.17666354453478,29.194607614535865,28.974301891771592,2.2472224173262334,2.246359409254652,0.5504907306434024,0.996226826608506,0.22356757191337237
GC,6,1m,720,27631,174.07767432043468,123.40757192412788,43.046808018484256,43.00987293532157,131.03086630195043,131.0678013851131,79.08581808315436,1.9198247132078932,1.9211732412115785,0.546270493286526,0.9945351235930657,0.39002869586519306
HG,1,1h,1,57712,0.15402191534822612,0.0,0.040247943235235055,0.040247943235235055,0.11377397211299105,0.11377397211299105,-0.025154610201774164,0.8487372236640988,0.8487372236640988,0.4881827003049626,0.8292036318270031,0.00705593603389301
