variant,base_variant,kind,rule_count,rules,cost_multiplier,dispersion_q,tail_q,train_score,train_gross_return,train_cost_return,train_net_return,train_cagr,train_gross_to_cost,train_tstat,train_sharpe,train_max_drawdown,train_event_count,train_event_win_rate,train_mean_event_net,train_mean_events_per_day,train_active_day_fraction,train_turnover,embargo_gross_return,embargo_cost_return,embargo_net_return,embargo_cagr,embargo_gross_to_cost,embargo_tstat,embargo_sharpe,embargo_max_drawdown,embargo_event_count,embargo_event_win_rate,embargo_mean_event_net,embargo_mean_events_per_day,embargo_active_day_fraction,embargo_turnover,test_gross_return,test_cost_return,test_net_return,test_cagr,test_gross_to_cost,test_tstat,test_sharpe,test_max_drawdown,test_event_count,test_event_win_rate,test_mean_event_net,test_mean_events_per_day,test_active_day_fraction,test_turnover,full_gross_return,full_cost_return,full_net_return,full_cagr,full_gross_to_cost,full_tstat,full_sharpe,full_max_drawdown,full_event_count,full_event_win_rate,full_mean_event_net,full_mean_events_per_day,full_active_day_fraction,full_turnover
hg_core_tailq0p2_costx1p0,hg_core_tailq0p2,individual,4,"hg_0430_s60_h60,hg_2100_s15_h120,hg_2100_s15_h60,hg_2100_s30_h120",1.0,0.0,0.2,3.805548348592502,0.26235824854721224,0.1280614695052916,0.13429677904192058,0.019383868948421146,2.048689973344179,2.183902562819755,0.8256717268225237,-0.06552818512451875,800,0.55625,0.0001678709738024007,0.3129890453834116,0.27582159624413144,1600.0,-0.001924681417912133,0.0001600768368816145,-0.0020847582547937477,-0.1733422279291803,-12.023484817703757,-1.0,-8.5480996845455,0.0,1,0.0,-0.0020847582547937477,0.2,0.2,2.0,0.09893707548056208,0.06579157995834356,0.033145495522218474,0.01116869116489827,1.5037954027430993,0.6882377479272591,0.398272842572946,-0.049264202859013326,411,0.5304136253041363,8.064597450661426e-05,0.3767186067827681,0.3382218148487626,822.0,0.3593706426098622,0.19401312630051676,0.1653575163093453,0.01668013081085329,1.8523006636840376,2.1165140725994505,0.6694379926374541,-0.06552818512451875,1212,0.5470297029702971,0.00013643359431464135,0.33187294633077763,0.2943592552026287,2424.0
xs_0430_s60_h60_dispq0p8_costx1p0,xs_0430_s60_h60_dispq0p8,xs,1,xs_0430_s60_h60,1.0,0.8,0.2,3.6682162324126613,0.12490583628717189,0.05412512355240365,0.07078071273476826,0.010169820770872029,2.307723809004126,2.6613440346052073,1.0061788296471093,-0.012638599923145984,210,0.638095238095238,0.00033705101302270606,0.08215962441314555,0.08215962441314555,420.0,-0.0012853519670119606,0.0002669892503720519,-0.0015523412173840125,-0.13216021201516237,-4.814246136205152,-1.0000000000000002,-8.5480996845455,-0.0015523412173840125,1,0.0,-0.0015523412173840125,0.2,0.2,2.0,0.09561929603670616,0.06065036887809469,0.034968927158611475,0.011786721103422604,1.5765657786665386,0.9278464040165482,0.5369307712511775,-0.030273644371402578,199,0.5226130653266332,0.00017572325205332404,0.18240146654445463,0.18240146654445463,398.0,0.2192397803568661,0.11504248168087038,0.10419729867599573,0.010478530047661527,1.9057288851351506,2.258090637325428,0.7142176293626011,-0.03027364437140264,410,0.5804878048780487,0.00025413975286828227,0.11226725082146768,0.11226725082146768,820.0
hg_0430_s60_h60_tailq0p2_costx1p0,hg_0430_s60_h60_tailq0p2,individual,1,hg_0430_s60_h60,1.0,0.0,0.2,3.4336922450424776,0.2083458126693044,0.09220425804380995,0.1161415546254944,0.016741610830233844,2.259611617614351,1.9768746856424646,0.7474003479801138,-0.07537621417153281,576,0.5694444444444444,0.00020163464344703883,0.22535211267605634,0.22535211267605634,1152.0,-0.001924681417912133,0.0001600768368816145,-0.0020847582547937477,-0.1733422279291803,-12.023484817703757,-1.0,-8.5480996845455,0.0,1,0.0,-0.0020847582547937477,0.2,0.2,2.0,0.10753057354927087,0.050424203617708566,0.05710636993156227,0.019320137338196375,2.1325190252783095,1.2608308913684518,0.7296238903219358,-0.02855909235937651,315,0.5650793650793651,0.00018129006327480084,0.2887259395050413,0.2887259395050413,630.0,0.31395170480066315,0.14278853849840012,0.17116316630226291,0.01727079372482576,2.1987178249897195,2.3067343194095176,0.7296032718728223,-0.07537621417153281,892,0.5672645739910314,0.00019188695773796286,0.244249726177437,0.244249726177437,1784.0
si_0430_s60_h60_tailq0p1_costx1p0,si_0430_s60_h60_tailq0p1,individual,1,si_0430_s60_h60,1.0,0.0,0.1,2.690004754675482,0.18044174545619596,0.09123200598244739,0.08920973947374858,0.012834643442618088,1.9778338041905172,1.5251083287270732,0.5766002791560554,-0.03334185404202558,244,0.5737704918032787,0.0003656136863678221,0.09546165884194054,0.09546165884194054,488.0,-0.0051586970969181856,0.0003739016638624893,-0.005532598760780675,-0.39661235273061635,-13.796935385704547,-0.9999999999999999,-8.548099684545498,-0.005532598760780675,1,0.0,-0.005532598760780675,0.2,0.2,2.0,0.23787734365886148,0.09011030099085993,0.14776704266800159,0.05076189560820121,2.6398462888609138,1.5849606391432576,0.9171929046596494,-0.08040918593329516,241,0.5933609958506224,0.000613141255883824,0.22089825847846012,0.22089825847846012,482.0,0.41316039201813926,0.18171620863716978,0.23144418338096945,0.023424060159835447,2.2736573424943662,2.0999971212883977,0.6642138011835405,-0.08040918593329523,486,0.5823045267489712,0.00047622259954931996,0.1330777656078861,0.1330777656078861,972.0
xs_0430_s60_h60_dispq0p7_costx1p0,xs_0430_s60_h60_dispq0p7,xs,1,xs_0430_s60_h60,1.0,0.7,0.2,2.3306889022521187,0.1300157623608056,0.08236866680829578,0.0476470955525098,0.006834640354818511,1.578461414986882,1.6174197291606718,0.611500606074947,-0.02022973385448848,315,0.5777777777777777,0.00015126062080161843,0.12323943661971831,0.12323943661971831,630.0,-0.0012853519670119606,0.0002669892503720519,-0.0015523412173840125,-0.13216021201516237,-4.814246136205152,-1.0000000000000002,-8.5480996845455,-0.0015523412173840125,1,0.0,-0.0015523412173840125,0.2,0.2,2.0,0.11998929977349215,0.08379441683718838,0.03619488293630378,0.012202456224994274,1.4319486226227938,0.9341398610544013,0.5405727002671683,-0.035799657818294986,282,0.5212765957446809,0.00012835064871029707,0.25847846012832265,0.25847846012832265,564.0,0.24871971016728578,0.1664300728958562,0.08228963727142959,0.0082663234934095,1.494439711763645,1.6900769088477376,0.5345590222664491,-0.035799657818295076,598,0.5501672240802675,0.00013760808908265813,0.16374589266155531,0.16374589266155531,1196.0
hg_core_tailq0p1_costx1p0,hg_core_tailq0p1,individual,4,"hg_0430_s60_h60,hg_2100_s15_h120,hg_2100_s15_h60,hg_2100_s30_h120",1.0,0.0,0.1,2.292976606559536,0.13235380694286858,0.06547142628458033,0.0668823806582882,0.009607024081972337,2.021550689419458,1.3477102567461126,0.5095310907585714,-0.04404426251334824,409,0.5647921760391198,0.00016352660307649924,0.16001564945226918,0.14788732394366197,818.0,-0.001924681417912133,0.0001600768368816145,-0.0020847582547937477,-0.1733422279291803,-12.023484817703757,-1.0,-8.5480996845455,0.0,1,0.0,-0.0020847582547937477,0.2,0.2,2.0,0.10903341718695447,0.03953897870975878,0.06949443847719566,0.023560272012363992,2.757618450069968,1.7120248046986002,0.9907230278725867,-0.037005373324982285,247,0.5708502024291497,0.00028135400193196624,0.22639780018331807,0.20989917506874428,494.0,0.23946254271191092,0.10517048183122071,0.13429206088069012,0.013525374829013614,2.2768987889225825,2.093526790153048,0.6621672825503673,-0.04404426251334824,657,0.5662100456621004,0.00020440191914869116,0.1799014238773275,0.1664841182913472,1314.0
xs_0430_s60_h60_dispq0p5_costx1p0,xs_0430_s60_h60_dispq0p5,xs,1,xs_0430_s60_h60,1.0,0.5,0.2,2.1907583996224775,0.18279492486019244,0.13350982260603306,0.04928510225415941,0.0070704295999040045,1.3691496347770016,1.4822746053633928,0.5604060610906374,-0.022252730524051897,525,0.5333333333333333,9.387638524601797e-05,0.20539906103286384,0.20539906103286384,1050.0,-0.0012853519670119606,0.0002669892503720519,-0.0015523412173840125,-0.13216021201516237,-4.814246136205152,-1.0000000000000002,-8.5480996845455,-0.0015523412173840125,1,0.0,-0.0015523412173840125,0.2,0.2,2.0,0.14768476544031284,0.1186489820174444,0.029035783422868448,0.009777138222528237,1.2447200382941292,0.7269273294686435,0.42066192202238284,-0.0380059337196598,409,0.5061124694376528,7.099213550823582e-05,0.3748854262144821,0.3748854262144821,818.0,0.3291943383334933,0.2524257938738495,0.07676854445964384,0.007709575361366072,1.3041232168928392,1.476766081652962,0.4670903605581318,-0.0380059337196599,935,0.520855614973262,8.210539514400415e-05,0.2560240963855422,0.2560240963855422,1870.0
hg_0430_s60_h60_tailq0p1_costx1p0,hg_0430_s60_h60_tailq0p1,individual,1,hg_0430_s60_h60,1.0,0.0,0.1,1.7279289407504659,0.09300976848526132,0.046102129021904976,0.04690763946335631,0.006728214559433621,2.017472304610241,0.9827476721942342,0.37154907061593045,-0.044070876088947955,288,0.5659722222222222,0.00016287374813665388,0.11267605633802817,0.11267605633802817,576.0,-0.001924681417912133,0.0001600768368816145,-0.0020847582547937477,-0.1733422279291803,-12.023484817703757,-1.0,-8.5480996845455,0.0,1,0.0,-0.0020847582547937477,0.2,0.2,2.0,0.1178400619727551,0.03009444533374353,0.08774561663901154,0.029839362798436575,3.915674825235154,2.3376029469835324,1.352735698246569,-0.015058030253676705,188,0.6223404255319149,0.0004667320033989976,0.17231897341888175,0.17231897341888175,376.0,0.20892514904010429,0.07635665119253011,0.1325684978475741,0.013350630638131689,2.736174855459654,2.1813194365387525,0.6899354574591189,-0.044070876088947955,477,0.5870020964360587,0.0002779213791353755,0.1306133625410734,0.1306133625410734,954.0
gc_2230_s30_h15_tailq0p1_costx1p0,gc_2230_s30_h15_tailq0p1,individual,1,gc_2230_s30_h15,1.0,0.0,0.1,1.4560120927550377,0.04061545308633008,0.02225184238645502,0.018363610699875056,0.002628618563338625,1.8252624830316622,1.012725667098881,0.38288290173137995,-0.008768833269210553,202,0.4900990099009901,9.090896386076759e-05,0.07902973395931143,0.07902973395931143,404.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.043885687543444796,0.01663380297205301,0.027251884571391785,0.00917370434435183,2.6383435956995855,1.5567814425807893,0.9008860270578963,-0.013485137481461674,151,0.4768211920529801,0.00018047605676418393,0.1384051329055912,0.1384051329055912,302.0,0.08450114062977487,0.038885645358508025,0.045615495271266834,0.00457385189749604,2.1730677181955618,1.8098502329808486,0.5724424527227886,-0.013485137481461773,353,0.48441926345609065,0.0001292223662075548,0.09665936473165389,0.09665936473165389,706.0
hg_2100_s15_h120_tailq0p1_costx1p0,hg_2100_s15_h120_tailq0p1,individual,1,hg_2100_s15_h120,1.0,0.0,0.1,1.3253111645002165,0.024919741346461688,0.013126300624292389,0.011793440722169299,0.0016873531840611022,1.8984588316028346,0.9413319676907231,0.355890965333599,-0.00787320918484112,82,0.5487804878048781,0.0001438224478313329,0.032081377151799685,0.032081377151799685,164.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,-0.006601755675300636,0.005282535617093278,-0.011884291292393918,-0.003974408932656326,-1.2497323546553312,-0.933730320314684,-0.540335705195265,-0.018191387010730642,33,0.3333333333333333,-0.00036013003916345195,0.03024747937671861,0.03024747937671861,66.0,0.018317985671161052,0.018408836241385666,-9.085057022461705e-05,-9.088748281982362e-06,0.9950648390244046,-0.005086500529715856,-0.0016088230870963558,-0.018191387010730642,115,0.48695652173913045,-7.900049584749497e-07,0.03148959474260679,0.03148959474260679,230.0
