root,rows,first_ts,last_ts,roll_dates,reindexed_rows,observed_fraction,median_obs_30m
GC,3336942,2016-06-22 00:00:00+00:00,2026-06-21 23:59:00+00:00,49,5188320,0.6330176242020539,30.0
SI,3226463,2016-06-22 00:00:00+00:00,2026-06-21 23:59:00+00:00,53,5182560,0.6137812200920009,28.0
HG,3278031,2016-06-22 00:00:00+00:00,2026-06-21 23:59:00+00:00,49,5188320,0.623406227834829,28.0
PL,2874099,2016-06-22 00:00:00+00:00,2026-06-21 23:58:00+00:00,40,5201279,0.5466847673428017,20.0
PA,1370959,2016-06-22 00:00:00+00:00,2026-06-21 23:55:00+00:00,40,5201276,0.2604653165876989,4.0
