strategy,root,cum_log_contribution,contribution_bp,share_of_gross_pnl
selected_pre2023_event_20D_pure,GC,0.015566332758939828,155.66332758939828,0.15195244038866254
selected_pre2023_event_20D_pure,SI,0.002292139833425827,22.92139833425827,0.022374970829342478
selected_pre2023_event_20D_pure,HG,0.01664520058853499,166.4520058853499,0.16248392536348136
selected_pre2023_event_20D_pure,PL,0.0,0.0,0.0
selected_pre2023_event_20D_pure,PA,0.06793846410313643,679.3846410313644,0.6631886634185137
selected_pre2023_event_60D_pure,GC,0.03547092741540235,354.7092741540235,0.2660105398239008
selected_pre2023_event_60D_pure,SI,0.0700401411297876,700.4014112978759,0.5252587713053924
selected_pre2023_event_60D_pure,HG,0.027832999095453656,278.3299909545366,0.20873068887070675
selected_pre2023_event_60D_pure,PL,0.0,0.0,0.0
selected_pre2023_event_60D_pure,PA,0.0,0.0,0.0
selected_pre2023_event_120D_pure,GC,0.01911534927666747,191.1534927666747,0.26150750173380777
selected_pre2023_event_120D_pure,SI,0.009294461052692736,92.94461052692736,0.12715285787734215
selected_pre2023_event_120D_pure,HG,0.009417340216782547,94.17340216782547,0.12883390606281728
selected_pre2023_event_120D_pure,PL,0.035269602510391976,352.69602510391974,0.4825057343260329
selected_pre2023_event_120D_pure,PA,0.0,0.0,0.0
selected_pre2023_event_252D_pure,GC,0.0,0.0,0.0
selected_pre2023_event_252D_pure,SI,0.0,0.0,0.0
selected_pre2023_event_252D_pure,HG,0.11923247029911019,1192.324702991102,1.0
selected_pre2023_event_252D_pure,PL,0.0,0.0,0.0
selected_pre2023_event_252D_pure,PA,0.0,0.0,0.0
selected_pre2023_event_120D_carry_tailwind,GC,0.01741614915203983,174.1614915203983,0.16703758391193774
selected_pre2023_event_120D_carry_tailwind,SI,0.021575720518253218,215.75720518253218,0.20693186507914882
selected_pre2023_event_120D_carry_tailwind,HG,0.046727448087216183,467.27448087216186,0.448161069517765
selected_pre2023_event_120D_carry_tailwind,PL,0.018545535362143366,185.45535362143366,0.17786948149114853
selected_pre2023_event_120D_carry_tailwind,PA,0.0,0.0,0.0
selected_pre2023_event_120D_agree_60D,GC,0.016731803761150868,167.3180376115087,0.2414333730084699
selected_pre2023_event_120D_agree_60D,SI,0.00736055390187846,73.6055390187846,0.10620990905160707
selected_pre2023_event_120D_agree_60D,HG,0.007042743203468177,70.42743203468177,0.10162402518692
selected_pre2023_event_120D_agree_60D,PL,0.03816685003058866,381.6685003058866,0.5507326927530031
selected_pre2023_event_120D_agree_60D,PA,0.0,0.0,0.0
selected_pre2023_event_120D_agree_60D_carry,GC,0.01289443818745672,128.9443818745672,0.0974720995640964
selected_pre2023_event_120D_agree_60D_carry,SI,0.024516266830426646,245.16266830426645,0.18532424342146786
selected_pre2023_event_120D_agree_60D_carry,HG,0.03722393703960553,372.23937039605534,0.2813845197863348
selected_pre2023_event_120D_agree_60D_carry,PL,0.057653861474514186,576.5386147451419,0.43581913722810117
selected_pre2023_event_120D_agree_60D_carry,PA,0.0,0.0,0.0
selected_pre2023_event_60D_agree_120D,GC,0.03213302676320191,321.3302676320191,0.3116061012445816
selected_pre2023_event_60D_agree_120D,SI,0.04838568730316681,483.8568730316681,0.46921429119293084
selected_pre2023_event_60D_agree_120D,HG,0.0340426449603992,340.426449603992,0.3301243904079228
selected_pre2023_event_60D_agree_120D,PL,-0.011440699210224427,-114.40699210224427,-0.11094478284543532
selected_pre2023_event_60D_agree_120D,PA,0.0,0.0,0.0
selected_pre2023_event_20D_agree_60D_carry,GC,0.0,0.0,0.0
selected_pre2023_event_20D_agree_60D_carry,SI,-0.0033316149595374635,-33.31614959537463,-0.018914712910059493
selected_pre2023_event_20D_agree_60D_carry,HG,0.09564654980096333,956.4654980096334,0.5430180414888325
selected_pre2023_event_20D_agree_60D_carry,PL,0.0,0.0,0.0
selected_pre2023_event_20D_agree_60D_carry,PA,0.08382387177855707,838.2387177855708,0.47589667142122705
