strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
selected_pre2023_event_252D_pure,2021_2022,1.0,11820,1.9874515172256446,0.33079526226734346,0.057646362144708904,0.05973303747911525,0.002086675334406323,0.029429912999073046,0.029005166488377813,0.031032778090007165,0.9346622595067549,1.3176588349084406,-0.02968530553730897,0.5048593350383632,0.1487119236437568,0.33079526226734346,0.33079526226734346,10.499251510392508
selected_pre2023_event_60D_pure,2021_2022,1.0,11820,1.9874515172256446,0.27774957698815567,0.022735961207867125,0.026656795946836526,0.003920834738969413,0.011505440641817714,0.011439756396978718,0.01586857287388163,0.7209064411713808,1.0163122900171053,-0.01865411792996352,0.4843131282363692,0.07321340605503235,0.27774957698815567,0.26700784178877107,19.72795162541951
selected_pre2023_event_120D_agree_60D_carry,2021_2022,1.0,11820,1.9874515172256446,0.32157360406091373,0.03066384352111036,0.03386427414520897,0.0032004306240986068,0.015548362581382593,0.015428725307430455,0.02162202719948513,0.7135651604303712,1.0059627724993665,-0.023124230240637034,0.491186529860563,0.0825147159197852,0.32157360406091373,0.28220628019673993,16.103188411691185
selected_pre2023_event_120D_carry_tailwind,2021_2022,1.0,11820,1.9874515172256446,0.34483925549915395,0.0209900805067472,0.02427680120324196,0.003286720696494762,0.01061727185847248,0.01056130442671025,0.02296918919741138,0.4598031012736185,0.6482166285725645,-0.023124230240637034,0.4896957801766438,0.05321413274471836,0.34483925549915395,0.3054719316349802,16.537362889147676
selected_pre2023_event_20D_agree_60D_carry,2021_2022,1.0,11820,1.9874515172256446,0.31861252115059224,0.027707789150821047,0.03736886701071431,0.009661077859893268,0.014039000105036798,0.013941366071409556,0.03776075106322834,0.36920256294864184,0.5204907055911803,-0.03963051229881975,0.4564524694636219,0.0804774008253347,0.31861252115059224,0.2913007857675399,48.610382573656516
selected_pre2023_event_60D_agree_120D,2021_2022,1.0,11820,1.9874515172256446,0.24390862944162436,0.005696296816384384,0.008542263406663446,0.002845966590279069,0.00287024248816745,0.002866131207233699,0.016425321299559596,0.17449468141061858,0.24599737099321017,-0.03310871441602958,0.47936177592785295,0.02253311417406999,0.24390862944162436,0.2248532471531229,14.319678068181794
selected_pre2023_event_120D_agree_60D,2021_2022,1.0,11820,1.9874515172256446,0.4057529610829103,0.0005577325332364741,0.003244461297226983,0.002686728763990522,0.0002806663675179931,0.00028062698808121523,0.02410523982062459,0.011641742217437268,0.01641217919147396,-0.028110661991075703,0.4933277731442869,0.0024139544062478824,0.4057529610829103,0.37882772160149997,13.518461913179266
selected_pre2023_event_120D_pure,2021_2022,1.0,11820,1.9874515172256446,0.4123519458544839,-0.0009024133783263524,0.001847867981135223,0.00275028135946159,-0.0004539524756265685,-0.0004540555432446794,0.024423042850991793,-0.018591276525817532,-0.026209424331947503,-0.033225664958287826,0.49302421009437836,-0.0006204624093688095,0.4123519458544839,0.3854267063730736,13.838231200229766
selected_pre2023_event_20D_pure,2021_2022,1.0,11820,1.9874515172256446,0.5550761421319796,-0.035293244873034105,-0.02042121363160513,0.014872031241428971,-0.017601295864306418,-0.01775804067024549,0.03814758938246141,-0.4655088554143308,-0.6562604297176889,-0.04804919692017717,0.4476451760402378,-0.04820035326973634,0.5550761421319796,0.5170274479505064,74.82965552885223
selected_pre2023_event_60D_agree_120D,2023_2024,1.0,11824,1.9956365503080082,0.5711265223274695,0.030733337540108804,0.03753385157040312,0.006800514030294312,0.015519463136538481,0.01540026791720436,0.027988428438545064,0.5502369649306726,0.777303257417838,-0.0295023880705364,0.48778320746334963,0.047971708307748724,0.5711265223274695,0.5418162371641927,34.07691660710822
selected_pre2023_event_120D_agree_60D_carry,2023_2024,1.0,11824,1.9956365503080082,0.2087280108254398,0.016612232984980303,0.01847193538559253,0.0018597024006122213,0.0083590209133166,0.008324277776139326,0.015601834004528995,0.533544823879225,0.7537227703922108,-0.023731087461635658,0.4740680713128039,0.06852606557933671,0.2087280108254398,0.19735221861223595,9.31884315470767
selected_pre2023_event_20D_agree_60D_carry,2023_2024,1.0,11824,1.9956365503080082,0.1875,0.018901805489771443,0.02421421021453038,0.005312404724758931,0.009516564342405644,0.009471567098154282,0.019669866081376382,0.4815267708976449,0.6802384270925738,-0.025792062267498417,0.4817320703653586,0.09382862196559061,0.1875,0.18545251313946326,26.620101360335426
selected_pre2023_event_60D_pure,2023_2024,1.0,11824,1.9956365503080082,0.5943843031123139,0.005585611897387193,0.012142916464014325,0.006557304566627133,0.002802833017720399,0.00279891240543029,0.028309510658125005,0.09886827219413574,0.13966824282962886,-0.03303686533853467,0.4860557768924303,0.010224262802201468,0.5943843031123139,0.5790360160558807,32.85821040717596
selected_pre2023_event_120D_agree_60D,2023_2024,1.0,11824,1.9956365503080082,0.7236129905277402,-0.00016884244924821913,0.005156098831142306,0.005324941280390533,-8.460223225386199e-05,-8.460581122457385e-05,0.03098964306814762,-0.0027301318391606466,-0.0038567753659136733,-0.05908496285332099,0.49310425432445065,0.0007376782968113262,0.7236129905277402,0.6824037816848508,26.68292119408556
selected_pre2023_event_120D_pure,2023_2024,1.0,11824,1.9956365503080082,0.7236129905277402,-0.000686469433238631,0.004633448324259985,0.005319917757498625,-0.0003439260415467603,-0.00034398519767173076,0.030941579427060717,-0.011117247536849721,-0.015705002162118484,-0.05957187983463419,0.49345488546049554,0.0001326911719978502,0.7236129905277402,0.6818569615369526,26.65774866008314
selected_pre2023_event_252D_pure,2023_2024,1.0,11824,1.9956365503080082,0.1740527740189445,-0.002160596135911153,-0.001023020296657049,0.0011375758392541068,-0.001082074269437314,-0.0010826601344707204,0.01705605550095489,-0.06347658369252535,-0.08967146596589101,-0.03488342800782551,0.467444120505345,-0.010012614848936572,0.1740527740189445,0.1740527740189445,5.70031571669968
selected_pre2023_event_20D_pure,2023_2024,1.0,11824,1.9956365503080082,0.4527232746955345,-0.009873339949471913,0.0024136475864170656,0.012286987535888985,-0.004935245438478959,-0.004947463979825411,0.025975586820084245,-0.19046591763617238,-0.26906548931027935,-0.07106544862804753,0.4752475247524752,-0.0117409908911282,0.4527232746955345,0.4282976312938444,61.56926487437104
selected_pre2023_event_120D_carry_tailwind,2023_2024,1.0,11824,1.9956365503080082,0.34040933694181325,-0.013281445242928678,-0.010710357907737049,0.0025710873351916285,-0.006633145450532066,-0.006655242529446962,0.0231913239575095,-0.28697121999763847,-0.40539563552848623,-0.047237691266213244,0.4760248447204969,-0.0320035906656613,0.34040933694181325,0.32903354472860946,12.883545026246411
selected_pre2023_event_252D_pure,2025_2026,1.0,8649,1.4675355540345274,0.027517632096196093,0.02214685056240675,0.022520273301267803,0.0003734227388610496,0.015205631936318449,0.015091185015259733,0.014392394199228283,1.0485527846415519,1.2702365755999554,-0.012761424452269132,0.5504201680672269,0.9347416202691909,0.027517632096196093,0.027517632096196093,2.54455667417693
selected_pre2023_event_60D_pure,2025_2026,1.0,8649,1.4675355540345274,0.3629321308821829,0.03848897562799073,0.04426407989095357,0.005775104262962846,0.026573898808436993,0.026226945931345513,0.02629280977872414,0.9974949863505298,1.2083841979144276,-0.02731775846808937,0.5046193055113093,0.1273939969034429,0.3629321308821829,0.3606029025337118,39.3523976103067
