root,side,train_event_count,train_mean_trade_return_bp,train_median_trade_return_bp,train_hit_rate,train_trade_tstat,base_strategy
PA,long_cheap,62,14.648370398132586,17.401101268849978,0.6774193548387096,1.8469975886674581,event_20D_pure
HG,short_rich,44,10.028088529577362,12.894223033527378,0.7272727272727273,1.8849132802464563,event_20D_pure
GC,long_cheap,59,2.249443539598549,11.939358646506832,0.7288135593220338,0.687657924813845,event_20D_pure
SI,short_rich,43,0.6071271173160979,15.02724211042946,0.627906976744186,0.07996091357032883,event_20D_pure
HG,short_rich,17,34.33015145039906,32.72900149072544,0.8823529411764706,4.074675942612998,event_60D_pure
SI,short_rich,12,15.90491657796282,28.89394882121767,0.6666666666666666,0.8601837872750551,event_60D_pure
GC,short_rich,24,3.7793597804878005,14.572792065740279,0.7916666666666666,0.390275731019622,event_60D_pure
PL,long_cheap,9,84.39648758631853,71.59061938776286,0.8888888888888888,3.125093276336078,event_120D_pure
HG,short_rich,5,61.884171725268494,76.27951016689221,1.0,3.5594284498103823,event_120D_pure
SI,short_rich,9,58.64093041616281,71.23960092132124,0.8888888888888888,2.064551249127178,event_120D_pure
GC,short_rich,8,21.38392967604687,28.971759890191365,0.75,1.44998863142557,event_120D_pure
SI,long_cheap,14,5.257234753785105,38.75308247749463,0.6428571428571429,0.1680697666624113,event_120D_pure
HG,long_cheap,12,81.44601441208285,79.03155117940759,0.9166666666666666,3.944176392660339,event_252D_pure
PL,long_cheap,9,86.75498734461608,71.59061938776286,0.8888888888888888,3.4348897084156205,event_120D_carry_tailwind
SI,short_rich,5,51.16292250218904,80.86994214028364,0.8,0.9581508946750943,event_120D_carry_tailwind
GC,short_rich,7,19.4306681724451,22.187971927613006,0.7142857142857143,1.1184415486033645,event_120D_carry_tailwind
HG,long_cheap,11,13.93649637457529,47.38920139603399,0.8181818181818182,0.37200960379022924,event_120D_carry_tailwind
PL,long_cheap,9,84.39648758631853,71.59061938776286,0.8888888888888888,3.125093276336078,event_120D_agree_60D
HG,short_rich,5,61.884171725268494,76.27951016689221,1.0,3.5594284498103823,event_120D_agree_60D
SI,short_rich,9,58.64093041616281,71.23960092132124,0.8888888888888888,2.064551249127178,event_120D_agree_60D
GC,short_rich,7,17.628646728291837,19.053931708590653,0.7142857142857143,1.0704924362551858,event_120D_agree_60D
SI,long_cheap,14,6.254801408136363,38.75308247749463,0.6428571428571429,0.2003931723551038,event_120D_agree_60D
PL,long_cheap,9,86.75498734461608,71.59061938776286,0.8888888888888888,3.4348897084156205,event_120D_agree_60D_carry
SI,short_rich,5,51.16292250218904,80.86994214028364,0.8,0.9581508946750943,event_120D_agree_60D_carry
HG,long_cheap,9,21.64412133655727,68.56862449998054,0.8888888888888888,0.5161353011993857,event_120D_agree_60D_carry
GC,short_rich,6,7.596742985908918,12.68022651868938,0.6666666666666666,0.5047805166258826,event_120D_agree_60D_carry
HG,short_rich,16,38.980163807841194,36.54670449082687,0.9375,4.466453279004432,event_60D_agree_120D
SI,short_rich,9,18.022166646693417,39.42155993650116,0.6666666666666666,0.7259810850834427,event_60D_agree_120D
GC,short_rich,17,3.6329003109232305,13.851257593790974,0.7058823529411765,0.27182904318719275,event_60D_agree_120D
PL,long_cheap,13,0.00859512795525811,42.953940017229975,0.6923076923076923,0.00022101927635854302,event_60D_agree_120D
PA,long_cheap,38,29.07733909546991,25.012632497452863,0.631578947368421,2.83891812436977,event_20D_agree_60D_carry
HG,short_rich,15,16.976317680537573,11.175982266770005,0.7333333333333333,2.737885985948341,event_20D_agree_60D_carry
HG,long_cheap,28,16.94295438218686,24.265856913101636,0.7857142857142857,2.3148594264845452,event_20D_agree_60D_carry
SI,short_rich,20,1.9641423361765953,18.513656101171478,0.7,0.1475555902191768,event_20D_agree_60D_carry
