feature,root,month,spearman_ic,pvalue,observations
rv_z_GC,GC,2023-07,-0.31493112126710554,8.150851872927316e-74,3165
rv_z_GC,GC,2023-08,-0.08495852848280322,1.0709869267525086e-07,3901
rv_z_GC,GC,2023-09,-0.043361035934764855,0.007400686366918996,3814
rv_z_GC,GC,2023-10,-0.0479042695853045,0.001071122332679425,4660
rv_z_GC,GC,2023-11,-0.2136717571149529,1.5134072205683424e-44,4198
rv_z_GC,GC,2023-12,-0.06448055844535976,5.239538990781114e-05,3929
rv_z_GC,GC,2024-01,-0.2673773328486067,5.0026716507302965e-74,4469
rv_z_GC,GC,2024-02,-0.027381816170157683,0.08440069355683116,3973
rv_z_GC,GC,2024-03,-0.18139408608379384,6.384328356550033e-42,5503
rv_z_GC,GC,2024-04,-0.10860647859100098,4.274306155755652e-22,7874
rv_z_GC,GC,2024-05,-0.20065624444462032,9.720361925458949e-61,6580
rv_z_GC,GC,2024-06,-0.07145140501827699,1.15270416216396e-06,4624
rv_z_GC,GC,2024-07,-0.15481662738577695,5.596791784132152e-31,5524
rv_z_GC,GC,2024-08,-0.16617115809388436,1.803535778449989e-35,5520
rv_z_GC,GC,2024-09,-0.14496543099462564,1.978778209458989e-26,5331
rv_z_GC,GC,2024-10,-0.1371998115640663,1.0888296356530208e-25,5780
rv_z_GC,GC,2024-11,-0.14229332612801862,2.729187781323668e-26,5504
rv_z_GC,GC,2024-12,-0.034206547023879375,0.026925415796758268,4184
rv_z_GC,GC,2025-01,-0.17405253285278083,1.702693988415629e-33,4731
rv_z_GC,GC,2025-02,-0.03387992315441834,0.013648298185393861,5299
rv_z_GC,GC,2025-03,-0.19147147626515737,1.6033194811279515e-46,5494
rv_z_GC,GC,2025-04,0.03283306709882623,0.002741084813577482,8321
rv_z_GC,GC,2025-05,-0.07531646100338409,1.2052042619564418e-10,7290
rv_z_GC,GC,2025-06,-0.05114184122202102,2.848088288221839e-05,6691
rv_z_GC,GC,2025-07,-0.20277077594616777,6.280949265036901e-63,6680
rv_z_GC,GC,2025-08,-0.10271591840513687,1.760528654679304e-15,5972
rv_z_GC,GC,2025-09,-0.09304721447178112,1.0244207503389379e-18,8974
rv_z_GC,GC,2025-10,-0.0597760578675512,8.110365742452795e-14,15585
rv_z_GC,GC,2025-11,-0.17962672798134632,7.335997506727733e-64,8681
rv_z_GC,GC,2025-12,-0.0894446752238157,4.233303601073644e-23,12200
rv_z_GC,GC,2026-01,-0.13330283323394654,3.911029519860734e-74,18508
rv_z_GC,GC,2026-02,-0.09363324983094405,5.908943628809408e-19,8985
rv_z_GC,GC,2026-03,-0.1314298234463762,1.370312511927322e-40,10214
rv_z_GC,GC,2026-04,-0.056198042470589724,3.4030675100700765e-06,6823
rv_z_GC,GC,2026-05,-0.19584743537457347,3.405921408576354e-57,6498
rv_z_GC,GC,2026-06,-0.08068810569513583,3.428922446482905e-08,4664
rv_z_GC,SI,2023-07,-0.06047060379537652,0.0006646840094691297,3165
rv_z_GC,SI,2023-08,-0.028499019080878776,0.07511158576040541,3901
rv_z_GC,SI,2023-09,-0.02591059782010251,0.10961629612082535,3814
rv_z_GC,SI,2023-10,0.0989176683687507,1.3118508025985842e-11,4660
rv_z_GC,SI,2023-11,0.06642899458518073,1.6507853027706942e-05,4198
rv_z_GC,SI,2023-12,0.07081232559910138,8.879367252992502e-06,3929
