feature,root,horizon,spearman_ic,pvalue,observations
rv_z_GC,GC,1,-0.11412417285900095,0.0,240162
rv_z_GC,GC,2,-0.11299552233286338,0.0,240161
rv_z_GC,GC,5,-0.11417262195738509,0.0,240158
rv_z_GC,GC,10,-0.11158289530747588,0.0,240153
rv_z_GC,GC,20,-0.1104932663390279,0.0,240143
rv_z_GC,GC,50,-0.10148856151939717,0.0,240113
rv_z_GC,SI,1,0.0405397298878574,6.68547762440136e-88,240162
rv_z_GC,SI,2,0.03663302904444104,4.125420257536791e-72,240161
rv_z_GC,SI,5,0.034556459504304304,2.293651821126073e-64,240158
rv_z_GC,SI,10,0.029172103452982594,2.223697080847245e-46,240153
rv_z_GC,SI,20,0.019484395954977564,1.3087128040911468e-21,240143
rv_z_GC,SI,50,0.005719547761480967,0.005068266010875291,240113
rv_z_GC,HG,1,0.001882253579567318,0.35630988375434897,240162
rv_z_GC,HG,2,0.0009953931222688693,0.6256899770486793,240161
rv_z_GC,HG,5,-0.0003957654887924108,0.8462169830641277,240158
rv_z_GC,HG,10,-0.0010851536769831045,0.5948774245928358,240153
rv_z_GC,HG,20,-0.0035362843167878293,0.08310795681568064,240143
rv_z_GC,HG,50,-0.005673336476881698,0.005435588060215092,240113
rv_z_GC,PL,1,0.010893922818177146,9.3542137054932e-08,240162
rv_z_GC,PL,2,0.009675760427330754,2.118160350835374e-06,240161
rv_z_GC,PL,5,0.008291192188422041,4.839964033402413e-05,240158
rv_z_GC,PL,10,0.005748069283288023,0.004849363621001343,240153
rv_z_GC,PL,20,0.002445696324985217,0.2307247343683939,240143
rv_z_GC,PL,50,-0.0028120311421112347,0.16822548437380158,240113
rv_z_GC,PA,1,0.006800756515319714,0.0008596989193868564,240162
rv_z_GC,PA,2,0.004989189673748377,0.014484573140827772,240161
rv_z_GC,PA,5,0.0015259301053818942,0.454585266662456,240158
rv_z_GC,PA,10,-0.003014317758454086,0.13962889991027963,240153
rv_z_GC,PA,20,-0.008831283207400021,1.5062109795068645e-05,240143
rv_z_GC,PA,50,-0.018953774445959692,1.5664433877133797e-20,240113
rv_z_SI,GC,1,0.054649513927300004,3.094728588636663e-158,240162
rv_z_SI,GC,2,0.0531082819662825,1.5485289495798805e-149,240161
rv_z_SI,GC,5,0.054113820978940616,3.506805123641955e-155,240158
rv_z_SI,GC,10,0.05207775684438923,7.442024101420359e-144,240153
rv_z_SI,GC,20,0.05214191434302652,3.368544785632465e-144,240143
rv_z_SI,GC,50,0.04824040263649897,1.1234536522257357e-123,240113
rv_z_SI,SI,1,-0.0822749263297937,0.0,240162
