variant,gross_residual_return,primary_cost_return,macro_hedge_cost_return,total_cost_return,net_return_after_all_costs,net_raw_return_after_primary_cost,trade_overlap_net,trade_overlap_carry_adjusted_net,ann_return,ann_vol,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,mean_gross_exposure,mean_primary_turnover,mean_hedge_turnover,mean_complex_hedge_gross,gross_to_total_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_hold,0.4343014342331588,0.0575177447727134,0.024175471039692524,0.08169321581240593,0.3526082184207529,0.32641165496898705,0.066295637345323,0.06628691491507707,0.021988931215548065,0.03192850154808268,0.6886928652894615,2.7578442690971325,-0.03900898757952781,0.04206879485275922,0.07003217025488741,0.042539604311692084,0.01443420162572618,5.316248478092177,148,0.6756756756756757,0.005703793933381565,3.610285554527958,1.5945945945945945,4041
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_exit,0.4235184288151072,0.0575177447727134,0.024166222705310235,0.08168396747802364,0.3418344613370836,0.3245657747136764,0.06511456822282126,0.06511871917191464,0.021317071085608777,0.03183910332740895,0.6695248564760242,2.681086710074181,-0.04599179573996269,0.041573867854491464,0.07003217025488741,0.04246668223812433,0.014193014269901601,5.18484155325892,148,0.6756756756756757,0.005558077643948436,3.4553151451208395,1.5743243243243243,4041
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_hold,0.41406353785279776,0.0575177447727134,0.024193370047480386,0.0817111148201938,0.332352423032604,0.3323532948027853,0.066295637345323,0.06628691491507707,0.020725763574416287,0.03165181202492116,0.6548049621329037,2.6221414555174527,-0.04599179573996269,0.04132640435535759,0.07003217025488741,0.042465055962946224,0.014121831436668064,5.067407766543745,148,0.668918918918919,0.005430308847160471,3.403846713304439,1.554054054054054,4041
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_exit,0.41288226962789787,0.0575177447727134,0.024193170945082228,0.08171091571779564,0.3311713539101022,0.3322684603464511,0.06511456822282126,0.06511871917191464,0.02065211115697742,0.03165063289694684,0.6525023124883427,2.6129205829833335,-0.04599179573996269,0.041078940856223704,0.07003217025488741,0.042465055962946224,0.014037641875367133,5.052963438249379,148,0.668918918918919,0.005414345763040201,3.38537269735172,1.5405405405405406,4041
neg_z2.5_root1.5_exit0.25_mdq90_normq50_all_topo_hold,0.38134005216351846,0.04769986009879469,0.02048525980175539,0.06818511990055008,0.3131549322629684,0.2920134317569095,0.04878083338173812,0.04885783723991186,0.019528592657824313,0.029862907090905007,0.6539414464364692,2.6186835398997466,-0.0412325648160501,0.03538728037614452,0.05846325167037862,0.03670188575566756,0.01223270148012199,5.592716603266426,123,0.6422764227642277,0.00620077713622773,3.3499417892016106,1.6016260162601625,4041
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,0.3363167113351309,0.02166245894336235,0.00846068264670696,0.03012314159006931,0.3061935697450616,0.26914684742908374,0.066295637345323,0.06628691491507707,0.019094476509714308,0.025541727066864535,0.7475796941893453,2.9936543257884995,-0.039008987579527865,0.015342736946300421,0.02660232615689186,0.015361001409737366,0.005435225714923208,11.164728961935511,56,0.75,0.01230917963750451,3.9634241207500853,1.5178571428571428,4041
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,0.335135443110231,0.02166245894336235,0.008460483544308802,0.030122942487671153,0.30501250062255986,0.2690620129727495,0.06511456822282126,0.06511871917191464,0.01902082409227545,0.025540247181284156,0.7447392328377257,2.9822798068193457,-0.039008987579527865,0.015095273447166543,0.02660232615689186,0.015361001409737366,0.005351036153622279,11.125587855416073,56,0.75,0.012266991486615227,3.92940494866086,1.4821428571428572,4041
neg_z2.5_root1.5_exit0.25_mdq90_normq50_all_topo_exit,0.37055704674546686,0.04769986009879469,0.020476011467373104,0.06817587156616779,0.3023811751792991,0.29016755150159895,0.047599764259236385,0.047689641496749424,0.018856732527885018,0.029767085634736987,0.6334759391386294,2.5367301977640024,-0.05082525277721769,0.034892353377876766,0.05846325167037862,0.0366289636820998,0.011991514124297411,5.435310737257306,123,0.6422764227642277,0.006025443714795998,3.193376328475805,1.5772357723577235,4041
neg_z2.5_root1.5_exit0.5_mdq90_normq50_all_topo_hold,0.3611021557831574,0.04769986009879469,0.020475676860513,0.06817553695930768,0.29292661882384974,0.2979550715907079,0.04878083338173812,0.04885783723991186,0.01826713881306858,0.0295640676519148,0.6178831353027789,2.474289410491171,-0.047796288000955256,0.03464488987874288,0.05846325167037862,0.0366273374069217,0.01192033129106387,5.296652903499543,123,0.6341463414634146,0.005871705650368201,3.138561837969449,1.5528455284552845,4041
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,0.32265200513111586,0.02166245894336235,0.008488048645935716,0.030150507589298062,0.2925014975418178,0.27631837269546133,0.066295637345323,0.06628691491507707,0.018240627909066588,0.02531801536689784,0.7204604170086485,2.885056216349096,-0.03900898757952789,0.015095273447166543,0.02660232615689186,0.015360642742942325,0.005325874930493807,10.701378879791774,56,0.7321428571428571,0.011821154415932542,3.8020486206997592,1.4642857142857142,4041
neg_z2.5_root1.5_exit0.5_mdq90_normq50_all_topo_exit,0.3599208875582576,0.04769986009879469,0.02047547775811484,0.06817533785690953,0.291745549701348,0.29787023713437355,0.047599764259236385,0.047689641496749424,0.018193486395629718,0.029562780940157272,0.6154186384717341,2.4644204270817833,-0.047796288000955256,0.034397426379609006,0.05846325167037862,0.0366273374069217,0.011836141729762942,5.27934145795773,123,0.6341463414634146,0.005852498036955194,3.120006110095401,1.5365853658536586,4041
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,0.32147073690621597,0.02166245894336235,0.008487849543537557,0.030150308486899906,0.29132042841931605,0.27623353823912705,0.06511456822282126,0.06511871917191464,0.01816697549162773,0.025316512544317934,0.7175939205617461,2.873577440835494,-0.03900898757952789,0.014847809948032665,0.02660232615689186,0.015360642742942325,0.005241685369192877,10.6622702399842,56,0.7321428571428571,0.011778966265043263,3.7690671143058747,1.4285714285714286,4041
neg_z2.5_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,0.3157052267714688,0.018422803210066202,0.007099682721045468,0.025522485931111664,0.2901827408403571,0.2435083543340846,0.04878083338173812,0.04885783723991186,0.018096028382026723,0.02331617273263278,0.7761148705464829,3.107922349388732,-0.02784476014211873,0.012620638455827766,0.02214798317248206,0.012792004963895456,0.004366886512626913,12.369689520981463,47,0.723404255319149,0.013789172139849537,3.971124989700139,1.553191489361702,4041
