variant,split,start,end,bars,net_return_after_all_costs,carry_adjusted_net,total_cost_return,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,events
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.02657814743563777,-0.02657814743563777,0.030101579451578632,-0.12094940318362424,-0.38217192308533265,-0.07365871025032004,58
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.3956747978086666,1.584464611963355,-0.04446356996688167,29
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.3956747978086666,1.584464611963355,-0.04446356996688167,29
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.332352423032604,0.332343700602358,0.0817111148201938,0.6548049621329037,2.6221414555174527,-0.04599179573996269,148
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.03985092549078616,0.03985092549078616,0.05156060723089573,0.16570842963101315,0.523600014192622,-0.04599179573996269,92
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.2925014975418178,0.2924927751115719,0.030150507589298062,1.1745467357061754,2.889381938356092,-0.03900898757952789,56
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.066295637345323,0.06628691491507707,0.007718487563131838,1.1020374525101937,1.4710222925755776,-0.027844760142118778,15
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.3311713539101022,0.3311755048591956,0.08171091571779564,0.6525023124883427,2.6129205829833335,-0.04599179573996269,148
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.03985092549078616,0.03985092549078616,0.05156060723089573,0.16570842963101315,0.523600014192622,-0.04599179573996269,92
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.29132042841931605,0.29132457936840944,0.030150308486899903,1.1698577220750166,2.8778469769256896,-0.03900898757952789,56
neg_z2_root1.5_exit0.5_mdq90_normq50_all_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.06511456822282126,0.06511871917191464,0.00771828846073368,1.0826836007268825,1.445188372543544,-0.02808971088131678,15
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.2925014975418178,0.2924927751115719,0.030150507589298062,0.7204604170086485,2.885056216349096,-0.03900898757952789,56
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.2925014975418178,0.2924927751115719,0.030150507589298062,1.1745467357061754,2.889381938356092,-0.03900898757952789,56
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.066295637345323,0.06628691491507707,0.007718487563131838,1.1020374525101937,1.4710222925755776,-0.027844760142118778,15
