,pc1,pc2,pc3
0,-0.22993947635879577,0.015651766202145905,-0.21086588892451652
2,-0.9551928265134386,0.2038272486008482,-0.45821448649024704
5,0.7166629781048217,0.9584888902445332,-0.1701707014400476
7,-0.858257116387597,1.9158362173427235,-0.07936231534607871
10,-0.38316594560046685,0.35644311375835724,-0.4393542385054987
12,-0.23685604879875427,0.09359421647288797,2.2301183742713957
15,0.29827770756452093,0.5416364791901638,-0.31626245438839207
17,-0.8979206397229428,0.4381297923574503,-0.4606516556259529
20,-0.5981850335774374,0.4728577928204153,0.17425259139393381
22,-2.100051934812945,-0.6293039466729866,0.1870126907206616
25,0.4978118817845229,-0.21118697780774395,-0.21544903465486645
27,0.21575237507128472,-0.04601779799249771,-0.09884010900452422
30,1.251023126681718,0.1584726698260718,-0.18317873109771785
32,-2.99700347002137,1.1767582361167603,-0.31445984407202715
35,-1.231129394437083,1.4225167741318918,0.03226632777845198
37,-1.113120990103409,0.915559555514343,-0.42703379295247884
40,-0.12448888313181374,0.18442310894733077,-0.1277256475271004
42,-2.5996781300333645,4.1388565857065105,0.13186503435603555
45,0.3039378761996758,0.8610248638052226,-0.22609513021683242
47,2.575809163373141,0.12490039412204079,-0.1403801624717717
50,-1.226491202502981,1.4368842372723816,-0.1678041099595343
52,-2.2985178527518806,2.6997931216286384,0.04227226832355244
55,0.29871853541836085,-2.9066234286922863,-1.1331815889618981
57,0.9868316547879408,0.7555319849006426,-0.1595711468660897
60,0.3661041908614397,1.206629926601026,-0.04371192688988018
62,0.013564383442838234,0.1353095154225892,-0.2927843106169738
65,0.4091044239335834,0.6302999358681991,-0.07363545322009984
67,0.7429547629674542,0.16658783490361542,-0.26062730934363165
70,0.9403277144758901,0.003052303212798663,-0.2415104177284495
72,-2.060086433063537,-0.5801750821735603,-0.4380266253440978
74,1.3364034150131923,0.5563101795469051,-0.10846226657273164
77,-0.22940359402022265,0.6388763073962263,-0.25119873894018113
79,1.0330745576070186,0.2067228955546981,-0.027103331953478214
82,1.6447976614278201,-0.15387060161694752,-0.33320512848588923
84,1.1700979283584174,0.2240457673592581,-0.3078741908018327
87,1.086099669193813,-1.3474587050512223,-0.535645077264755
89,2.2113026551732458,-0.884404264970113,-0.28758690338193704
92,2.921329997766958,-0.3967868750102484,-0.2096045586721908
94,0.010331370070377347,0.8501359836762992,0.0062413015791029924
97,2.3201652522616962,-0.5545646370783859,-0.14185183924280234
99,0.006039993032972475,-0.5707265803007614,3.660475569360404
102,1.7436507214179677,0.15185245275576725,-0.20648537102702616
104,-0.6656949694680367,0.4461446894408085,-0.022047818621518032
107,1.4302344793282216,0.47827317514985795,-0.1984273936878582
109,2.212630898631759,-0.936999264997039,-0.42740287196565424
112,1.449822351906387,0.27853246869466836,-0.23413157359910067
114,1.8777386911343843,-0.07657747313742645,-0.25131119682663655
117,2.1997279041360085,-0.4725452810746814,-0.291361179677088
119,-0.43403595615566115,-0.9584015002839701,-0.2199362793323232
122,0.47874432812213724,-0.8336813648555865,0.9553819422703209
124,0.4190460436129049,0.23619729936396094,-0.07123782652140892
127,-1.8752492366512752,-0.5868316803967858,0.1365549760389681
129,-0.3188053671115411,-0.09283009215045739,0.17485124988418468
132,-3.830545007137797,-1.6766628858049877,0.32216147404912737
134,-3.2626372083275617,-0.9184721659048093,0.33132305942027457
137,-0.6469276136553581,0.6424645015823184,-0.2568655413481479
139,1.1990710389546713,0.2559325708278735,-0.20867383144599896
141,1.2696713961543826,0.047954645462955525,-0.19081852404419586
144,-0.8960903983737132,-0.5353267213371167,0.21341612980211547
146,-1.204673889350247,0.7191130363560647,-0.3000983469065637
149,-1.547784792349221,2.279558582542022,-0.21032572030908134
151,2.249650969451835,-0.051204847499015216,-0.14920687411628492
154,-0.10952249493613529,1.662602658415576,-0.150235520357274
156,-0.8046342755260872,-1.3440579411621556,2.133012982161514
159,1.2963744405833373,0.8807657395848888,-0.16102504457856817
161,-1.7119205376313957,2.787151187365168,-0.10471543766668345
164,0.744035420430793,-1.304240249681551,2.047413408438277
166,0.44663556265100157,-0.37468437351319334,1.63027814080217
169,1.179945422528398,0.39314112856304345,-0.27082736885805786
171,0.42371444612450443,-0.44410009592196703,0.018228834130641296
174,0.7355039787533676,0.3405072659678682,-0.12226743588286013
176,-2.881231814982377,1.3519490987534595,0.40142921777409535
179,-0.3301975950730218,-0.46363552221927734,0.23866709409757622
181,-0.553347713862603,1.3965641787763916,0.3031895776255715
184,-1.1170358806063028,1.313771487222693,-0.05442451908115273
186,-0.7638015281719341,1.1014890256121908,-0.14279654659444263
189,-1.3045761967266498,0.1233866925993698,-0.1482646104436157
191,0.98507509451756,-0.18195054419057136,-0.33713539875903903
194,1.5440611825290003,-0.03758550102361987,0.7533115236453374
196,1.9876286960794152,-0.20531378233213501,0.5199514638546827
199,0.6542512592719592,-0.17723499596477998,0.1144342789609107
201,2.250401880063488,-1.3389069917608303,6.826165504335322
204,1.8257095246450687,-0.41346591626546436,0.7270450893042383
206,1.5069255774037027,-1.1202882561227634,-0.507827297598034
209,0.33343608830682286,-0.06313804430080504,1.4099503551370052
211,0.5974303748317227,-0.20163259283407411,0.7176143985652792
213,1.2760954628936605,0.14494715605543526,-0.12798499825661963
216,0.276488340698107,0.7445594513213606,-0.1723134770127908
218,0.7720774285417079,-1.0894847907501337,-0.5080386876057751
221,0.9703262109345792,0.8298434865575062,-0.08203737283697088
