,pc1,pc2,pc3
GC,0.6478727955083887,-0.2320944200935928,-0.037930393594899026
SI,-0.4258772232025141,0.6290124117548523,0.018464856291285865
HG,-0.42935072690022874,-0.2516659890926846,0.07280638190215101
PL,-0.3550577930666466,-0.39922617104806846,-0.14652535040699916
PA,-0.29458964585964076,-0.5491820428437766,-0.1753031049025367
ALI,-0.04121030262737393,-0.16173232244050104,0.9699065461052591
