,rpc1,rpc2,rpc3
0,-1.24960002971329,0.3093517805959897,-0.22013007157118017
2,-1.2471606202958863,0.796727800983553,0.1406539606435495
5,-1.2762134737292623,-0.9563188078450717,-0.10988773587545952
7,-1.2674237978373653,-0.15820161559072182,-1.3773781676380061
10,-1.2565466365961653,0.5019582055804608,0.8315879263136755
12,9.391624237278414,-0.3181664454806875,-0.39267353547706463
15,-1.266964493392176,-0.45714996593522433,0.1226749925036594
17,-1.2516315483416718,0.589486977929812,0.043561645822575906
20,-1.2443503725705025,0.3225326613396357,-1.8185408467499427
22,-1.2067823592069125,2.0625181822542458,-2.4564926548052615
25,-1.2563777499644821,-0.24781124957943024,0.044243090767074666
27,-1.252852182511306,-0.11911178193867022,-0.5313878217279795
30,-1.2719314848963246,-1.1541165492463794,0.0277633095242866
32,-1.231090240080049,2.0270213589070143,-1.408312263678263
35,-1.2526429754990167,0.42624422905929676,-1.747609625687353
37,-1.2553888103666517,0.4749840954551701,-0.3651464090939669
40,-1.2521874983836827,0.06216700071173037,-0.616160472043772
42,-1.2729900623106396,0.32698619713868954,-2.9850973904273457
45,-1.2701305070978366,-0.5818012840112843,-0.14091262448617936
47,-1.288889929474283,-2.254750862348763,0.4809354251353849
50,-1.2567206235406234,0.39626576664065755,-1.158169533590201
52,-1.2570476286874468,0.7420196841341313,-2.3898812636173847
55,-1.2295005950545765,1.5051178355053465,3.8439653516215633
57,-1.2769042773603168,-1.2223522837173582,-0.2647046647064238
60,-1.2729153640738777,-0.8656518653628692,-0.871709961421822
62,-1.2564011161154611,-0.002888701876398503,0.026005982068380798
65,-1.2652558575508612,-0.5820794917984794,-0.5820317833423571
67,-1.26633392921863,-0.6344564383490299,0.23732417910609718
70,-1.266450125518217,-0.8534639422066931,0.026788776371833467
72,-1.2194305644196866,2.2304532502585785,-0.03291277405058539
74,-1.2775977899086537,-1.3390214787454573,-0.07514534543058726
77,-1.2599601461354055,-0.07177954181206936,-0.3543446375093561
79,-0.20618341393116357,-1.0008859416943197,0.29045252398621346
82,-1.2754492716576886,-1.3370588709618214,0.7188780179993964
84,-1.2738577566338745,-0.9505489737905298,0.7078414395997229
87,-1.2528797718578373,0.029022552626826015,1.941735244753885
89,-1.2711628835592998,-1.3707166421435637,1.125987630479475
92,-1.28703549136555,-2.289056125724019,0.9449524869812653
94,-1.2616379274881386,-0.3800475320264798,-1.0998284267250131
97,-1.2751190470319842,-1.7298311799304686,0.4460888217789114
99,14.814379874542574,-0.3196042180252084,-0.4792646770748088
102,-1.278976695559568,-1.5171075540370627,0.4169240500193965
