feature,root,horizon,bucket,bucket_type,observations,mean_bps,median_bps,vol_bps,tstat,hit_rate,sharpe_per_event,baseline_mean_bps,excess_mean_bps
md_rolling,GC,1,1,decile,611,-2.565771903127177,-0.44786814768826844,35.67758340715323,-1.7776375684205297,0.4713584288052373,-0.0719155183199081,,
md_rolling,GC,1,2,decile,610,2.529507393644699,0.2349888957553503,33.22139729639142,1.8805417328295295,0.5081967213114754,0.0761409091579498,,
md_rolling,GC,1,3,decile,610,1.5284400095206183,-0.5756889446129065,31.506632705092734,1.1981503665750122,0.4737704918032787,0.048511690342381814,,
md_rolling,GC,1,4,decile,610,-0.13515595244840495,-0.4411753536537333,42.486923044051004,-0.07856784021266787,0.4819672131147541,-0.003181118865874883,,
md_rolling,GC,1,5,decile,610,-2.6433500215291326,-0.44430665995243146,45.96328664398515,-1.4203929766805774,0.48032786885245904,-0.05751003060341523,,
md_rolling,GC,1,6,decile,610,-0.7150160738461806,0.0,33.68003255248608,-0.5243342412918308,0.4967213114754098,-0.02122967288502225,,
md_rolling,GC,1,7,decile,611,-0.018038725180828642,-0.22354611198593943,34.47087120343115,-0.012935230961321527,0.4828150572831424,-0.0005233034313050117,,
md_rolling,GC,1,8,decile,610,0.858030171924569,-0.9404330781226378,44.44065155093753,0.47685578938301404,0.45737704918032784,0.01930732655755736,,
md_rolling,GC,1,9,decile,610,-0.07750321849251067,0.4410419518485753,34.398977259005754,-0.055646662892002687,0.5065573770491804,-0.00225306752316946,,
md_rolling,GC,1,10,decile,611,-0.3402855232770685,-0.4588208305378316,40.20311731564182,-0.2092205547324587,0.4779050736497545,-0.008464157657363393,,
md_rolling,GC,2,1,decile,611,-1.2470613035087084,-0.6660672064207063,37.67217836775194,-0.8182531288159164,0.4877250409165303,-0.03310297831293492,,
md_rolling,GC,2,2,decile,610,2.14014955614073,0.0,41.490284500717785,1.273980052705078,0.49836065573770494,0.051581944590033006,,
md_rolling,GC,2,3,decile,610,1.505467906673857,-0.5634747932603545,33.525540389976136,1.1090742760855294,0.48032786885245904,0.044905104859218906,,
md_rolling,GC,2,4,decile,610,-0.5717824949288098,-0.4603685049353601,43.09875849253917,-0.32766572335874933,0.4786885245901639,-0.013266797349343398,,
md_rolling,GC,2,5,decile,609,-3.1378122334378373,-0.6936977561622371,47.161692399640955,-1.6418981623818039,0.4630541871921182,-0.06653307109610268,,
md_rolling,GC,2,6,decile,610,-1.3402716647025938,-0.8058729754001348,35.811969473236225,-0.924335319294604,0.47540983606557374,-0.03742524313565705,,
md_rolling,GC,2,7,decile,611,-1.3374194964198416,-0.22900326332120358,35.47724087928189,-0.9318337118978844,0.4877250409165303,-0.0376979568667887,,
md_rolling,GC,2,8,decile,610,1.2489591013515002,-0.34259834380989673,37.43851413370862,0.8239379954484736,0.48688524590163934,0.033360274312461864,,
md_rolling,GC,2,9,decile,610,0.5740149105368105,-0.4743091222625395,37.339946322609606,0.3796770984362986,0.47704918032786886,0.015372676371236248,,
md_rolling,GC,2,10,decile,611,-1.1193629360840034,-0.6652253453154344,37.27328615075908,-0.7423245852162897,0.4746317512274959,-0.030031238232028204,,
md_rolling,GC,5,1,decile,611,-2.7527686099832525,-2.5246439812320887,42.61450760689599,-1.5967349733257792,0.4664484451718494,-0.06459698268431459,,
md_rolling,GC,5,2,decile,610,4.941112663267252,1.3611383891909412,44.99215182129525,2.712394839621856,0.5278688524590164,0.1098216569612608,,
md_rolling,GC,5,3,decile,610,1.495245225169175,0.0,32.63850875798697,1.1314803964869156,0.49836065573770494,0.04581230215682797,,
md_rolling,GC,5,4,decile,610,-1.605577019700027,-0.6668162185263782,44.272679967270705,-0.8956952045302043,0.4737704918032787,-0.036265638784166124,,
md_rolling,GC,5,5,decile,608,-4.274761231725129,-2.880979603192557,48.61283245182881,-2.1682668272668364,0.4407894736842105,-0.08793483152747897,,
md_rolling,GC,5,6,decile,609,-1.4435719967267522,-0.6581473155442552,38.324905404108705,-0.9295355489914207,0.4827586206896552,-0.03766668127436502,,
md_rolling,GC,5,7,decile,611,-1.7495953336034078,-2.623868471776092,39.071383989218305,-1.1068771490258391,0.44353518821603927,-0.04477945634293903,,
md_rolling,GC,5,8,decile,609,-1.8128713458621077,-1.7909913184688264,37.40379625972407,-1.196079228084473,0.45320197044334976,-0.048467576212690065,,
md_rolling,GC,5,9,decile,610,1.4555577612498627,0.5814017980121378,41.84981083156003,0.8590152276644033,0.5065573770491804,0.03478050993129433,,
md_rolling,GC,5,10,decile,611,-2.145952312354148,-1.835030741901278,40.38613225097115,-1.3134344669639346,0.46153846153846156,-0.05313587097220841,,
md_rolling,GC,10,1,decile,610,-4.062767958939442,-5.080063254254696,48.980792505570484,-2.0486186804229716,0.4344262295081967,-0.08294614584844438,,
md_rolling,GC,10,2,decile,610,0.6308361987116426,-0.7987761057570708,37.03482889286211,0.4206987107769036,0.48360655737704916,0.017033592906196108,,
md_rolling,GC,10,3,decile,609,0.08628978438046454,-2.644453274704972,42.79606830820808,0.04975814233230097,0.4663382594417077,0.0020163016789071387,,
md_rolling,GC,10,4,decile,610,-2.3384997359716664,-2.237871981050077,47.64383496144391,-1.2122593184088715,0.4639344262295082,-0.049082945104316496,,
md_rolling,GC,10,5,decile,606,-5.710018541694505,-4.015175437253049,52.44544026853612,-2.680193163046264,0.4521452145214521,-0.10887540484849638,,
md_rolling,GC,10,6,decile,609,-2.0523307310048113,-1.8823086571195802,43.32039352431826,-1.1691321447085607,0.4745484400656814,-0.04737562528956988,,
md_rolling,GC,10,7,decile,610,-2.693500609911115,-3.160603706779952,43.73116644946503,-1.521216173672013,0.460655737704918,-0.06159224252624675,,
md_rolling,GC,10,8,decile,609,1.4531620856067051,0.45827413966748054,49.10202167247983,0.7303370464379957,0.5057471264367817,0.02959475060517025,,
md_rolling,GC,10,9,decile,610,0.8838669755090269,0.22903428370746326,42.741664252483645,0.5107406165273419,0.5016393442622951,0.020679283106241397,,
md_rolling,GC,10,10,decile,611,-1.734516370602037,-4.754842670333659,47.232374601725944,-0.9077353071278862,0.44189852700491,-0.03672303976304116,,
md_rolling,GC,20,1,decile,609,-7.469450240198748,-7.976602390495913,52.6031235942798,-3.504174712483138,0.42036124794745483,-0.14199632511957894,,
md_rolling,GC,20,2,decile,609,1.3177583481868491,-3.441669473094322,56.19110378948427,0.5787311507340273,0.458128078817734,0.023451369688763032,,
md_rolling,GC,20,3,decile,609,-0.6623865110975904,-1.6143353009567818,51.18639914480784,-0.31934899020936,0.4745484400656814,-0.01294067412758767,,
md_rolling,GC,20,4,decile,608,-5.1177363459464775,-4.390237103795158,55.96891089951408,-2.2546692502983574,0.45723684210526316,-0.09143891249080763,,
md_rolling,GC,20,5,decile,605,-7.186368743046818,-4.985459180950613,62.88159438380213,-2.8110180882227906,0.4578512396694215,-0.11428413693177565,,
md_rolling,GC,20,6,decile,605,-3.67381267547743,-4.6215298085883205,53.30593015562585,-1.6951930752325515,0.4628099173553719,-0.06891939911285273,,
md_rolling,GC,20,7,decile,610,-4.967649359247232,-6.740955227781953,52.98017737774516,-2.3158074309848833,0.4360655737704918,-0.0937643021432001,,
md_rolling,GC,20,8,decile,609,1.8232318863932775,-1.3235391456056789,53.87188927516778,0.8351958880417697,0.48440065681444994,0.033843845295280846,,
md_rolling,GC,20,9,decile,609,-0.03816427837493986,0.0,52.71561961294665,-0.017865961170770557,0.4975369458128079,-0.0007239652811662473,,
md_rolling,GC,20,10,decile,611,-5.013737104896549,-5.836417072604405,54.855833313148935,-2.2592242776478195,0.4337152209492635,-0.0913984311618279,,
md_rolling,GC,50,1,decile,609,-12.626225800340793,-18.391115408533665,75.62920075523903,-4.1199570370822665,0.4269293924466338,-0.16694908414017773,,
md_rolling,GC,50,2,decile,606,-5.580831097199398,-11.733322281815006,76.06420465994253,-1.806154354020564,0.4306930693069307,-0.07337000527579847,,
md_rolling,GC,50,3,decile,604,-7.626897862016998,-7.222892872347231,74.29197533260759,-2.523042080146074,0.4586092715231788,-0.10266112629084269,,
md_rolling,GC,50,4,decile,605,-7.062179179247014,-5.960295440310404,75.75414994738638,-2.2930313385540546,0.4644628099173554,-0.09322498086443999,,
md_rolling,GC,50,5,decile,601,-8.19952249696662,-8.124703024776636,81.75690129196742,-2.4586764140478268,0.4492512479201331,-0.10029150282597879,,
md_rolling,GC,50,6,decile,602,-5.490512547782148,-7.247348876013859,72.20169717246783,-1.8657941532612319,0.45016611295681064,-0.07604409262938777,,
md_rolling,GC,50,7,decile,608,-8.47019241841557,-7.192245536318254,69.60755333907859,-3.0004659119434445,0.45394736842105265,-0.12168496107246875,,
md_rolling,GC,50,8,decile,604,-5.327421723820255,-10.327474469029596,66.46311148730089,-1.969948522547538,0.4271523178807947,-0.08015606860112418,,
md_rolling,GC,50,9,decile,606,-1.9346804403326925,-6.552988718118158,80.42084608135602,-0.5922116071634249,0.45544554455445546,-0.024056952079010888,,
