root,asset,q10_size,q90_size,total_rth_trades,total_rth_size,bottom_trades,top_trades,bottom_trade_share,top_trade_share,bottom_volume,top_volume,bottom_volume_share,top_volume_share,mean_ofi_low,mean_ofi_high,mean_ofi_spread,final_cvd_low,final_cvd_high,final_cvd_high_minus_low,n_bars_with_low,n_bars_with_high,n_bars_with_both,plot,series_csv
RTY,E-mini Russell 2000,1.0,3.0,1836633,2939107.0,1347994,205102,0.7339484807253273,0.11167282739665464,1347994.0,1024039.0,0.458640668747344,0.3484184141645745,-0.007759976302358304,-0.008742573106042255,-0.0009825968036839517,-12910.0,3065.0,15975.0,1622,1622,1622,16_RTY_bucket_ofi.png,16_RTY_bucket_ofi.csv
NIY,Nikkei 225,1.0,2.0,149039,218380.0,113296,35743,0.7601768664577728,0.2398231335422272,113296.0,105084.0,0.5188020881033062,0.48119791189669386,-0.020139319198144972,0.011054399200365357,0.031193718398510324,-1418.0,966.0,2384.0,1622,1622,1622,17_NIY_bucket_ofi.png,17_NIY_bucket_ofi.csv
6E,Euro FX,1.0,9.0,386841,1650005.0,168143,40626,0.43465661602570566,0.10501989189356868,168143.0,760837.0,0.10190453968321309,0.4611119360244363,-0.017496154314409006,-0.015170279774237124,0.0023258745401718807,-2357.0,-5965.0,-3608.0,1659,1659,1659,18_6E_bucket_ofi.png,18_6E_bucket_ofi.csv
6J,Japanese Yen,1.0,12.0,203193,1069106.0,92790,23400,0.45665943216547816,0.11516144749080923,92790.0,568454.0,0.08679214221976118,0.5317096714451139,-0.026129295784266295,-0.0011161725793666696,0.02501312320489962,-2370.0,2072.0,4442.0,1651,1651,1651,19_6J_bucket_ofi.png,19_6J_bucket_ofi.csv
6B,British Pound,1.0,11.0,158297,755582.0,66396,16765,0.4194394082010398,0.10590851374315369,66396.0,355150.0,0.08787398323411622,0.4700350193625576,-0.016461367977129698,-0.002235231154163489,0.014226136822966216,-1664.0,3960.0,5624.0,1647,1647,1647,20_6B_bucket_ofi.png,20_6B_bucket_ofi.csv
6C,Canadian Dollar,1.0,13.0,143003,760435.0,58334,15418,0.40792151213610905,0.1078159199457354,58334.0,365046.0,0.07671135600018411,0.48004891936851934,-0.0021589608512953447,0.027532427437123096,0.02969138828841844,-1554.0,9462.0,11016.0,1652,1652,1652,21_6C_bucket_ofi.png,21_6C_bucket_ofi.csv
6A,Australian Dollar,1.0,10.0,215393,935028.0,92072,22998,0.4274605024304411,0.10677227207940834,92072.0,418973.0,0.09846977844513748,0.44808604662106377,0.03596425869423227,-0.017205442616695064,-0.053169701310927325,-360.0,5295.0,5655.0,1653,1653,1653,22_6A_bucket_ofi.png,22_6A_bucket_ofi.csv
6N,New Zealand Dollar,1.0,7.0,101897,318058.0,49581,10300,0.48657958526747597,0.10108246562705477,49581.0,128427.0,0.15588666218111163,0.40378484427368594,0.01453957132053848,0.004532758134819666,-0.010006813185718815,17.0,2799.0,2782.0,1646,1646,1646,23_6N_bucket_ofi.png,23_6N_bucket_ofi.csv
6S,Swiss Franc,1.0,4.0,140250,274312.0,88696,15132,0.6324135472370767,0.10789304812834224,88696.0,102314.0,0.32333984659803433,0.3729840473621278,-0.004883208080351628,0.04451104676142182,0.04939425484177344,-742.0,1762.0,2504.0,1651,1651,1651,24_6S_bucket_ofi.png,24_6S_bucket_ofi.csv
6M,Mexican Peso,1.0,16.0,112179,724024.0,48798,11292,0.4350012034337978,0.10066055144010912,48798.0,377692.0,0.06739831828779157,0.5216567406605306,0.03613962272809247,-0.028020214722501782,-0.06415983745059423,2560.0,-6452.0,-9012.0,1633,1633,1633,25_6M_bucket_ofi.png,25_6M_bucket_ofi.csv
6L,Brazilian Real,1.0,14.0,57923,336931.0,29505,6095,0.5093831465911641,0.10522590335445332,29505.0,187222.0,0.08756985851702574,0.5556686680655684,-0.01613653320869614,-0.012601254930895513,0.003535278277800626,-279.0,2814.0,3093.0,1589,1589,1589,26_6L_bucket_ofi.png,26_6L_bucket_ofi.csv
CNH,Offshore Renminbi,1.0,5.0,6646,16348.0,3950,1292,0.5943424616310563,0.1944026482094493,3950.0,8409.0,0.24161977000244678,0.5143748470760949,0.0774270141820936,-0.03344422872558806,-0.11087124290768169,106.0,-361.0,-467.0,835,835,835,27_CNH_bucket_ofi.png,27_CNH_bucket_ofi.csv
6Z,South African Rand,1.0,14.0,10965,64075.0,4192,1236,0.38230734154126766,0.11272229822161423,4192.0,29963.0,0.06542333203277409,0.4676238782676551,0.050969647102537555,0.00873656054585835,-0.042233086556679206,220.0,-671.0,-891.0,1111,1111,1111,28_6Z_bucket_ofi.png,28_6Z_bucket_ofi.csv
CL,WTI Crude Oil,1.0,3.0,1733426,2726156.0,1319847,186470,0.7614094861851617,0.1075730951306834,1319847.0,952091.0,0.48414214006828665,0.3492430367154337,0.005775676889371804,-0.013894198217855903,-0.01966987510722772,8371.0,-13129.0,-21500.0,1640,1640,1640,29_CL_bucket_ofi.png,29_CL_bucket_ofi.csv
BZ,Brent Crude Oil,1.0,2.0,155724,216614.0,128936,26788,0.8279777041432278,0.17202229585677223,128936.0,87678.0,0.5952339183986262,0.4047660816013739,0.002630798842571978,0.013506836169989147,0.010876037327417166,482.0,246.0,-236.0,1640,1640,1640,30_BZ_bucket_ofi.png,30_BZ_bucket_ofi.csv
