root,frequency,horizon,horizon_steps,n,carry_change_mean,carry_change_std,forward_return_mean_bp,pearson_corr,spearman_corr,beta_bp_per_1pct_carry_change,hac_t,hac_p,low_decile_forward_bp,middle_forward_bp,high_decile_forward_bp,high_minus_low_bp,high_positive_fraction,low_positive_fraction
GC,5m,5m,1,55442,-0.00030016842739537155,0.2008441137655254,0.011636872476700531,-0.004626194609753247,-0.00047575500940272715,-0.17508282145798046,-0.2617939095762642,0.7934803348141879,-0.04188949802955442,0.02120225911698555,-0.011346049761845476,0.030543448267708943,0.4950405770964833,0.4939585211902615
GC,5m,15m,3,55440,-0.00030265429839972086,0.2008459024491085,0.035210749042170884,-0.008311115863429442,0.006817782787205347,-0.5393001141693421,-0.6452870716578202,0.5187411692024173,-0.008916162501653533,0.03627824505124903,0.07079769251337015,0.07971385501502369,0.5064935064935064,0.501984126984127
GC,5m,30m,6,55437,-0.0003038946543199648,0.20085085493482774,-0.026693266688558055,-0.006539738294686678,0.0005848490988181936,-0.5908374688094424,-0.7256174037430907,0.4680733489346074,0.13308179689934965,-0.03470466796660358,-0.12238145522595331,-0.25546325212530296,0.522005772005772,0.5091991341991342
GC,5m,1h,12,55432,-0.00030402769873135165,0.200856824946617,-0.03682932719612512,0.0018424096183718424,0.0018614333071579551,0.23031170801989612,0.26643462911501165,0.7899044985594825,0.09523215951164014,-0.015405095609865834,-0.3402537513968705,-0.4354859109085107,0.5156926406926406,0.5140692640692641
GC,5m,4h,48,55423,-0.00030461813679650966,0.20086804844918155,-0.08087012215276528,0.0059705364633144,0.0011761090410967467,1.3810365202577588,1.3611340104575556,0.17347134341940584,0.9586986738589155,-0.254797314524663,0.27075897615141703,-0.6879396977074984,0.5193938300559264,0.5211979072704311
GC,5m,1d,288,55423,-0.00030461813679650966,0.20086804844918155,-0.1377316543095751,-0.001226881082212922,-0.001041753325131239,-0.6359026367151502,-0.49375537471556324,0.6214789524947462,0.9609025353867967,0.11425126540744472,-3.251910984091376,-4.212813519478173,0.5262493234710446,0.5399603103012809
GC,1h,1h,1,12775,9.014178373539893e-05,0.16062415537591082,0.2136247473130324,0.0024849442407312407,-0.002193141387592084,0.36512028982322176,0.13661866167120104,0.8913322249340652,-0.3759462111484269,0.3868177096419687,-0.5816703991076677,-0.20572418795924086,0.5023474178403756,0.4921752738654147
GC,1h,4h,4,12775,9.014178373539893e-05,0.16062415537591082,0.7190101346627177,-0.0002453802566782489,-0.00566854397568668,-0.07046300086416399,-0.01339696090213149,0.9893110914737869,-0.3759870476656655,1.201224064642225,-2.0418175268747714,-1.665830479209106,0.5007824726134585,0.5140845070422535
GC,1h,1d,24,12775,9.014178373539893e-05,0.16062415537591082,4.428314629431918,0.0023341124182451683,0.0030125118860588273,1.6206929835546304,0.22392321505066354,0.8228170513640355,-1.6454830489419923,6.048888250976684,-2.456136392167545,-0.8106533432255527,0.4968701095461659,0.5023474178403756
GC,1h,3d,72,12758,9.486231511535299e-05,0.16072560775473013,10.714105729098995,0.008849806254330066,0.00845330102665255,9.669413332347322,1.477264889971876,0.13960464557062718,-3.682584523962005,13.194200207947661,5.273927446792096,8.956511970754102,0.567398119122257,0.549373040752351
GC,1h,5d,120,12712,8.278148410099039e-05,0.16099581940248736,18.21228492416285,0.005076257412307139,0.0075845458232298504,6.812749160471209,0.8992834409318793,0.3685017052456998,3.4878637794488254,20.678835666942636,13.219813024391948,9.731949244943124,0.5644654088050315,0.5440251572327044
GC,1d,1d,1,882,-0.0017973007730244534,0.11524196341150718,5.521190152295101,0.011899702298222306,0.07924313363893885,12.159337388672022,0.32788888532639604,0.7429956778148099,-2.450070760835751,4.812532202675526,19.098015071405513,21.548085832241263,0.5056179775280899,0.4044943820224719
GC,1d,3d,3,881,-0.0018439458326773715,0.11529909212378102,14.50665354256109,0.041558618713992974,0.041311227824119015,67.86168441214676,1.1118716076631914,0.26619335783460885,31.40637327772752,8.558680262824682,44.589239601267636,13.182866323540118,0.5955056179775281,0.5730337078651685
GC,1d,5d,5,879,-0.001919527745978231,0.11541941062163324,23.909773340166804,0.0012961878974304451,0.01661882462388969,2.6139587499317725,0.049654323898324644,0.9603978557762463,35.48076057935359,17.84976877669195,60.749958920557546,25.26919834120395,0.6363636363636364,0.6136363636363636
