ts,BASE_MINVAR_cum_log_return,BASE_MINVAR_gross_cum_log_return,BASE_MINVAR_cost_cum_log_return,VOL_TARGET_16_cum_log_return,VOL_TARGET_16_gross_cum_log_return,VOL_TARGET_16_cost_cum_log_return,VOL_TARGET_14_cum_log_return,VOL_TARGET_14_gross_cum_log_return,VOL_TARGET_14_cost_cum_log_return,VOL_TARGET_12_cum_log_return,VOL_TARGET_12_gross_cum_log_return,VOL_TARGET_12_cost_cum_log_return,VOL_TARGET_10_cum_log_return,VOL_TARGET_10_gross_cum_log_return,VOL_TARGET_10_cost_cum_log_return,TSMOM_20D_HALF_cum_log_return,TSMOM_20D_HALF_gross_cum_log_return,TSMOM_20D_HALF_cost_cum_log_return,TSMOM_60D_HALF_cum_log_return,TSMOM_60D_HALF_gross_cum_log_return,TSMOM_60D_HALF_cost_cum_log_return,TSMOM_60D_FLAT_cum_log_return,TSMOM_60D_FLAT_gross_cum_log_return,TSMOM_60D_FLAT_cost_cum_log_return,DD_SOFT_cum_log_return,DD_SOFT_gross_cum_log_return,DD_SOFT_cost_cum_log_return,DD_HARD_cum_log_return,DD_HARD_gross_cum_log_return,DD_HARD_cost_cum_log_return,VOL12_DD_SOFT_cum_log_return,VOL12_DD_SOFT_gross_cum_log_return,VOL12_DD_SOFT_cost_cum_log_return,VOL12_DD_HARD_cum_log_return,VOL12_DD_HARD_gross_cum_log_return,VOL12_DD_HARD_cost_cum_log_return,VOL10_DD_HARD_cum_log_return,VOL10_DD_HARD_gross_cum_log_return,VOL10_DD_HARD_cost_cum_log_return,VOL14_TSMOM60_HALF_cum_log_return,VOL14_TSMOM60_HALF_gross_cum_log_return,VOL14_TSMOM60_HALF_cost_cum_log_return,VOL12_TSMOM60_HALF_cum_log_return,VOL12_TSMOM60_HALF_gross_cum_log_return,VOL12_TSMOM60_HALF_cost_cum_log_return,VOL12_TSMOM60_DD_SOFT_cum_log_return,VOL12_TSMOM60_DD_SOFT_gross_cum_log_return,VOL12_TSMOM60_DD_SOFT_cost_cum_log_return,VOL12_TSMOM60_DD_HARD_cum_log_return,VOL12_TSMOM60_DD_HARD_gross_cum_log_return,VOL12_TSMOM60_DD_HARD_cost_cum_log_return,VOL_TARGET_12_DAILY_cum_log_return,VOL_TARGET_12_DAILY_gross_cum_log_return,VOL_TARGET_12_DAILY_cost_cum_log_return,VOL14_TSMOM60_HALF_DAILY_cum_log_return,VOL14_TSMOM60_HALF_DAILY_gross_cum_log_return,VOL14_TSMOM60_HALF_DAILY_cost_cum_log_return,VOL12_TSMOM60_DD_SOFT_DAILY_cum_log_return,VOL12_TSMOM60_DD_SOFT_DAILY_gross_cum_log_return,VOL12_TSMOM60_DD_SOFT_DAILY_cost_cum_log_return,VOL12_TSMOM60_DD_HARD_DAILY_cum_log_return,VOL12_TSMOM60_DD_HARD_DAILY_gross_cum_log_return,VOL12_TSMOM60_DD_HARD_DAILY_cost_cum_log_return,VOL10_DD_HARD_DAILY_cum_log_return,VOL10_DD_HARD_DAILY_gross_cum_log_return,VOL10_DD_HARD_DAILY_cost_cum_log_return,BASE_MINVAR_gross_exposure,VOL_TARGET_16_gross_exposure,VOL_TARGET_14_gross_exposure,VOL_TARGET_12_gross_exposure,VOL_TARGET_10_gross_exposure,TSMOM_20D_HALF_gross_exposure,TSMOM_60D_HALF_gross_exposure,TSMOM_60D_FLAT_gross_exposure,DD_SOFT_gross_exposure,DD_HARD_gross_exposure,VOL12_DD_SOFT_gross_exposure,VOL12_DD_HARD_gross_exposure,VOL10_DD_HARD_gross_exposure,VOL14_TSMOM60_HALF_gross_exposure,VOL12_TSMOM60_HALF_gross_exposure,VOL12_TSMOM60_DD_SOFT_gross_exposure,VOL12_TSMOM60_DD_HARD_gross_exposure,VOL_TARGET_12_DAILY_gross_exposure,VOL14_TSMOM60_HALF_DAILY_gross_exposure,VOL12_TSMOM60_DD_SOFT_DAILY_gross_exposure,VOL12_TSMOM60_DD_HARD_DAILY_gross_exposure,VOL10_DD_HARD_DAILY_gross_exposure,BASE_MINVAR_scale,VOL_TARGET_16_scale,VOL_TARGET_14_scale,VOL_TARGET_12_scale,VOL_TARGET_10_scale,TSMOM_20D_HALF_scale,TSMOM_60D_HALF_scale,TSMOM_60D_FLAT_scale,DD_SOFT_scale,DD_HARD_scale,VOL12_DD_SOFT_scale,VOL12_DD_HARD_scale,VOL10_DD_HARD_scale,VOL14_TSMOM60_HALF_scale,VOL12_TSMOM60_HALF_scale,VOL12_TSMOM60_DD_SOFT_scale,VOL12_TSMOM60_DD_HARD_scale,VOL_TARGET_12_DAILY_scale,VOL14_TSMOM60_HALF_DAILY_scale,VOL12_TSMOM60_DD_SOFT_DAILY_scale,VOL12_TSMOM60_DD_HARD_DAILY_scale,VOL10_DD_HARD_DAILY_scale
2021-01-03,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,0.0022739705014731657,0.0022739705014731657,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-04,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,0.01184810037401895,0.011848871190778392,7.708167594419868e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-05,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,0.024210368743939125,0.024212508803917284,2.140059978158828e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,0.01578134962849378,0.015784764398151626,3.4147696578446403e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-07,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.0166814624108261,0.016697630213126653,1.6167802300545874e-05,0.01612183219955691,0.01614815183908254,2.6319639525605626e-05,0.015561402759089614,0.01559787423584028,3.6471476750665256e-05,0.015000174042957452,0.015046797356933164,4.6623313975724926e-05,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.015561402759089614,0.01559787423584028,3.6471476750665256e-05,0.015561402759089614,0.01559787423584028,3.6471476750665256e-05,0.015000174042957452,0.015046797356933164,4.6623313975724926e-05,0.01612183219955691,0.01614815183908254,2.6319639525605626e-05,0.015561402759089614,0.01559787423584028,3.6471476750665256e-05,0.015561402759089614,0.01559787423584028,3.6471476750665256e-05,0.015561402759089614,0.01559787423584028,3.6471476750665256e-05,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,0.01690591963030718,0.01691223433856387,6.314708256688663e-06,1.0,0.9520988148764914,0.8330864630169299,0.7140741111573684,0.5950617592978071,1.0,1.0,1.0,1.0,1.0,0.7140741111573684,0.7140741111573684,0.5950617592978071,0.8330864630169299,0.7140741111573684,0.7140741111573684,0.7140741111573684,1.0,1.0,1.0,1.0,1.0,1.0,0.9520988148764914,0.83308646301693,0.7140741111573685,0.5950617592978071,1.0,1.0,1.0,1.0,1.0,0.7140741111573685,0.7140741111573685,0.5950617592978071,0.83308646301693,0.7140741111573685,0.7140741111573685,0.7140741111573685,1.0,1.0,1.0,1.0,1.0
2021-01-08,-0.006975020332185178,-0.00696690927805704,8.111054128142021e-06,-0.005805696870451547,-0.0057683513863070425,3.734548414447682e-05,-0.0035429746061089104,-0.003498124494969827,4.485011113904508e-05,-0.0012843275508319012,-0.0012319728126982817,5.2354738133613375e-05,0.0009702454463461343,0.0010301048114743098,5.98593651281816e-05,-0.004543782964438679,-0.004489404662493997,5.437830194468707e-05,-0.004543782964438679,-0.004489404662493997,5.437830194468707e-05,-0.002143805471552564,-0.002043159921791336,0.00010064554976123211,-0.006975020332185178,-0.00696690927805704,8.111054128142021e-06,-0.006975020332185178,-0.00696690927805704,8.111054128142021e-06,-0.0012843275508319012,-0.0012319728126982817,5.2354738133613375e-05,-0.0012843275508319012,-0.0012319728126982817,5.2354738133613375e-05,0.0009702454463461343,0.0010301048114743098,5.98593651281816e-05,-0.002059733512349347,-0.0019946457319952975,6.508778035400431e-05,-0.0003602323608965391,-0.000297140655981033,6.309170491550049e-05,-0.0003602323608965391,-0.000297140655981033,6.309170491550049e-05,-0.0003602323608965391,-0.000297140655981033,6.309170491550049e-05,-0.00015045348854452205,-0.0001191705646458001,3.128292389872058e-05,-0.002990658693179883,-0.002970392365314879,2.0266327865003422e-05,-0.00015045348854452205,-0.0001191705646458001,3.128292389872058e-05,-0.00015045348854452205,-0.0001191705646458001,3.128292389872058e-05,0.002686133925254925,0.002728433445187365,4.2299519932437696e-05,1.0,0.8436056974916645,0.7381549853052064,0.6327042731187482,0.5272535609322903,0.5,0.5,0.0,1.0,1.0,0.6327042731187482,0.6327042731187482,0.5272535609322903,0.5,0.5,0.5,0.5,0.7143236233155172,0.8333775605347704,0.7143236233155172,0.7143236233155172,0.5952696860962646,1.0,0.8436056974916644,0.7381549853052063,0.6327042731187482,0.5272535609322903,0.5,0.5,0.0,1.0,1.0,0.6327042731187482,0.6327042731187482,0.5272535609322903,0.5,0.5,0.5,0.5,0.7143236233155172,0.8333775605347703,0.7143236233155172,0.7143236233155172,0.5952696860962645
2021-01-10,-0.011773392403478229,-0.011760769789259341,1.2622614218892162e-05,-0.009849931451263477,-0.00980830825862502,4.162319263842702e-05,-0.007081295722205067,-0.007032702616133775,4.8593106071251473e-05,-0.004316845019674794,-0.004261282000170711,5.556301950407604e-05,-0.0015565781613971178,-0.0014940452284602232,6.253293293690048e-05,-0.006941732831459112,-0.006885098749469055,5.663408199006214e-05,-0.006941732831459112,-0.006885098749469055,5.663408199006214e-05,-0.002143805471552564,-0.002043159921791336,0.00010064554976123211,-0.011773392403478229,-0.011760769789259341,1.2622614218892162e-05,-0.011773392403478229,-0.011760769789259341,1.2622614218892162e-05,-0.004316845019674794,-0.004261282000170711,5.556301950407604e-05,-0.004316845019674794,-0.004261282000170711,5.556301950407604e-05,-0.0015565781613971178,-0.0014940452284602232,6.253293293690048e-05,-0.004457683379369782,-0.004390339818970356,6.734356039937938e-05,-0.002758182227916972,-0.0026928347429560906,6.534748496087556e-05,-0.002758182227916972,-0.0026928347429560906,6.534748496087556e-05,-0.002758182227916972,-0.0026928347429560906,6.534748496087556e-05,-0.0031901367750109344,-0.00315087708953923,3.925968547170343e-05,-0.005417533259681692,-0.005366086452289938,5.144680739175364e-05,-0.0025663114590126126,-0.002514864651620858,5.144680739175364e-05,-0.0025663114590126126,-0.002514864651620858,5.144680739175364e-05,0.00015333931231623473,0.00020228613355949374,4.894682124325675e-05,1.0,0.8410269649351473,0.7358985943182539,0.6307702237013604,0.5256418530844671,0.5,0.5,0.0,1.0,1.0,0.6307702237013604,0.6307702237013604,0.5256418530844671,0.5,0.5,0.5,0.5,0.632654164999572,0.5,0.5,0.5,0.5272118041663101,1.0,0.8410269649351473,0.7358985943182539,0.6307702237013604,0.5256418530844671,0.5,0.5,0.0,1.0,1.0,0.6307702237013604,0.6307702237013604,0.5256418530844671,0.5,0.5,0.5,0.5,0.6326541649995719,0.5,0.5,0.5,0.5272118041663101
2021-01-11,-0.020913353973221277,-0.020896770611068163,1.6583362153119546e-05,-0.017547159011983487,-0.017494014225886353,5.314478609713812e-05,-0.013810150278421127,-0.013751475778073473,5.8674500347623516e-05,-0.01007910436873176,-0.010014900154133621,6.420421459810922e-05,-0.006354019709556167,-0.0062842857807075755,6.973392884859485e-05,-0.011490955111690054,-0.011432340655732884,5.861445595717583e-05,-0.011490955111690054,-0.011432340655732884,5.861445595717583e-05,-0.002143805471552564,-0.002043159921791336,0.00010064554976123211,-0.020913353973221277,-0.020896770611068163,1.6583362153119546e-05,-0.021921682034040053,-0.021698356112389024,0.00022332592165103416,-0.01007910436873176,-0.010014900154133621,6.420421459810922e-05,-0.01007910436873176,-0.010014900154133621,6.420421459810922e-05,-0.006354019709556167,-0.0062842857807075755,6.973392884859485e-05,-0.009006905659600727,-0.008937581725234189,6.932393436649307e-05,-0.007307404508147916,-0.007240076649219921,6.732785892798925e-05,-0.007307404508147916,-0.007240076649219921,6.732785892798925e-05,-0.007307404508147916,-0.007240076649219921,6.732785892798925e-05,-0.008937948085392864,-0.008896132925681428,4.181515971143621e-05,-0.009966755539912643,-0.009913328358553776,5.342718135886733e-05,-0.007115533739243557,-0.007062106557884687,5.342718135886733e-05,-0.007115533739243557,-0.007062106557884687,5.342718135886733e-05,-0.004631913079834514,-0.004580836696724811,5.107638310970073e-05,0.9999999999999999,0.8287097027742945,0.7251209899275077,0.6215322770807208,0.5179435642339341,0.49999999999999994,0.49999999999999994,0.0,0.9999999999999999,0.7499999999999999,0.6215322770807208,0.6215322770807208,0.5179435642339341,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.6309753860420002,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5258128217016669,1.0,0.8287097027742946,0.7251209899275078,0.6215322770807209,0.5179435642339342,0.5,0.5,0.0,1.0,0.75,0.6215322770807209,0.6215322770807209,0.5179435642339342,0.5,0.5,0.5,0.5,0.6309753860420003,0.5,0.5,0.5,0.525812821701667
2021-01-12,-0.009470630082139213,-0.009452137598183207,1.8492483956013002e-05,-0.007984115163084865,-0.007923904078025689,6.0211085059214165e-05,-0.005438298799277643,-0.00537344128733819,6.485751193944015e-05,-0.002899641745465536,-0.002830137806645831,6.950393881966623e-05,-0.00036814248667680716,-0.00029399212097691704,7.415036569989235e-05,-0.005756012991348896,-0.005696443974490283,5.9569016858622556e-05,-0.005756012991348896,-0.005696443974490283,5.9569016858622556e-05,-0.002143805471552564,-0.002043159921791336,0.00010064554976123211,-0.009470630082139213,-0.009452137598183207,1.8492483956013002e-05,-0.012630500766087465,-0.012009877092301773,0.0006206236737857021,-0.002899641745465536,-0.002830137806645831,6.950393881966623e-05,-0.002899641745465536,-0.002830137806645831,6.950393881966623e-05,-0.00036814248667680716,-0.00029399212097691704,7.415036569989235e-05,-0.0032719635392595633,-0.0032016850439915805,7.02784952679398e-05,-0.0015724623878067437,-0.0015041799679773023,6.828241982943598e-05,-0.0015724623878067437,-0.0015041799679773023,6.828241982943598e-05,-0.0015724623878067437,-0.0015041799679773023,6.828241982943598e-05,-0.0018110285101827707,-0.0017680881944179589,4.294031576481397e-05,-0.00423181341957148,-0.004177431677311169,5.438174226031406e-05,-0.001380591618902384,-0.001326209876642067,5.438174226031406e-05,-0.001380591618902384,-0.001326209876642067,5.438174226031406e-05,0.0013101028940270083,0.001362116907181193,5.20140131541822e-05,1.0,0.8442532517820044,0.7387215953092539,0.6331899388365032,0.5276582823637528,0.5,0.5,0.0,1.0,1.0,0.6331899388365032,0.6331899388365032,0.5276582823637528,0.5,0.5,0.5,0.5,0.6217123339166076,0.5,0.5,0.5,0.518093611597173,1.0,0.8442532517820044,0.7387215953092539,0.6331899388365033,0.5276582823637528,0.5,0.5,0.0,1.0,1.0,0.6331899388365033,0.6331899388365033,0.5276582823637528,0.5,0.5,0.5,0.5,0.6217123339166076,0.5,0.5,0.5,0.518093611597173
2021-01-13,-0.014732474390258573,-0.014711599161358153,2.0875228900428884e-05,-0.012525722145165109,-0.012458728561166416,6.699358399875195e-05,-0.009409296924898633,-0.009338504726387083,7.079219851153552e-05,-0.006300861899486252,-0.006226271086461894,7.459081302431957e-05,-0.003200415537676866,-0.003122026110139766,7.838942753710356e-05,-0.008377949153448732,-0.008317188764117911,6.0760389330830495e-05,-0.008377949153448732,-0.008317188764117911,6.0760389330830495e-05,-0.002143805471552564,-0.002043159921791336,0.00010064554976123211,-0.014732474390258573,-0.014711599161358153,2.0875228900428884e-05,-0.017892345074206836,-0.017269338655476727,0.000623006418730118,-0.006300861899486252,-0.006226271086461894,7.459081302431957e-05,-0.006300861899486252,-0.006226271086461894,7.459081302431957e-05,-0.003200415537676866,-0.003122026110139766,7.838942753710356e-05,-0.005893899701359388,-0.005822429833619197,7.146986774014774e-05,-0.004194398549906565,-0.004124924757604918,6.947379230164392e-05,-0.004194398549906565,-0.004124924757604918,6.947379230164392e-05,-0.004194398549906565,-0.004124924757604918,6.947379230164392e-05,-0.005133788900497131,-0.005088645554529917,4.514334596721617e-05,-0.006853749581671309,-0.006798176466938793,5.5573114732522e-05,-0.00400252778100221,-0.003946954666269683,5.5573114732522e-05,-0.00400252778100221,-0.003946954666269683,5.5573114732522e-05,-0.0014568642088801471,-0.0014030143372239616,5.384987165618404e-05,1.0,0.8704576739263936,0.7616504646855946,0.6528432554447953,0.5440360462039961,0.5,0.5,0.0,1.0,1.0,0.6528432554447953,0.6528432554447953,0.5440360462039961,0.5,0.5,0.5,0.5,0.6329370727684466,0.5,0.5,0.5,0.5274475606403721,1.0,0.8704576739263936,0.7616504646855945,0.6528432554447953,0.544036046203996,0.5,0.5,0.0,1.0,1.0,0.6528432554447953,0.6528432554447953,0.544036046203996,0.5,0.5,0.5,0.5,0.6329370727684465,0.5,0.5,0.5,0.5274475606403721
