variant,avg_scale,min_scale,p10_scale,p50_scale,p90_scale,max_scale,risk_off_fraction
BASE_MINVAR,1.0,1.0,1.0,1.0,1.0,1.0,0.0
VOL_TARGET_16,0.9868262020379656,0.7424124438607975,0.9623532397119775,1.0,1.0,1.0,0.15250007930046416
VOL_TARGET_14,0.9566266021491295,0.6496108883781978,0.8420590847479804,1.0,1.0,1.0,0.34128100207590994
VOL_TARGET_12,0.8784771541704746,0.5568093328955981,0.7217649297839831,0.8995238589604645,1.0,1.0,0.7687422241489298
VOL_TARGET_10,0.7532503784088885,0.4640077774129984,0.601470774819986,0.7496032158003871,0.9456200889000528,1.0,0.9429071902611981
TSMOM_20D_HALF,0.7698066126013724,0.5,0.5,1.0,1.0,1.0,0.46038677479725515
TSMOM_60D_HALF,0.7726543803814176,0.5,0.5,1.0,1.0,1.0,0.45469123923716476
TSMOM_60D_FLAT,0.5453087607628352,0.0,0.0,1.0,1.0,1.0,0.45469123923716476
DD_SOFT,0.7803262597319292,0.5,0.5,0.75,1.0,1.0,0.6204397827519729
DD_HARD,0.644079251121661,0.25,0.5,0.75,1.0,1.0,0.8491846150050576
VOL12_DD_SOFT,0.7699676065586266,0.5,0.6311675210400174,0.75,0.9429887434182975,1.0,0.9554084678797875
VOL12_DD_HARD,0.6226625082056588,0.25,0.5,0.5,0.8867532641663519,1.0,0.9815353274756724
VOL10_DD_HARD,0.6224391440936093,0.25,0.5,0.6253686530574104,0.7652491774812181,1.0,0.9964755349256866
VOL14_TSMOM60_HALF,0.7474301157045518,0.5,0.5,0.8033050355450492,1.0,1.0,0.6455410230112325
VOL12_TSMOM60_HALF,0.7029621161908576,0.5,0.5,0.6885471733243278,1.0,1.0,0.8976565831720891
VOL12_TSMOM60_DD_SOFT,0.6679546581751299,0.5,0.5,0.6885471733243278,0.9235384931721125,1.0,0.9664788126782058
VOL12_TSMOM60_DD_HARD,0.5867576826913012,0.25,0.5,0.5,0.8768020052750264,1.0,0.982790037042128
VOL_TARGET_12_DAILY,0.8784787581044498,0.5576711589245319,0.7216069047935872,0.8998325078003433,1.0,1.0,0.7675227592332173
VOL14_TSMOM60_HALF_DAILY,0.7487034245444664,0.5,0.5,0.8194771506255997,1.0,1.0,0.6449665352041194
VOL12_TSMOM60_DD_SOFT_DAILY,0.6731328315710396,0.5,0.5,0.7024089862505138,0.931136007586713,1.0,0.9601171532190702
VOL12_TSMOM60_DD_HARD_DAILY,0.6295794151944601,0.5,0.5,0.5,0.8843572484181345,1.0,0.9814754115694091
VOL10_DD_HARD_DAILY,0.6576471902313229,0.4647259657704433,0.5,0.7099002763900595,0.7696761050009789,1.0,0.9960666969770663
