split,observations,active_bars,gross_return,cost_return,net_return,mean_net_bps,tstat,annualized_sharpe,hit_rate,max_drawdown,gross_to_cost,turnover
train,169516,71512,0.4202916015467457,0.09209228171826961,0.3281993198284761,0.019360964146657313,1.574423584613592,1.0863490390509951,0.19862431864838717,-0.1578579492314885,4.5638091890535355,761.0
test_purged,72600,30600,0.5495897350861971,0.04840592994389993,0.5011838051422972,0.06903358197552303,1.8275593994159158,1.9268873991472781,0.1831542699724518,-0.2296936541315141,11.353768757735764,400.0
