root,target_months,horizon,horizon_bars,signal,n,signal_mean,signal_std,pearson_corr,spearman_corr,beta_bp_per_1sd_signal,hac_t,hac_p,low_decile_excess_bp,middle_excess_bp,high_decile_excess_bp,high_minus_low_excess_bp,high_positive_fraction,low_positive_fraction
GC,1,1d,24.0,funding_pct_ann,57941,3.241478706963356,1.9188981090781776,0.013394533232242357,0.010324415768759868,1.4140017214367049,0.8588447620162952,0.3904261681394039,-2.296852536799591,2.647591698435108,1.4190332488452013,3.715885785644792,0.49887834339948234,0.4993960310612597
GC,1,1d,24.0,funding_z_126d,57346,0.10068389327375994,1.1912458987580332,-0.04584127912377652,-0.06639939762141317,-4.830131288618698,-2.7889659792730517,0.005287661920700079,7.609765955611191,2.75083471167193,-11.220627777362226,-18.83039373297342,0.46914653224404657,0.5400521285838401
GC,1,1d,24.0,funding_change_24h_pct_ann,57917,0.0008648642185366017,1.0890385226013335,-0.006023518246533763,-0.005625807195992188,-0.6359852087950041,-0.6718339294225965,0.5016894259637703,2.2354345569051173,2.016975229909788,2.014130269117672,-0.2213042877874456,0.5210635359116023,0.5255524861878453
GC,1,1d,24.0,funding_z_change_24h,57322,-0.0009957670791389994,0.7960348809160623,-0.012896745451620232,-0.0464708136086349,-1.359022342273419,-0.9703169562535827,0.33188852788776857,8.08668371477951,0.9005824029124906,2.93485218597944,-5.151831528800068,0.5027816411682893,0.5458340580970603
GC,1,1d,24.0,abs_funding_z_126d,57346,0.9439408720597461,0.7335968283350262,-0.01481353237388109,-0.01713452491578339,-1.560848815340702,-0.9257300182645943,0.3545863036765673,4.08025733611543,2.199659429279453,-3.291798241191334,-7.372055577306765,0.5029544664581161,0.5421749738584872
GC,1,1h,1.0,funding_pct_ann,58460,3.242631478182419,1.9181926551981536,0.006704733718764163,0.005412683555783446,0.14225849891625436,1.1964115907698305,0.23153598038474488,0.020104236149880845,0.0746464465749788,0.2667295476412972,0.2466253114914163,0.49914471433458774,0.4934998289428669
GC,1,1h,1.0,funding_z_126d,57865,0.10336888329665067,1.192527614750378,-0.013861077122920007,-0.029040924613902477,-0.2934131858752494,-3.0186241393594773,0.0025392534616887766,0.30009316729807656,0.1672052687432386,-0.8280669096030725,-1.128160076901149,0.47529695300395935,0.5100983946141895
GC,1,1h,1.0,funding_change_24h_pct_ann,58436,0.0011368057439474985,1.0880119339366938,0.009973912888076046,0.0036191821675790035,0.21164110119663176,0.9890361045354937,0.32264547731289706,-0.09368710835086227,0.07769519446383305,0.360870661836644,0.4545577701875063,0.5142026009582478,0.4988021902806297
GC,1,1h,1.0,funding_z_change_24h,57841,-0.00028240823679863034,0.7993754750829446,-0.011915208975279168,-0.022169916024134876,-0.2522566941636515,-2.2507123446619097,0.024403762389511446,0.2598912898209821,0.1412200487912977,-0.5817894733426822,-0.8416807631636641,0.48047010024196335,0.5093039283252929
GC,1,1h,1.0,abs_funding_z_126d,57865,0.94468185809938,0.7350973995547815,-0.010855341179108354,-0.007770688701151792,-0.22978735424956517,-2.297994977474642,0.021562074986863296,0.3277195563666431,0.1278245443885345,-0.5431163580031653,-0.8708359143698085,0.49552033080634045,0.5047340333964537
GC,1,1m,720.0,funding_pct_ann,46488,3.24581919351349,1.9481365400621784,0.16320420640398534,0.15434552691271922,85.19741999654376,3.353503173241803,0.0007979549883544479,19.053634002858054,42.21087495098374,126.57571230385963,107.52207830100159,0.6156162615616262,0.45665734566573457
GC,1,1m,720.0,funding_z_126d,45893,0.014409731781599103,1.218185934818736,-0.1504753829971468,-0.15049781454137542,-78.96137101601431,-3.039047529077392,0.0023732740885575167,131.39416594148705,64.46809657794422,-156.87499386000098,-288.26915980148806,0.34370918589464516,0.560922541340296
GC,1,1m,720.0,funding_change_24h_pct_ann,46464,0.0019268543592835894,1.1561288916962997,-0.004635351207239932,-0.0104493091549601,-2.419520035086618,-1.1951076663632356,0.2320449670934036,60.94462315166969,46.07517333304313,50.54677719610962,-10.397845955560067,0.517538196686034,0.526791478373144
GC,1,1m,720.0,funding_z_change_24h,45869,0.002408932545292579,0.8226717943717949,-0.0055049904403483355,-0.008739068821191609,-2.889405341795072,-0.5059967547775768,0.6128589278423983,133.01154266693172,33.70567473519567,88.11947158419687,-44.892071082734844,0.5500217485863419,0.5751633986928104
GC,1,1m,720.0,abs_funding_z_126d,45893,0.9582492702824896,0.7522785015773485,0.027704002586406214,0.024915827495453242,14.537567429852052,0.6397466390632267,0.5223373288986035,28.99569621735619,50.62206391933039,56.26415882096242,27.268462603606235,0.565359477124183,0.4801561483409239
GC,1,1w,168.0,funding_pct_ann,55320,3.2378864776863807,1.922410225688508,0.05139511778340488,0.03438933728787303,13.73546708696236,1.3266030292883606,0.18464003325781952,0.8832839084180374,11.835616947920567,25.126526040982405,24.243242132564365,0.5340683173685161,0.5377801879971077
GC,1,1w,168.0,funding_z_126d,54725,0.0861504517941001,1.1976035594131211,-0.1004846120720836,-0.11929526137661853,-26.84714024616793,-2.544115474973371,0.010955486020325544,59.11297078298146,13.13859222769879,-51.35765785201582,-110.47062863499728,0.42203173445194236,0.5933625091174325
GC,1,1w,168.0,funding_change_24h_pct_ann,55296,0.0021259945811631497,1.098557810215274,0.004744005112771649,-0.001631913071503166,1.2669246370180316,0.8285320036523649,0.4073692781420919,13.431516021047988,11.109233110514955,15.984614371706224,2.5530983506582356,0.5399638336347197,0.5423146473779386
GC,1,1w,168.0,funding_z_change_24h,54701,0.0035080889220655675,0.7871760379825671,0.0003196561158851742,-0.0013403288668064812,0.08542232803981484,0.02316658678039426,0.9815173913370391,39.164302439773735,4.629274403415563,36.742041032742584,-2.4222614070311486,0.5800510576221736,0.5886537759941627
