root,target_months,horizon,n,contango_n,backwardation_n,contango_mean_excess_bp,backwardation_mean_excess_bp,backwardation_minus_contango_bp,contango_positive_fraction,backwardation_positive_fraction
GC,1,1h,58460,57605,791,0.08201031239140329,0.5762791270615205,0.4942688146701172,0.49688395104591615,0.5259165613147914
GC,1,4h,58391,57536,791,0.30151939245981013,2.4745619470653124,2.1730425546055026,0.5033718020022246,0.549936788874842
GC,1,1d,57941,57090,787,1.8419390965502818,14.836789289069362,12.99485019251908,0.5153792257838501,0.565438373570521
GC,1,3d,56916,56076,776,5.373070916072946,30.756855863102572,25.383784947029625,0.5125900563520935,0.5721649484536082
GC,1,1w,55320,54494,764,11.438266031109379,52.1904802294545,40.75221419834512,0.5275076155173046,0.56282722513089
GC,1,1m,46488,45686,744,47.99765294727079,66.1236178172105,18.12596486993972,0.49387120780983235,0.5564516129032258
GC,3,1h,58381,58139,240,0.09754884530541762,-1.1424697487632742,-1.2400185940686919,0.49710177333631467,0.4875
GC,3,4h,58264,58022,240,0.38807785636757214,-0.9898107530926893,-1.3778886094602614,0.5042914756471684,0.49583333333333335
GC,3,1d,57507,57265,240,2.345355497947826,12.371812243699111,10.026456745751286,0.5175412555662272,0.5125
GC,3,3d,56060,55834,224,6.62245648930797,47.03785173610862,40.41539524680065,0.5175341189955941,0.5357142857142857
GC,3,1w,53597,53426,169,12.536444277068096,146.87025287617942,134.33380859911134,0.5312956238535544,0.7100591715976331
GC,3,1m,44553,44499,54,70.77127946121198,35.379493627548115,-35.39178583366385,0.5206633856940606,0.5555555555555556
GC,6,1h,57873,57691,175,0.09010595343706403,0.9026951903851628,0.8125892369480988,0.49700993222513046,0.5142857142857142
GC,6,4h,57546,57364,175,0.3623135765348358,8.70000310254176,8.337689526006924,0.504637054598703,0.5428571428571428
GC,6,1d,55459,55279,173,2.6277640773401565,18.529335772922575,15.901571695582415,0.5204688941551041,0.5202312138728323
GC,6,3d,51589,51411,171,9.81265818767781,96.23800558926821,86.4253474015904,0.522650794577036,0.6432748538011696
GC,6,1w,45850,45677,166,28.617136228754557,177.8708161327239,149.2536799039693,0.5501893732075224,0.6325301204819277
GC,6,1m,27631,27480,144,129.9563303354338,334.6255550142661,204.66922467883234,0.5447598253275109,0.8333333333333334
HG,1,1h,57712,47855,9106,0.1291436045284355,0.09552590697670305,-0.03361769755173247,0.48471424093616133,0.5076872391829563
HG,1,4h,56905,47150,9022,0.46258357231525254,0.5369703819452973,0.07438680963004482,0.5012513255567338,0.5029926845488805
HG,1,1d,51798,42761,8404,2.557487466268802,2.2795140281751762,-0.2779734380936258,0.5090853815392531,0.5019038553069967
HG,1,3d,42916,35154,7243,11.825382747755176,-7.628217161244091,-19.453599908999266,0.5327985435512317,0.4895761424823968
HG,1,1w,32090,25995,5705,14.449404489234988,-26.65713076434433,-41.106535253579324,0.5339873052510098,0.45872042068361085
HG,1,1m,8554,6534,1929,-34.04382904397443,51.819213339193176,85.86304238316761,0.4764309764309764,0.5769828926905132
HG,3,1h,57690,49790,7667,0.1116908296555392,0.16149768337701303,0.04980685372147385,0.48361116690098416,0.5149341332985522
HG,3,4h,56865,49028,7610,0.38278849358070965,0.8130226648622217,0.43023417128151203,0.49934731174023006,0.5136662286465178
HG,3,1d,51703,44273,7225,1.524612492445773,3.5313380437827577,2.006725551336985,0.5086621642987825,0.49176470588235294
HG,3,3d,43340,36738,6437,2.017771186131608,1.9674427083183113,-0.05032847781329678,0.5219935761337036,0.48314432188907874
HG,3,1w,33944,28528,5298,3.358872283039038,-2.1211497045344614,-5.480021987573499,0.5158791362871564,0.4639486598716497
HG,3,1m,20178,17098,3020,11.438866792217762,66.36504030430085,54.92617351208308,0.555795999532109,0.5374172185430464
HG,6,1h,56356,47902,8288,0.13601786183290174,0.2123047004742862,0.07628683864138448,0.4833618638052691,0.5154440154440154
HG,6,4h,55249,46993,8096,0.6199471064764671,0.4622449685001224,-0.15770213797634478,0.5001595982380355,0.5109930830039525
HG,6,1d,48458,41394,6938,3.752455287877414,3.001877577174844,-0.7505777107025697,0.5159926559404745,0.48918996829057365
HG,6,3d,39539,33926,5525,13.753416937279209,11.632523836332105,-2.120893100947103,0.5456581972528445,0.49085972850678733
HG,6,1w,29898,25623,4204,26.373252533319903,12.650798515699877,-13.722454017620024,0.5427545564531866,0.4814462416745956
HG,6,1m,11044,9417,1581,98.62021296747838,205.77754472687826,107.15733175939988,0.5402994584262504,0.5895003162555345
PA,1,1h,49538,29031,20224,0.03865655079409529,0.3084683269009453,0.26981177610685,0.49123350900761253,0.5190367879746836
PA,1,4h,48548,28401,19870,-0.3982471459072478,2.170991495644182,2.56923864155143,0.49920777437414177,0.5361348766985405
PA,1,1d,42452,24501,17725,-5.080270599430444,13.840688591884373,18.920959191314815,0.4957348679645729,0.560394922425952
PA,1,3d,35445,20158,15104,-3.9947394338750897,26.904580205421944,30.899319639297033,0.5021331481297748,0.5762049788135594
PA,1,1w,28301,15882,12292,1.9222948950189955,54.67144325235334,52.74914835733435,0.5051630776980229,0.6079563944028636
PA,1,1m,9619,4532,5069,195.17120687610742,313.27486287076186,118.10365599465442,0.531332744924978,0.6040639179325311
PA,3,1h,49577,29121,20191,0.06335216842976442,0.3223783697301482,0.25902620130038384,0.49126060231448093,0.5194393541676985
PA,3,4h,48608,28506,19840,-0.27946379004488703,2.1334232297840416,2.4128870198289287,0.4996491966603522,0.5362399193548387
PA,3,1d,42652,24720,17711,-4.557073153569409,13.69128394752095,18.24835710109036,0.49639967637540455,0.5600474281519959
PA,3,3d,35981,20664,15140,-3.165700502981524,25.390381777943848,28.55608228092537,0.5037262872628726,0.573778071334214
PA,3,1w,29452,16857,12471,7.881049398055514,49.070254930588746,41.18920553253323,0.5130806193272824,0.6005131906021971
PA,3,1m,11354,6191,5146,80.3809924667301,316.34755481789034,235.96656235116023,0.5073493781295428,0.6107656432180334
PA,6,1h,3464,1717,1747,0.3956022402644636,1.6803807372985904,1.284778497034127,0.483401281304601,0.5352032054951346
PA,6,4h,3065,1495,1570,2.5726988114321645,5.928003530147807,3.3553047187156424,0.5117056856187291,0.5719745222929936
PA,6,1d,968,344,624,-50.54023020710228,77.07737911094857,127.61760931805085,0.5174418604651163,0.6041666666666666
PA,6,3d,259,59,200,-386.52540872734716,428.7330570613759,815.2584657887231,0.0847457627118644,0.815
PA,6,1w,60,0,60,,1085.7912483160399,,,1.0
PL,1,1h,58788,54590,4002,0.10187908824749191,-1.010806097303495,-1.112685185550987,0.4956951822678146,0.4890054972513743
PL,1,4h,58716,54524,3996,0.12514542222809624,-1.1757839664972167,-1.3009293887253128,0.5023659305993691,0.487987987987988
PL,1,1d,58247,54086,3966,-0.21180536597969793,4.641719023998104,4.853524389977802,0.5079133232259735,0.48714069591527986
PL,1,3d,57299,53151,3954,0.3283477820596462,15.478292139153359,15.149944357093714,0.49961430641003934,0.5212443095599393
PL,1,1w,55635,51522,3921,-1.704592180163006,73.91988178276968,75.62447396293268,0.49419665385660494,0.5266513644478449
PL,1,1m,46803,43047,3582,10.29647275453349,296.1826534444373,285.88618068990377,0.4487420726183009,0.6568955890563931
PL,3,1h,58856,55030,3645,0.09166639790348169,-1.2197490472343508,-1.3114154451378326,0.4954388515355261,0.4888888888888889
PL,3,4h,58835,55009,3645,0.10299884048309063,-1.8642860200209452,-1.967284860504036,0.5021905506371684,0.4877914951989026
PL,3,1d,58695,54871,3643,-0.5146896055781834,6.688095119528259,7.202784725106442,0.5074994077017003,0.487510293713972
PL,3,3d,58386,54563,3642,-0.8694005037995851,25.392476497743317,26.261877001542903,0.4988728625625424,0.5205930807248764
PL,3,1w,57874,54052,3642,-1.8692220340538501,65.20606743834779,67.07528947240164,0.4925812180862873,0.5186710598572213
PL,3,1m,55666,52069,3420,-4.057877441709,237.25721335566953,241.31509079737853,0.4528414219593232,0.6409356725146199
PL,6,1h,36899,34877,1982,-0.08953557217938864,-2.3371415439645973,-2.247605971785209,0.49387848725521116,0.49041372351160445
PL,6,4h,35684,33749,1895,-0.497984238081831,-4.955291898966206,-4.457307660884376,0.5000740762689265,0.48337730870712403
PL,6,1d,28375,26943,1394,-4.7206214629546315,-21.669384830746242,-16.94876336779161,0.4950079798092269,0.4835007173601148
PL,6,3d,21395,20587,796,-3.92477678558469,-61.44379252273479,-57.5190157371501,0.49667265750230727,0.4434673366834171
PL,6,1w,16422,16113,302,23.652042767328837,-328.891741718561,-352.54378448588983,0.5256625085334823,0.34105960264900664
PL,6,1m,9634,9634,0,472.47623007865434,,,0.5510691301640025,
SI,1,1h,58118,55001,2626,0.12783865565367472,0.8402312499071692,0.7123925942534944,0.481282158506209,0.5236100533130236
SI,1,4h,57893,54795,2607,0.5099843453261587,2.788495135952554,2.278510790626395,0.4981658910484533,0.5143843498273878
SI,1,1d,56411,53474,2465,4.502767668255549,-12.323908523283022,-16.82667619153857,0.5138010995998055,0.5006085192697769
SI,1,3d,53381,50629,2328,15.771924053398184,-35.43706492287503,-51.20898897627322,0.5319085899385727,0.49140893470790376
SI,1,1w,48551,46037,2122,33.24363253021466,-8.58305017259678,-41.826682702811446,0.5305080695961943,0.5339302544769086
SI,1,1m,29359,27726,1398,208.62793972914466,24.606586280859947,-184.0213534482847,0.5468513308807618,0.4892703862660944
SI,3,1h,58194,57487,640,0.13825392997175706,-0.02745467891240817,-0.16570860888416522,0.48115226051107207,0.5140625
SI,3,4h,58026,57319,640,0.6879957833683782,-12.85948199441011,-13.54747777777849,0.4978279453584326,0.4859375
SI,3,1d,56927,56239,621,2.9970318850109012,-70.22447705940996,-73.22150894442086,0.5091662369530041,0.43478260869565216
SI,3,3d,54590,53936,588,7.672486518554836,-119.28607453920631,-126.95856105776116,0.5162970928507861,0.42346938775510207
SI,3,1w,51006,50451,494,9.440150688256255,-96.15312364727181,-105.59327433552806,0.5118233533527581,0.4433198380566802
SI,3,1m,38927,38690,202,68.18692586528222,97.6760232619395,29.489097396657282,0.47278366502972347,0.5841584158415841
SI,6,1h,48133,47764,337,0.14285590403236265,0.05497049395353623,-0.08788541007882643,0.4824135332049242,0.49554896142433236
