ts,md_signed_flow_ewma,md_notional_share_ewma,complex_trades,complex_notional,complex_signed_notional_ratio,signed_share_GC,signed_share_SI,signed_share_HG,signed_share_PL,signed_share_PA,notional_share_GC,notional_share_SI,notional_share_HG,notional_share_PL,notional_share_PA
2023-08-28 23:15:00+00:00,34.034499026389256,25.951937565145958,53.0,6898827.5,-0.2823150020782517,0.08474048669864553,-0.017582697929467,0.01390997238298826,-0.38158150787217104,0.01819874464175253,0.08474048669864553,0.017582697929467,0.17875682498221618,0.6642512803806154,0.05466871000905588
2023-09-14 22:55:00+00:00,33.56981621610898,34.6571499077278,84.0,14768895.0,-0.30001330498998063,0.0654070599052942,-0.02327865422565466,-0.03234162068319939,-0.07397675994040177,-0.23582333004601902,0.22237614933276997,0.06985627563876648,0.04526912812366802,0.12325363542770126,0.5392448114770942
2025-05-12 04:50:00+00:00,30.368632432475707,14.74223925689611,335.0,121505947.5,0.15027083345035436,-0.0242518992743133,-0.002721677471796185,-0.0183408717503314,0.19558528194679523,0.0,0.6458303615137851,0.03810142709269437,0.08699090635048955,0.22907730504303092,0.0
2025-11-27 18:40:00+00:00,29.434034808184574,9.232087299129107,51.0,17389717.5,-0.05057112054868056,0.1926690298447919,-0.06190871128297513,-0.007421770940212225,-0.18237444052785792,0.008464772357572802,0.5540711055254348,0.24766791064892227,0.007421770940212225,0.18237444052785792,0.008464772357572802
2023-09-13 22:35:00+00:00,29.221841752935678,15.81019661664259,57.0,17086317.5,0.6119029158857665,0.24860242705896107,-0.020296942275595663,-3.145791947270089e-05,0.3836288890218738,0.0,0.4971767614642535,0.020296942275595663,0.022166127955892193,0.46036016830425863,0.0
2025-06-26 02:10:00+00:00,26.10111161974847,33.61015219615565,306.0,86174550.0,0.2312315527032053,0.08145595190227277,0.05936729579672885,0.0028897743011132636,-0.026509334832615895,0.1140278655357063,0.45414533641312893,0.14840228350481668,0.0028897743011132636,0.09574468332007535,0.29881792246086575
2026-04-27 20:10:00+00:00,23.8402231358713,12.306028677607193,71.0,21576640.0,0.3824340814881279,0.10895718703190117,0.10503257226333665,4.055311670399098e-06,0.1615786795349044,0.006861587346315274,0.5221790788556513,0.2279571796164741,0.0351966293176324,0.20780552486392692,0.006861587346315274
2024-04-28 23:45:00+00:00,23.2215589423625,14.4973065295092,115.0,27410775.0,0.09048248362186039,0.1110942685859849,0.020072398536706823,0.03768226181127676,-0.0050485621074194366,-0.07331788320468867,0.46267936605221854,0.11531322992509332,0.25124152819466067,0.05555935576429342,0.11520652006373407
2023-08-17 22:55:00+00:00,22.80682487863573,13.407403968305077,48.0,8835487.5,0.029214856565639418,-0.17422128660133354,-0.025584326841048662,0.010428117294037255,0.21859235271398436,0.0,0.5435534824762075,0.10383694165149349,0.07300530955422664,0.27960426631807245,0.0
2026-05-19 10:25:00+00:00,22.611314112807634,9.620149883248192,75.0,23332340.0,0.29924752510892605,0.11698569453385302,-0.00011357626367522503,0.020064425599832677,0.15620143543253698,0.006109545806378614,0.6045111634752451,0.13064699040044847,0.0735684890585342,0.17317187217398683,0.018101484891785393
2023-09-14 22:45:00+00:00,22.477739005328928,9.955790585832649,56.0,13680827.5,0.2661617142676494,0.04237170595126649,0.10056591971501724,-0.0069741760869362615,-0.006650182527336159,0.1368484472156381,0.5789795975426194,0.15084431113541927,0.07673603807956791,0.05659160602675532,0.1368484472156381
2025-07-30 03:55:00+00:00,22.403887023610704,11.576777442386838,305.0,55531650.0,-0.3383208494615233,-0.09087844499488129,0.05869895816169697,0.002552598383084241,-0.3063475513513465,-0.002346409660076731,0.4075200358714355,0.17267360145070423,0.002552598383084241,0.4149073546346993,0.002346409660076731
2024-09-02 22:10:00+00:00,22.386986278543286,12.859020487784973,119.0,19275210.0,0.33085891152418057,0.14442747964873015,-0.0074914877710800555,0.027216305295765915,0.06042502260675759,0.10628159174400693,0.5645515664939578,0.09752163530254664,0.07075149894605558,0.1305542196427432,0.1366210796146968
2025-06-19 03:55:00+00:00,22.29875609633219,10.303500685764801,105.0,24644975.0,-0.08567060830859029,-0.23390244867361398,0.00016534810848864727,0.0,0.05716763762186815,0.0908988546346669,0.56414989262517,0.11219731405692235,0.00982147476311094,0.22293246392012978,0.0908988546346669
2023-08-09 20:20:00+00:00,22.068058228865606,12.803658797557079,84.0,24437052.5,-0.34229854439278223,-0.14388232787076102,0.00930144910070476,0.007416504097619788,-0.2100926451747812,-0.005041524545564569,0.5259668693677357,0.00930144910070476,0.15537726982417377,0.2740391870091534,0.035315224698232325
2025-06-13 09:45:00+00:00,21.816467474692114,15.067212477494287,400.0,125520180.0,0.05500131532634832,-0.024583855759289064,-0.002918853366845078,0.01418417341339058,-0.018643058032580897,0.08696290907167278,0.6009480706608292,0.15990157917236894,0.0519980133871701,0.047370032452152315,0.13978230432747946
2024-10-09 04:20:00+00:00,21.770452956109644,13.130712583619225,186.0,43508282.5,-0.09445839421494057,0.1272438184614619,-0.00014594922242678736,-0.0025624431394183395,-0.2095944605489771,-0.009399359765580267,0.49672726106805065,0.13799441520128955,0.04354889209887795,0.31233007186620154,0.009399359765580267
2025-12-03 21:40:00+00:00,21.717760947031483,17.100658697758327,85.0,27324357.5,-0.20948205278019805,0.04657126887613001,-0.1403180294358248,-0.034588644948010214,0.0030895511449811766,-0.08423619841747422,0.419046266687149,0.24825835337573812,0.09379680748211554,0.0647718798145574,0.17412669264043995
2025-08-18 02:55:00+00:00,21.11572127544401,9.770631425232036,140.0,30408475.0,-0.11084311199427134,-0.011229106359329102,-0.04377151435578403,0.0038089710187702588,0.03992768463397128,-0.09957914693189975,0.3787914388998462,0.3191914425172588,0.09602257265449846,0.08428012256451532,0.12171442336388129
2025-09-08 22:40:00+00:00,21.07189538662386,8.540587375530432,81.0,31756980.0,0.3222504154992068,0.1734522615185701,-0.06595557889950493,0.007187396282644006,0.20756633659749765,0.0,0.6820503712884538,0.07914952870203652,0.007187396282644006,0.23161270372686574,0.0
2026-04-06 04:45:00+00:00,21.04285100514604,14.290744173316032,123.0,61754652.5,-0.08898904418578017,-0.19674792923496737,0.03515079288965313,1.0120694954926676e-06,-0.003194496155573056,0.07580157624561161,0.8175484430100226,0.046861651435897884,0.004547228243248555,0.015982520507260567,0.11506015680357039
