feature,root,month,spearman_ic,pvalue,observations
rv_z_GC,GC,2025-07,-0.1940136581613087,2.074483507245276e-56,6530
rv_z_GC,GC,2025-08,-0.08645793996171842,2.193985729454584e-11,5972
rv_z_GC,GC,2025-09,-0.09186835934757062,2.7812320620781556e-18,8974
rv_z_GC,GC,2025-10,-0.0671158744189607,4.964844094203507e-17,15585
rv_z_GC,GC,2025-11,-0.19038706238345227,1.1765760473718422e-71,8681
rv_z_GC,GC,2025-12,-0.07577759094810585,5.243409850707936e-17,12200
rv_z_GC,GC,2026-01,-0.1329070746197749,1.0677358116141637e-73,18507
rv_z_GC,GC,2026-02,-0.09945556134613869,3.4236260185680964e-21,8984
rv_z_GC,GC,2026-03,-0.13102006061830743,2.4033383686250943e-40,10214
rv_z_GC,GC,2026-04,-0.05257101864013619,1.3969967021089982e-05,6822
rv_z_GC,GC,2026-05,-0.18938898626774703,1.5543044400706667e-53,6498
rv_z_GC,GC,2026-06,-0.062756063504436,1.799250145343331e-05,4663
rv_z_GC,SI,2025-07,0.04150087725222085,0.0007953062589280172,6530
rv_z_GC,SI,2025-08,0.16274684310179674,1.001262890648624e-36,5972
rv_z_GC,SI,2025-09,-0.016698561592418656,0.11370330188059213,8974
rv_z_GC,SI,2025-10,-0.004760430380482953,0.5523466939357727,15585
rv_z_GC,SI,2025-11,0.027523875074715872,0.010330438491228302,8681
rv_z_GC,SI,2025-12,-0.041951778258462136,3.5643551215999126e-06,12200
rv_z_GC,SI,2026-01,0.03250699956566347,9.727822720181102e-06,18507
rv_z_GC,SI,2026-02,0.03267381016828495,0.0019525966006942402,8984
rv_z_GC,SI,2026-03,-0.03899619018191093,8.075744032616282e-05,10214
rv_z_GC,SI,2026-04,0.062139014073170476,2.800213091698807e-07,6822
rv_z_GC,SI,2026-05,-0.06727960522214688,5.6820551107356134e-08,6498
rv_z_GC,SI,2026-06,0.06613593602793912,6.186669281758352e-06,4663
rv_z_GC,HG,2025-07,0.05423899175743913,1.157962436014369e-05,6530
rv_z_GC,HG,2025-08,-0.019520802823369154,0.1314597251681963,5972
rv_z_GC,HG,2025-09,0.003845198960397661,0.7157005196585958,8974
rv_z_GC,HG,2025-10,-0.04131322138655865,2.4783882766998046e-07,15585
rv_z_GC,HG,2025-11,0.01463689505513187,0.17268601373211734,8681
rv_z_GC,HG,2025-12,-0.016330711644815733,0.07127497657929545,12200
rv_z_GC,HG,2026-01,0.0133608378264154,0.06912949149929218,18507
rv_z_GC,HG,2026-02,0.038837063071051704,0.00023140447045688926,8984
