root,trades,start_ts,end_ts,notional,signed_ratio,median_trade_notional,p99_trade_notional
GC,32877317,2025-06-22 22:00:00+00:00,2026-06-21 23:59:56.082051+00:00,20659791135080.0,-0.0018182424441947071,455310.00000000006,2703760.0
SI,12785778,2025-06-22 22:00:00+00:00,2026-06-21 23:59:52.143142+00:00,6037589672950.0,-0.0009734199727634706,379400.0,2088355.750000011
HG,6560711,2025-06-22 22:00:00+00:00,2026-06-21 23:59:56.506287+00:00,1454903834175.0,-0.006350852807559926,148800.0,1024362.5000000001
PL,5130344,2025-06-22 22:00:00+00:00,2026-06-21 23:58:25.144921+00:00,623609978735.0,0.0010344912236789916,97320.0,502250.0
PA,1028619,2025-06-22 22:00:00+00:00,2026-06-21 23:55:48.277942+00:00,210628630950.0,-0.004751184563496305,156100.0,768500.0
ALI,112563,2025-06-23 00:10:43.178975+00:00,2026-06-21 23:50:52.149488+00:00,19757275462.5,0.006047565881580369,81512.5,750437.5
