feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
rv_z_GC,GC,1,-0.1106060735632193,3.657701606231502e-306,113649,2.5603911243620514e-304
rv_z_GC,GC,2,-0.11424040715579531,0.0,113648,0.0
rv_z_GC,GC,5,-0.11751916969701018,0.0,113645,0.0
rv_z_GC,GC,10,-0.11744568898824265,0.0,113640,0.0
rv_z_GC,GC,20,-0.1133769193314014,0.0,113630,0.0
rv_z_GC,GC,50,-0.11165223575693331,0.0,113600,0.0
rv_z_GC,SI,1,0.042449864709965826,1.7151572046367497e-46,113649,2.4012200864914496e-45
rv_z_GC,SI,2,0.03743015804270879,1.5843225734261296e-36,113648,1.8744098051802098e-35
rv_z_GC,SI,5,0.03237991113395838,9.411542150154112e-28,113645,9.30081812485818e-27
rv_z_GC,SI,10,0.024208678092142673,3.2957519369780093e-16,113640,2.3865789888461446e-15
rv_z_GC,SI,20,0.012721117520215425,1.8005059951278965e-05,113630,7.450369635011985e-05
rv_z_GC,SI,50,-0.009697830624286466,0.0010805965910443628,113600,0.0036163391891524494
rv_z_GC,HG,1,-0.0012832159223126617,0.6653115877988042,113649,0.783817298388493
rv_z_GC,HG,2,-0.0026215326228391633,0.3768282076888944,113648,0.5662534784591615
rv_z_GC,HG,5,-0.003245130650609987,0.27397000645710423,113645,0.45484566526945575
rv_z_GC,HG,10,-0.003536605346851273,0.23318318309464575,113640,0.41675292297766475
rv_z_GC,HG,20,-0.009248927144194296,0.0018223250207573696,113630,0.005842568768840422
rv_z_GC,HG,50,-0.010333686215496489,0.0004958613860590051,113600,0.0017283135447699763
rv_z_GC,PL,1,0.017956489810747454,1.413896273537995e-09,113649,8.24772826230497e-09
rv_z_GC,PL,2,0.016453452488040563,2.9051952416910436e-08,113648,1.5252275018877978e-07
rv_z_GC,PL,5,0.011081207197820095,0.00018720137621799427,113645,0.0006866775372188435
rv_z_GC,PL,10,0.007053686246517389,0.017414445724350715,113640,0.04629156458371709
rv_z_GC,PL,20,-0.0012341476785245034,0.6773990047560196,113630,0.7947139161942129
rv_z_GC,PL,50,-0.01790664290204501,1.581969774849026e-09,113600,9.164514557746083e-09
rv_z_GC,PA,1,0.013338085866429565,6.902652495606291e-06,113649,2.9582796409741244e-05
rv_z_GC,PA,2,0.013557413787804973,4.863367252076916e-06,113648,2.1388630846830414e-05
rv_z_GC,PA,5,0.005897942507251753,0.04678217007697777,113645,0.1113230109480491
rv_z_GC,PA,10,0.0026681842601683687,0.36841257568932917,113640,0.554599576306517
rv_z_GC,PA,20,-0.0030672643426009963,0.3011657542051349,113630,0.48463454699676883
rv_z_GC,PA,50,-0.01622209719363315,4.554181467750512e-08,113600,2.3760946788263543e-07
rv_z_SI,GC,1,0.05596105613666808,1.662568943176372e-79,113649,3.9901654636232928e-78
rv_z_SI,GC,2,0.05638077729425198,1.124431929270585e-80,113648,2.778008295844974e-79
rv_z_SI,GC,5,0.05681713475530277,6.711786087136696e-82,113645,1.708454640362068e-80
rv_z_SI,GC,10,0.0554945998475486,3.291794065367746e-78,113640,7.680852819191408e-77
rv_z_SI,GC,20,0.053353665954152425,2.033196169733525e-72,113630,4.0663923394670494e-71
rv_z_SI,GC,50,0.057652974237687754,3.050009519281069e-84,113600,8.006274988112807e-83
rv_z_SI,SI,1,-0.0783805803680085,2.5189655896906035e-154,113649,8.816379563917112e-153
rv_z_SI,SI,2,-0.07779504776762781,4.746237757797372e-152,113648,1.5947358866199167e-150
rv_z_SI,SI,5,-0.07162822908439292,3.829925688090062e-129,113645,1.2373606069214046e-127
rv_z_SI,SI,10,-0.06505651850556116,7.945464429502109e-107,113640,2.3014448692350937e-105
rv_z_SI,SI,20,-0.054464846947848984,2.1605910196439885e-75,113630,4.653580657694745e-74
rv_z_SI,SI,50,-0.03175455331852236,9.609121850316936e-27,113600,9.385653900309565e-26
rv_z_SI,HG,1,0.037419331329516914,1.6583949044920002e-36,113649,1.9347940552406669e-35
rv_z_SI,HG,2,0.0378791240301661,2.2863903444112073e-37,113648,2.8243645430961973e-36
rv_z_SI,HG,5,0.03885593549432536,3.1385846006517935e-39,113645,3.9945622190113735e-38
rv_z_SI,HG,10,0.03566835330308188,2.541838027313731e-33,113640,2.809399924925703e-32
rv_z_SI,HG,20,0.03621494741210292,2.695834427059045e-34,113630,3.1020560530542434e-33
rv_z_SI,HG,50,0.042567992507026815,1.0097381541095727e-46,113600,1.4623793956069674e-45
rv_z_SI,PL,1,0.05015871174461327,3.2096198917921636e-64,113649,5.861045019794386e-63
rv_z_SI,PL,2,0.051097243936346966,1.405360085325104e-66,113648,2.623338825940194e-65
rv_z_SI,PL,5,0.05398057032254223,4.251432200838748e-74,113645,8.92800762176137e-73
rv_z_SI,PL,10,0.05448202002853958,1.912762290747476e-75,113640,4.2282113795470525e-74
rv_z_SI,PL,20,0.054988622513768806,8.159306919962322e-77,113630,1.8523831926400948e-75
rv_z_SI,PL,50,0.06574517179134984,5.022982152103008e-109,113600,1.5068946456309025e-107
rv_z_SI,PA,1,0.012112655091529863,4.436107520846143e-05,113649,0.00017577029799579057
rv_z_SI,PA,2,0.013542405044551308,4.98218111173143e-06,113648,2.1797042363825008e-05
rv_z_SI,PA,5,0.016646619573081462,1.998689382503236e-08,113645,1.0625943552548848e-07
rv_z_SI,PA,10,0.017084745679351962,8.425571460292625e-09,113640,4.595766251068705e-08
rv_z_SI,PA,20,0.018050571609860004,1.1641510134054175e-09,113630,6.838369589234621e-09
rv_z_SI,PA,50,0.025337391965533734,1.3290006074830989e-17,113600,9.967504556123242e-17
rv_z_HG,GC,1,-0.0004293741185884903,0.8849094860637458,113649,0.9398905565585829
rv_z_HG,GC,2,0.0004036164099703806,0.8917702605036776,113648,0.9437132082750965
rv_z_HG,GC,5,0.007079381096000376,0.01700714573218915,113645,0.04535238861917107
rv_z_HG,GC,10,0.010181427560537049,0.0005985631631583801,113640,0.0020776572605497494
rv_z_HG,GC,20,0.012278763081971376,3.485725251301551e-05,113630,0.00013942901005206204
rv_z_HG,GC,50,0.018980563669115352,1.576018658603292e-10,113600,9.593157052367864e-10
rv_z_HG,SI,1,0.02179027458373875,2.0316034462349928e-13,113649,1.3652375158699152e-12
rv_z_HG,SI,2,0.023140032891599036,6.100051146324925e-15,113648,4.200035215502408e-14
rv_z_HG,SI,5,0.02776025485067657,7.970926060784327e-21,113645,6.564292050057682e-20
rv_z_HG,SI,10,0.027711803546401192,9.321170160393072e-21,113640,7.601731004592409e-20
rv_z_HG,SI,20,0.02916414998205296,8.121187832580225e-23,113630,7.032781215842669e-22
rv_z_HG,SI,50,0.03765077330447822,6.351218969104789e-37,113600,7.731918744997135e-36
rv_z_HG,HG,1,-0.15117777107694455,0.0,113649,0.0
rv_z_HG,HG,2,-0.15195349371337663,0.0,113648,0.0
rv_z_HG,HG,5,-0.15111627390431093,0.0,113645,0.0
rv_z_HG,HG,10,-0.14979327513655916,0.0,113640,0.0
rv_z_HG,HG,20,-0.14713576976268425,0.0,113630,0.0
rv_z_HG,HG,50,-0.12969312676934933,0.0,113600,0.0
rv_z_HG,PL,1,0.01249675314800759,2.5199325078462498e-05,113649,0.00010176650512456009
rv_z_HG,PL,2,0.015851750868845774,9.082994465448019e-08,113648,4.596214066853214e-07
rv_z_HG,PL,5,0.02357133373268933,1.9075337947906893e-15,113645,1.3352736563534825e-14
rv_z_HG,PL,10,0.02574017312235826,4.010516275263486e-18,113640,3.090673092863604e-17
rv_z_HG,PL,20,0.035860735832736426,1.1631975932728216e-33,113630,1.3203864572286083e-32
rv_z_HG,PL,50,0.04677810228958604,4.636193609495198e-56,113600,7.211856725881419e-55
rv_z_HG,PA,1,0.0063095903459016375,0.033413561116985346,113649,0.08182912926608656
