method,observations,annualized_sharpe,per_obs_sharpe,skew,excess_kurtosis,n_trials,expected_max_sharpe_per_obs,probabilistic_sharpe_ratio,deflated_sharpe_ratio,fixed_universe_annualized_sharpe,fixed_universe_total_return
mahalanobis,2329,-11.246361197541752,-0.042643929445633125,-1.657746604739042,16.93298888039751,179,0.06141895141146829,0.01681206968110153,1.0830586238039262e-07,-10.161465398300457,-0.008603043718418357
zscore,2329,-9.62509175303106,-0.0364964032734178,3.67611416432964,60.56354523014277,179,0.07557534636058329,0.05065698072349639,2.433363501153509e-07,-8.300770739770595,-0.0038130761072436847
