root,total_rows,observed_rows,vol_valid_rows,standardized_valid_rows,mean_observed_5m_logret,std_observed_5m_logret
GC,708026,680267,707738,679979,1.2477859826923932e-06,0.0006286214698155516
SI,708026,684609,707738,684321,1.4543080598199464e-06,0.0012825256314685292
HG,708026,692528,707734,692240,1.2129794759289498e-06,0.0009475845416189525
PL,708026,694073,707700,693785,4.2497245259276e-07,0.0012789340034339504
PA,708026,514064,707598,513776,1.3315566091972133e-06,0.0021188701911213333
