metric,value,p50,p95,p99
cross_sectional_mean_abs_bps,3.9366386175942236,3.013761502040793,9.999530684117728,16.652381772576447
cross_sectional_rms_bps,4.955033737348496,3.699548657475159,12.775891704606607,22.443137420455674
equal_weight_residual_std_bps,1.5538367566177929,,,
