root,nobs,mean_bps,std_bps,mean_abs_bps,median_abs_bps,p90_abs_bps,p95_abs_bps,p99_abs_bps,latest_abs_bps
GC,56201,0.003993723048672239,2.8890707397315154,1.88736314643182,1.2711263900393974,4.156872079330572,5.694242958923965,10.142559802303635,0.16472394473749039
SI,56699,-0.05044099057975535,5.6168307317900545,3.5323278658248585,2.314095369736458,7.739506558545659,10.73771908189971,20.007560895076267,10.805109365921368
HG,57369,-0.01889368651045315,5.941199485857303,3.783602387458029,2.3492819563791234,8.908777013083743,12.176839190128803,21.427299482089975,3.1958362858060627
PL,57140,0.034428387218103915,7.044696463256598,4.672291315445691,3.1409569988191386,10.38371179545322,14.058963579544342,24.343262021399596,1.0962699970937413
PA,42764,0.07077708752920261,12.061398691123498,6.989499591717617,4.227035079740736,15.461914959377154,21.98063832521512,44.84930398776088,3.6939237230366833
