root,nobs,cum_residual_log_return,cum_carry_cost_log,cum_after_carry_log_return,cum_after_carry_bp
GC,57512,0.024550420609240384,0.08971896134981865,-0.06516854074057839,-651.6854074057838
HG,57512,-0.1116400514538228,0.024962786413804883,-0.13660283786762578,-1366.0283786762577
PA,57512,0.2704826974438719,-0.021642860648421896,0.29212555809229124,2921.2555809229125
PL,57512,0.263515203580263,-0.04060303714484291,0.30411824072510774,3041.182407251077
SI,57512,-0.31410452451391924,-0.047777442924273605,-0.2663270815896503,-2663.270815896503
