ts,component,root,loading,explained_variance,eigenvalue,effective_rank
2026-06-21 23:55:00+00:00,PC1,GC,-0.4618986991233511,0.6609304336328368,3.304652168164184,2.9753106655556074
2026-06-21 23:55:00+00:00,PC1,SI,-0.47690720841672096,0.6609304336328368,3.304652168164184,2.9753106655556074
2026-06-21 23:55:00+00:00,PC1,HG,-0.3989596746641336,0.6609304336328368,3.304652168164184,2.9753106655556074
2026-06-21 23:55:00+00:00,PC1,PL,-0.46891181363794626,0.6609304336328368,3.304652168164184,2.9753106655556074
2026-06-21 23:55:00+00:00,PC1,PA,-0.42445493910542176,0.6609304336328368,3.304652168164184,2.9753106655556074
2026-06-21 23:55:00+00:00,PC2,GC,0.18166064061040987,0.11946581729176849,0.5973290864588424,2.9753106655556074
2026-06-21 23:55:00+00:00,PC2,SI,0.1633576254635028,0.11946581729176849,0.5973290864588424,2.9753106655556074
2026-06-21 23:55:00+00:00,PC2,HG,0.6526064401514178,0.11946581729176849,0.5973290864588424,2.9753106655556074
2026-06-21 23:55:00+00:00,PC2,PL,-0.3187399976100436,0.11946581729176849,0.5973290864588424,2.9753106655556074
2026-06-21 23:55:00+00:00,PC2,PA,-0.642513304183178,0.11946581729176849,0.5973290864588424,2.9753106655556074
2026-06-21 23:55:00+00:00,PC3,GC,0.5362233467281646,0.10631596201115054,0.5315798100557527,2.9753106655556074
2026-06-21 23:55:00+00:00,PC3,SI,0.4000977221218497,0.10631596201115054,0.5315798100557527,2.9753106655556074
2026-06-21 23:55:00+00:00,PC3,HG,-0.6413377582499037,0.10631596201115054,0.5315798100557527,2.9753106655556074
2026-06-21 23:55:00+00:00,PC3,PL,-0.052857551586479194,0.10631596201115054,0.5315798100557527,2.9753106655556074
2026-06-21 23:55:00+00:00,PC3,PA,-0.3718578952500862,0.10631596201115054,0.5315798100557527,2.9753106655556074
