root,nobs,final_cum_residual_log_return,mean_residual_return_bps,std_residual_return_bps,mean_abs_residual_return_bps,p95_abs_residual_return_bps
GC,56201,0.022445122905843065,0.003993723048672235,2.889070739731515,1.88736314643182,5.694242958923965
SI,56699,-0.2859953724881543,-0.05044099057975535,5.616830731790054,3.532327865824858,10.73771908189971
HG,57369,-0.1083911901418188,-0.01889368651045315,5.941199485857303,3.7836023874580285,12.176839190128803
PL,57140,0.1967238045642458,0.0344283872181039,7.044696463256598,4.67229131544569,14.058963579544342
PA,42764,0.3026711371098857,0.07077708752920264,12.0613986911235,6.989499591717616,21.980638325215125
