ts,observed_count,residual_norm,max_abs_residual,residual_GC,residual_SI,residual_HG,residual_PL,residual_PA
2025-01-15 13:30:00+00:00,5,9.977412889713127,8.942111730667456,1.185164391902278,0.9239006843852522,-8.942111730667456,2.237198907867442,3.510575409283958
2021-11-28 23:00:00+00:00,5,7.111568404483947,4.997619815193888,-2.9326059822157293,1.9123870900814,1.4358604672784256,3.3584377087725255,-4.997619815193888
2022-10-10 01:00:00+00:00,4,7.0777829531542,4.695308301531814,-0.0675223201978904,-4.244351694877481,4.695308301531814,-0.10492190238615962,
2021-09-13 14:45:00+00:00,5,6.40847311784642,4.565451611587099,-1.4334195111593635,1.6882784092390088,3.9018161319742592,0.3098946185519552,-4.565451611587099
2018-12-06 18:15:00+00:00,4,6.388797214966182,5.155735136293715,-0.24689189815019708,,5.155735136293715,-2.4047283463720346,-0.4776034530201303
2017-04-06 09:20:00+00:00,4,6.321738003639647,5.305627023111799,1.648942967121343,0.9217788557405995,0.5031200982328878,,-5.305627023111799
2020-04-21 09:35:00+00:00,5,6.266018645846205,4.589115230187455,-1.8506027569313717,1.4758165765343538,4.589115230187455,-0.7365199174028851,-3.472432051730763
2024-02-11 23:00:00+00:00,5,6.22168446471881,5.511522021244608,1.8961198712804808,0.9208118898765623,-5.511522021244608,0.01970598288628511,1.97203680475159
2020-08-19 01:15:00+00:00,4,6.151165672842682,5.178878825563023,-0.9756338707202085,-1.1339199762228191,5.178878825563023,-1.1004769219605792,
2018-11-30 14:00:00+00:00,4,6.041079957144181,4.025301921057777,2.3980067101539175,-4.025301921057777,-0.570678314176206,2.629933870461702,
2019-04-17 13:30:00+00:00,5,6.003479711425433,4.712466740176085,1.3349610661657791,-1.3485345635599,-4.712466740176085,3.1344469332330083,0.639532464917149
2025-10-12 22:00:00+00:00,5,5.982033503895176,4.8717902297907925,-4.8717902297907925,1.2386908225268312,-1.1135959808612368,2.145233872186163,2.161921707616173
2020-11-17 13:15:00+00:00,5,5.935138552506449,5.324819686072104,1.8003662904360778,1.658887387106434,-5.324819686072104,0.7516466034080891,-0.5603268590858709
2019-08-01 17:30:00+00:00,5,5.848738220330302,4.182578435934555,2.2556324673711896,-1.5485448646030993,-4.182578435934555,0.003487320083325529,3.0377450864512476
2019-07-05 12:30:00+00:00,5,5.8405024023816265,4.11537788346136,0.3192002190269827,0.5002326600570264,-3.9736473642252146,-1.0164341195149147,4.11537788346136
2020-01-09 14:00:00+00:00,5,5.8035534512349,4.29286577712238,1.1635734987136312,-0.2537997668857621,-2.281340659663237,-2.9376356593252586,4.29286577712238
2025-11-27 01:00:00+00:00,5,5.737119585331874,4.205394605021094,-2.477634496415534,-2.6334040679584128,-0.5524910614372556,4.205394605021094,1.3603166162779248
2020-01-17 14:00:00+00:00,5,5.727964292162801,4.037183061550001,-0.349822121037097,-0.9871585735652284,-3.925821260624274,-0.04239957223902757,4.037183061550001
2019-01-17 13:30:00+00:00,5,5.727939564266389,3.7902419023936305,-1.9289560050484926,-1.5047580415167703,2.1944632017052372,3.7902419023936305,-2.7645110230685135
2024-02-08 14:00:00+00:00,5,5.727231798297357,4.51488308421005,0.18696934306856072,-0.9181336326918867,-3.0929821552148633,4.51488308421005,-1.404474738874737
2019-05-28 12:30:00+00:00,5,5.702951340721929,4.04740998094405,3.3453779753881605,-4.04740998094405,-1.3018722680683625,1.2206702301276144,1.3287834396541425
2020-08-05 12:15:00+00:00,5,5.6677782624637905,4.816431221544923,0.33965336850813976,2.5938059311081387,-4.816431221544923,-0.5281759845165324,1.3429583876552702
2020-01-08 01:00:00+00:00,5,5.646290252967008,4.164411737899034,-2.0228893138173722,4.164411737899034,2.147381658192019,-1.9864980177654392,-1.3743234559291115
2020-10-01 12:15:00+00:00,4,5.621931116277502,4.444310633420342,1.9479691210564338,1.1055581129438428,-4.444310633420342,0.7184345042638974,
2021-12-26 23:00:00+00:00,5,5.612126279990182,4.620658573377218,-0.3522171019761702,-0.5910269170464355,-3.0976490533697776,-0.27690498260497964,4.620658573377218
2024-03-06 14:30:00+00:00,5,5.589144044350534,4.5203855241126325,2.392331966388177,-0.5097356398909634,-4.5203855241126325,-0.3577599357511789,2.166465100177139
2021-07-26 05:45:00+00:00,4,5.587887982582982,4.804170166187372,-0.4800366983029564,-1.0948861821890483,4.804170166187372,-0.6858073456630007,
2019-07-09 13:30:00+00:00,5,5.584281468498586,4.743054401986147,-1.0247821935785435,-1.8867383666068362,-0.3958548545866989,4.743054401986147,-1.9801447384004098
2019-06-28 15:30:00+00:00,5,5.574179501253188,4.247869859012396,-1.378310013506993,-1.2457324376931196,0.7170574731132008,4.247869859012396,-3.0102025768514764
