root,sample,lag,nobs,autocorr,tstat,pvalue
GC,all_observed,1,32310,-0.01228446841456054,-2.208229344944777,0.027235285946408616
GC,all_observed,2,32309,-0.005763776747470638,-1.036006977671056,0.3002066415208697
GC,all_observed,3,32308,0.0002725156787508425,0.048981615436585316,0.9609342499023135
GC,all_observed,4,32307,0.014459182749394688,2.599106185294779,0.009350933460418232
GC,all_observed,5,32306,0.0008425195890096934,0.15142874120575084,0.8796384642499772
GC,all_observed,6,32305,0.0005974428265718488,0.10737862963068538,0.9144892744080032
GC,all_observed,7,32304,-0.009512389803124743,-1.709716073665166,0.08732799307853129
GC,all_observed,8,32303,0.015958429975608215,2.868490754517914,0.004127024096055583
GC,all_observed,9,32302,0.003864614745563137,0.6945615072468146,0.48733513804129386
GC,all_observed,10,32301,0.015233949422063115,2.7381513350602273,0.0061819477491091585
GC,all_observed,11,32300,-0.002157128285176953,-0.3876723251593823,0.6982610932158201
GC,all_observed,12,32299,-0.006051365307627561,-1.0875329267019869,0.27680947081545465
GC,all_observed,13,32298,0.014232808740267491,2.5580496769493126,0.01053062739536571
GC,all_observed,14,32297,-0.004411222664566317,-0.792740141886644,0.4279350610086547
GC,all_observed,15,32296,0.008742812358251265,1.5711898924917134,0.11614834398423293
GC,all_observed,16,32295,0.004528760829693192,0.8138381336478867,0.41574368679845597
GC,all_observed,17,32294,0.01424016805869145,2.559214129089088,0.010495424684704097
GC,all_observed,18,32293,-0.010883982797621946,-1.95593455364985,0.05048147378936459
GC,all_observed,19,32292,0.00030270560777962357,0.05439443987354511,0.9566212451524293
GC,all_observed,20,32291,0.02397286254663813,4.308955636449392,1.6451189049050237e-05
GC,all_observed,21,32290,0.0010300529371932712,0.18508888855028316,0.8531604792242959
GC,all_observed,22,32289,-0.0082097063693373,-1.4752176752197796,0.1401637820308236
GC,all_observed,23,32288,-0.008986542699035104,-1.6147946447643746,0.1063649449623506
GC,all_observed,24,32287,0.0007192914884052109,0.129242523425482,0.8971665546210942
GC,contiguous,1,30899,-0.013718225092353592,-2.411553769996711,0.015890503060477432
GC,contiguous,2,29487,-0.014624554118071367,-2.51147955962822,0.012027925770381004
GC,contiguous,3,28076,0.002517655816816367,0.42184206335014024,0.6731435309579563
GC,contiguous,4,26665,0.020263133672625906,3.3094078562091322,0.0009361744417030716
GC,contiguous,5,25255,-0.008583478673415464,-1.3640673722068273,0.17255851957084323
GC,contiguous,6,23845,-0.0013990968042217069,-0.21603724933006366,0.8289605603982402
GC,contiguous,7,22435,0.008959168280842693,1.3419267265370163,0.17963333690895647
GC,contiguous,8,21026,0.01695866727094295,2.459301944046058,0.013928742166734948
GC,contiguous,9,19617,0.0004622341015881603,0.06473753894350336,0.9483836334493319
GC,contiguous,10,18208,0.014173868643373373,1.9126667220133102,0.05580640492712389
GC,contiguous,11,16799,-0.002619639366233046,-0.339514916294004,0.734226106884093
GC,contiguous,12,15390,-0.007911549996545694,-0.9814456579548453,0.32638844994609156
GC,contiguous,13,13981,-0.003921453091166896,-0.4636480269800529,0.6429071581057592
GC,contiguous,14,12572,0.00039385287061313793,0.04415721633491334,0.9647797865825165
GC,contiguous,15,11163,0.010384511869785193,1.0971374992859662,0.27260495992928707
GC,contiguous,16,9754,0.00595529723298,0.5881092226283751,0.5564726018304688
GC,contiguous,17,8345,0.015222866495497235,1.3906181295979967,0.16437834627631875
GC,contiguous,18,6936,-0.009705643252418784,-0.8082332236785015,0.4189840624940503
GC,contiguous,19,5527,0.02950186134613871,2.193838416962515,0.028288534336777384
GC,contiguous,20,4126,-0.023810105782658478,-1.5294799685727225,0.12622219641530033
GC,contiguous,21,2730,0.06283226220628946,3.2882425897083487,0.0010209450296638934
GC,contiguous,22,1365,-0.04829263971566816,-1.7849904239466048,0.07448519538509744
GC,contiguous,23,0,,,
GC,contiguous,24,0,,,
SI,all_observed,1,32310,-0.008735944660011609,-1.5702958536090499,0.1163560912190608
SI,all_observed,2,32309,-0.015448777799804749,-2.777117621514515,0.005487492568693944
SI,all_observed,3,32308,4.6479157955614266e-05,0.008354103401156165,0.9933345189927978
SI,all_observed,4,32307,0.005111056131223914,0.918652361584812,0.35828429343655716
SI,all_observed,5,32306,-0.01683287964230807,-3.0258549498348644,0.002481262486632024
SI,all_observed,6,32305,-0.012404442522300599,-2.229626383686695,0.025779103147670315
SI,all_observed,7,32304,-0.0020233212168189896,-0.36364735325947983,0.716123741267968
SI,all_observed,8,32303,0.032299204670800157,5.807998118527547,6.381601164662427e-09
SI,all_observed,9,32302,0.015494533645759588,2.785043030393,0.005355178040840811
SI,all_observed,10,32301,0.024244695395063184,4.358519046414656,1.3134955673594055e-05
SI,all_observed,11,32300,0.0034292648908134014,0.6162989131874481,0.5377015995233507
SI,all_observed,12,32299,0.0005102768913582393,0.09170374027966624,0.9269339943436844
SI,all_observed,13,32298,0.016701581489424425,3.0018745936055944,0.00268527772031695
SI,all_observed,14,32297,-0.021978705227926023,-3.95070561932076,7.808662591581539e-05
SI,all_observed,15,32296,-0.011727833579676362,-2.107698973531832,0.03506472238872974
SI,all_observed,16,32295,0.012481478865912513,2.243128087314677,0.024895308558277
SI,all_observed,17,32294,0.024458645210391067,4.39652767326682,1.1034726025166828e-05
SI,all_observed,18,32293,-0.006937100919521677,-1.2466059917964414,0.21255104631943195
SI,all_observed,19,32292,0.0026592101311592497,0.47784628587741595,0.6327628492516849
SI,all_observed,20,32291,0.025973044384927663,4.668707781705005,3.0431759056546905e-06
SI,all_observed,21,32290,-0.0027605251811379647,-0.4960368490918998,0.6198717892988813
SI,all_observed,22,32289,-0.022310409431237684,-4.009862678872716,6.089061672933277e-05
SI,all_observed,23,32288,-0.01426750132983279,-2.5638891840376288,0.010355142715224001
SI,all_observed,24,32287,-0.016908875005888443,-3.038625671270784,0.0023784992869942327
SI,contiguous,1,30899,-0.00870923310522723,-1.53092721173776,0.12579762097615568
SI,contiguous,2,29487,-0.023718010832228742,-4.073812330806338,4.63706300329208e-05
SI,contiguous,3,28076,0.007297631289093681,1.222772405388257,0.22142593535134925
SI,contiguous,4,26665,0.012218965326697194,1.9953604597318264,0.046013737813515365
SI,contiguous,5,25255,-0.02922327096404255,-4.645910478713361,3.402870249139844e-06
SI,contiguous,6,23845,-0.006967220525195419,-1.075847084807196,0.28200653649753327
SI,contiguous,7,22435,0.013600369180769914,2.0372041163502708,0.041641304244793675
SI,contiguous,8,21026,0.031230108251330702,4.530467871291977,5.9176941125662076e-06
SI,contiguous,9,19617,0.007624861904661471,1.0679201073733158,0.2855696942486644
SI,contiguous,10,18208,0.020182325336414366,2.7237480959133378,0.006460726317029473
SI,contiguous,11,16799,0.004767781858386256,0.617927003117681,0.5366318356999067
SI,contiguous,12,15390,0.011506107533301476,1.4274084634790947,0.15348248443965207
SI,contiguous,13,13981,0.015503840444551087,1.8332831401319079,0.06678172738934576
SI,contiguous,14,12572,-0.015750782094666398,-1.7661339551715667,0.07739764716049709
SI,contiguous,15,11163,0.003113489729766789,0.328928190989267,0.7422161370951205
SI,contiguous,16,9754,0.013806947228561519,1.3635966021136627,0.1727260376267319
SI,contiguous,17,8345,0.038628259970723416,3.5309415134465616,0.0004163178652004117
SI,contiguous,18,6936,-0.010550178170196493,-0.8785690173830719,0.37966544338362995
SI,contiguous,19,5527,0.06381282807278807,4.752916437977412,2.0558629256540193e-06
SI,contiguous,20,4126,-0.04484896999835466,-2.88302904801516,0.0039590868750988386
SI,contiguous,21,2730,0.06010888756445163,3.1451898417403417,0.0016776577288839468
SI,contiguous,22,1365,-0.056275469188468416,-2.0809221523219015,0.037627371842894386
SI,contiguous,23,0,,,
SI,contiguous,24,0,,,
HG,all_observed,1,32310,-0.013435205547594345,-2.4151190964323206,0.015735580558347808
HG,all_observed,2,32309,-0.008546002188519504,-1.5361271860807049,0.1245169826414735
HG,all_observed,3,32308,-0.01668677873489793,-2.9996775611694857,0.0027047149864875314
HG,all_observed,4,32307,-0.0008086203628032214,-0.14533817024453213,0.8844447858917279
HG,all_observed,5,32306,0.011948641121885357,2.147720054406822,0.031743416908582095
HG,all_observed,6,32305,0.0017934905669397387,0.3223452121780712,0.7471932711554657
HG,all_observed,7,32304,0.005520081354394684,0.9921259327614177,0.32114352924714606
HG,all_observed,8,32303,0.005508715843160556,0.9900678183161493,0.3221483881472747
HG,all_observed,9,32302,0.011841500051670268,2.128327385221803,0.0333174966349107
HG,all_observed,10,32301,0.014006849446330948,2.5175471068345794,0.01182231384845045
HG,all_observed,11,32300,-0.0018836905833826076,-0.3385307725662893,0.7349654419554208
HG,all_observed,12,32299,-0.0020303206366543867,-0.364877106948644,0.7152055330128023
HG,all_observed,13,32298,-0.004416223850796579,-0.7936512090477378,0.42740434264908833
HG,all_observed,14,32297,-0.011332371196705613,-2.0366496383993415,0.041693303996866986
HG,all_observed,15,32296,0.0027364670187058596,0.4917595069750006,0.6228927077760643
HG,all_observed,16,32295,0.006599476468883561,1.1859684577768843,0.23564348206549293
HG,all_observed,17,32294,-0.0005266302789442035,-0.09463534237187399,0.9246050638190653
HG,all_observed,18,32293,-0.0033411556602022663,-0.6003988901195326,0.548244640890888
HG,all_observed,19,32292,-0.003735340259606981,-0.6712236051008517,0.5020828947128936
HG,all_observed,20,32291,0.00464134500299932,0.8340187746645757,0.40427657404635914
HG,all_observed,21,32290,-0.007730925189954524,-1.3892007902619656,0.16478128186380603
HG,all_observed,22,32289,-0.01235515596526161,-2.220216004570877,0.026411024710962423
HG,all_observed,23,32288,-0.013997183549736024,-2.5153031043189067,0.011897823368360603
HG,all_observed,24,32287,0.008254558958292692,1.4832319284117963,0.1380225624029411
HG,contiguous,1,30899,-0.011622115355963624,-2.0430202486459756,0.04105890027671184
HG,contiguous,2,29487,-0.00859319798597215,-1.475609421482254,0.14005945270983403
HG,contiguous,3,28076,-0.011275140286103876,-1.8893034138561862,0.05886147986188686
HG,contiguous,4,26665,0.005932715653235706,0.9687588503371691,0.33267430946461113
HG,contiguous,5,25255,-0.004223024193168906,-0.6710948892484693,0.5021662205831157
HG,contiguous,6,23845,-3.81443768350006e-05,-0.005889941399759425,0.9953005831409598
HG,contiguous,7,22435,0.005027621869587845,0.7530291249635817,0.45144031472242124
HG,contiguous,8,21026,-0.0010769109559256385,-0.15614846562462498,0.875917496042166
HG,contiguous,9,19617,0.01251976788689555,1.7535755148640757,0.07951888716514101
HG,contiguous,10,18208,0.010108687236824194,1.3640309333206075,0.17257469257048677
HG,contiguous,11,16799,-0.0025149703847103183,-0.3259493429523634,0.7444667426894992
HG,contiguous,12,15390,-0.005317484715018555,-0.6596346779917135,0.5094981666852801
HG,contiguous,13,13981,-0.01205419962895794,-1.4253055838552255,0.15409121362886588
HG,contiguous,14,12572,0.016203122610640372,1.8168679954373244,0.06926113157835898
HG,contiguous,15,11163,0.0025575172017656637,0.2701914100972041,0.7870179964247632
HG,contiguous,16,9754,0.03439595190094541,3.3986875000802823,0.0006798107151376702
HG,contiguous,17,8345,-0.013640064760064644,-1.2459997590874068,0.21279947055390094
