ts,root,rolling_ar1
2021-02-02 00:00:00+00:00,GC,0.00884020177994095
2021-02-03 00:00:00+00:00,GC,0.010073978115909987
2021-02-04 00:00:00+00:00,GC,0.026690490797694835
2021-02-05 00:00:00+00:00,GC,0.031000545225581856
2021-02-07 00:00:00+00:00,GC,0.03218045978232644
2021-02-08 00:00:00+00:00,GC,0.03516350569803936
2021-02-09 00:00:00+00:00,GC,0.022465671774951453
2021-02-10 00:00:00+00:00,GC,0.006225149911418668
2021-02-11 00:00:00+00:00,GC,0.013560609327290567
2021-02-12 00:00:00+00:00,GC,0.0065709798516119106
2021-02-14 00:00:00+00:00,GC,0.005368797974118912
2021-02-15 00:00:00+00:00,GC,0.0021677393263057074
2021-02-16 00:00:00+00:00,GC,-0.02537277923342075
2021-02-17 00:00:00+00:00,GC,-0.03461116144643838
2021-02-18 00:00:00+00:00,GC,-0.039150686258901
2021-02-19 00:00:00+00:00,GC,-0.032773596464404746
2021-02-21 00:00:00+00:00,GC,-0.03285745390698431
2021-02-22 00:00:00+00:00,GC,-0.026059838586582392
2021-02-23 00:00:00+00:00,GC,-0.029381583149286045
2021-02-24 00:00:00+00:00,GC,-0.019806236661162258
2021-02-25 00:00:00+00:00,GC,-0.028735397282875007
2021-02-26 00:00:00+00:00,GC,-0.013451428730261094
2021-02-28 00:00:00+00:00,GC,-0.01083168771214889
2021-03-01 00:00:00+00:00,GC,-0.005722055655038159
2021-03-02 00:00:00+00:00,GC,-0.010450377723561562
2021-03-03 00:00:00+00:00,GC,-0.012269965896929825
2021-03-04 00:00:00+00:00,GC,-0.008482809484547627
2021-03-05 00:00:00+00:00,GC,-0.012661541240238144
2021-03-07 00:00:00+00:00,GC,-0.011562382552939425
2021-03-08 00:00:00+00:00,GC,-0.01319846622602263
2021-03-09 00:00:00+00:00,GC,-0.01415910412818612
2021-03-10 00:00:00+00:00,GC,-0.013723960743642407
2021-03-11 00:00:00+00:00,GC,-0.015501296085533732
2021-03-12 00:00:00+00:00,GC,-0.01219529109124895
2021-03-14 00:00:00+00:00,GC,-0.012130322443314927
2021-03-15 00:00:00+00:00,GC,-0.015777532560034786
2021-03-16 00:00:00+00:00,GC,-0.017662122449439568
2021-03-17 00:00:00+00:00,GC,-0.02064852472090976
2021-03-18 00:00:00+00:00,GC,-0.019511630416277962
2021-03-19 00:00:00+00:00,GC,-0.01860492613437375
2021-03-21 00:00:00+00:00,GC,-0.019457848641806417
2021-03-22 00:00:00+00:00,GC,-0.018146545210741234
2021-03-23 00:00:00+00:00,GC,-0.01820245478099673
2021-03-24 00:00:00+00:00,GC,-0.01837570049491115
2021-03-25 00:00:00+00:00,GC,-0.017935507762556736
2021-03-26 00:00:00+00:00,GC,-0.01758165622804101
2021-03-28 00:00:00+00:00,GC,-0.01766684167696239
2021-03-29 00:00:00+00:00,GC,-0.016714893372888118
2021-03-30 00:00:00+00:00,GC,-0.017295316732130812
2021-03-31 00:00:00+00:00,GC,-0.009592739389833549
2021-04-01 00:00:00+00:00,GC,-0.007823550729084585
2021-04-04 00:00:00+00:00,GC,-0.0085505733878665
2021-04-05 00:00:00+00:00,GC,-0.008707833790619072
2021-04-06 00:00:00+00:00,GC,-0.021438438801321544
2021-04-07 00:00:00+00:00,GC,-0.019750870307897954
2021-04-08 00:00:00+00:00,GC,-0.024710524365102737
2021-04-09 00:00:00+00:00,GC,-0.024491022085215093
2021-04-11 00:00:00+00:00,GC,-0.025868626797912186
2021-04-12 00:00:00+00:00,GC,-0.028290377060766862
2021-04-13 00:00:00+00:00,GC,-0.02475154272875738
2021-04-14 00:00:00+00:00,GC,-0.024084275360122618
2021-04-15 00:00:00+00:00,GC,-0.015564495706929804
2021-04-16 00:00:00+00:00,GC,-0.01714109640833457
2021-04-18 00:00:00+00:00,GC,-0.01041520234395551
2021-04-19 00:00:00+00:00,GC,-0.007960324086327034
2021-04-20 00:00:00+00:00,GC,-0.01694466152210119
