ts,GC,SI,HG,PL,PA
2016-06-22 00:00:00+00:00,-0.0028411352076513907,0.0008696913144197183,0.0070422826254129545,0.003169250723036754,0.013045032274719759
2016-06-23 00:00:00+00:00,0.0006302686728760776,0.010386706188810102,0.014499786308662999,-0.003693069441554897,0.023271434143600445
2016-06-24 00:00:00+00:00,0.0387993024520048,0.030279376931013235,-0.004249298178657712,0.010592887805922047,-0.004356119058269492
2016-06-26 00:00:00+00:00,0.05197869267410038,0.037847738214849436,-0.006617844998887956,0.011706755573356986,-0.002629552224703957
2016-06-27 00:00:00+00:00,0.04552366763350957,0.030560710453757522,0.0016476407163907858,0.004393365942710226,0.009463366554707697
2016-06-28 00:00:00+00:00,0.03720603934041122,0.032808533822252794,0.02558279054115553,0.005819609053263619,0.03889675204668119
2016-06-29 00:00:00+00:00,0.038571848794706654,0.05742601262321667,0.03267583023238585,0.03065374109100283,0.06239686512546516
2016-06-30 00:00:00+00:00,0.04280914327022156,0.08730308348616189,0.03654430701030609,0.04924840346610715,0.08410940705608994
2016-07-01 00:00:00+00:00,0.058169277426634025,0.1389808173590561,0.04468730608858751,0.08015297428255597,0.0926476112034953
2016-07-03 00:00:00+00:00,0.0585409831886361,0.14800569686394915,0.04581305201407293,0.08118627483008556,0.09643736693386806
2016-07-04 00:00:00+00:00,0.06336062696749067,0.17046191502664954,0.0403978763262961,0.08343704948374597,0.10641944949196347
2016-07-05 00:00:00+00:00,0.07300404521619086,0.1618844822155312,0.02695956909731867,0.09461555433582802,0.09256506549376198
2016-07-06 00:00:00+00:00,0.07541870998289468,0.15793873110367018,0.015196084352345651,0.10502895535239976,0.09635513347302727
2016-07-07 00:00:00+00:00,0.07109746694560926,0.13645938384972123,0.000235543517753789,0.10695229706359388,0.09816270934929872
2016-07-08 00:00:00+00:00,0.07476074307682445,0.16360586466444538,0.0007064641763271373,0.1155164893502354,0.11347744333940302
2016-07-10 00:00:00+00:00,0.0776088116029392,0.17265570018436316,0.0018827965081859022,0.11823437469787557,0.11517365956936221
2016-07-11 00:00:00+00:00,0.06587244861910069,0.16336013422949458,0.010777986246077065,0.11596998353060783,0.12393190124326114
2016-07-12 00:00:00+00:00,0.05048123806663707,0.15719716636816639,0.04378579599823207,0.10951101179231415,0.12864079697099573
2016-07-13 00:00:00+00:00,0.059358249848783906,0.1702178637746754,0.052764531963507944,0.11306406067205632,0.1575987587137453
2016-07-14 00:00:00+00:00,0.05130511558019002,0.1645881830145557,0.052764531963507944,0.11823437469787557,0.16276792502845971
2016-07-15 00:00:00+00:00,0.05280133789867136,0.1608995030667022,0.05075133365465556,0.11251825878458721,0.1633833570041885
2016-07-17 00:00:00+00:00,0.04943168403071496,0.15867974632838955,0.04985527624703012,0.1108790634444139,0.15806275995940755
2016-07-18 00:00:00+00:00,0.046351638024417774,0.14875410652841925,0.055665348457084596,0.11360956482232343,0.15682494454528673
2016-07-19 00:00:00+00:00,0.04943168403071496,0.14350343813321098,0.06210623690915651,0.11060560279825449,0.17188361877643388
2016-07-20 00:00:00+00:00,0.034011877373012034,0.11270044280098945,0.056556217112886054,0.10227489136982637,0.1953963824515661
2016-07-21 00:00:00+00:00,0.048906493637129955,0.14023915400426912,0.06166336710563802,0.12022280630025683,0.21640168730952425
2016-07-22 00:00:00+00:00,0.04107099811318182,0.13063584542687545,0.052093916089487435,0.10301005038106581,0.21618286094736838
2016-07-24 00:00:00+00:00,0.041751501712086636,0.12860229109111154,0.05119906144364361,0.09988188516574237,0.2135532027482956
2016-07-25 00:00:00+00:00,0.03667438702849246,0.12426720843821704,0.04648789176524881,0.10245873179685372,0.21909661592259333
2016-07-26 00:00:00+00:00,0.03872349031444511,0.13088974919871044,0.04783620657625476,0.11078791820441136,0.2222919708563431
2016-07-27 00:00:00+00:00,0.054146026581793905,0.1638515347307834,0.03199160167336146,0.14853162208503612,0.23783185191855694
2016-07-28 00:00:00+00:00,0.05080067164236457,0.15719716636816639,0.04198033398669321,0.14774135115660858,0.23289392368275585
2016-07-29 00:00:00+00:00,0.06190860575998425,0.16532428904705787,0.04873407420110809,0.16100507091165017,0.25397722458295213
2016-07-31 00:00:00+00:00,0.06058215014913415,0.1663049216336101,0.04581305201407293,0.1602245999879326,0.2518676675106244
2016-08-01 00:00:00+00:00,0.06323330421687512,0.17094983892020377,0.0335874073237693,0.1689484730656865,0.26320676849485025
2016-08-02 00:00:00+00:00,0.07063396081903939,0.17945019368559612,0.0403978763262961,0.17537770956168686,0.25594213749584505
2016-08-03 00:00:00+00:00,0.06521706740371336,0.168752304157203,0.03495321677806429,0.1734104677691386,0.25615243506768337
2016-08-04 00:00:00+00:00,0.0681487610895406,0.1650789805704198,0.02489368979033091,0.16705469613747415,0.2437395526479733
2016-08-05 00:00:00+00:00,0.04968306172087189,0.13241181950777925,0.01705051232930488,0.15874871310284888,0.2333242780144582
2016-08-07 00:00:00+00:00,0.04811630644831144,0.13063584542687545,0.015660013843385445,0.15700958222972172,0.23196085345536144
2016-08-08 00:00:00+00:00,0.04990668365166062,0.1344376495244899,0.017282074215253407,0.1618715470077996,0.22446478260420832
2016-08-09 00:00:00+00:00,0.054368652830348196,0.1430019336091597,0.014035318116383366,0.16696853009545798,0.23117065191286024
2016-08-10 00:00:00+00:00,0.05851527113769439,0.15596000179121727,0.023744132243344485,0.18532550234700995,0.27373026633165587
2016-08-11 00:00:00+00:00,0.05236323009117427,0.14750644573026417,0.03176342140996402,0.16117842620375544,0.22850810941236332
2016-08-12 00:00:00+00:00,0.04990668365166062,0.13215830195033051,0.006574336898577227,0.1394498685306278,0.2170578792327449
2016-08-14 00:00:00+00:00,0.05191703390618496,0.13696417941823968,0.007510009481460966,0.1429865654089726,0.21946023906757706
2016-08-15 00:00:00+00:00,0.05340358093183095,0.13847703901087005,0.013338211082227547,0.1301954867684536,0.22987624643945104
2016-08-16 00:00:00+00:00,0.05836747332483316,0.1389808173590561,0.021902087052903085,0.13687791908394598,0.2393298726716413
2016-08-17 00:00:00+00:00,0.06154032232489293,0.13418464509556305,0.01705051232930488,0.1400696941138495,0.23575946042399742
2016-08-18 00:00:00+00:00,0.05984446938390242,0.13088974919871044,0.02144104508991851,0.1413081939183014,0.24933031063759525
2016-08-19 00:00:00+00:00,0.0529578488094522,0.11088908249204099,0.022362916554145906,0.12974839953428852,0.2521491990440152
2016-08-21 00:00:00+00:00,0.049757607920913216,0.09443747760003562,0.02328393895404468,0.12499694499019931,0.24749376283029356
2016-08-22 00:00:00+00:00,0.04990668365166062,0.08703786666986124,0.00961207728807456,0.11986156724638697,0.22619963919084007
2016-08-23 00:00:00+00:00,0.05005573716214684,0.08624179391984566,-0.0037762612729590472,0.12229740227276675,0.23504384568042003
2016-08-24 00:00:00+00:00,0.04039599676848038,0.0701857893785367,-0.020226745490138698,0.09895997120720423,0.21369947642660847
2016-08-25 00:00:00+00:00,0.037532608480975505,0.06856591861396044,-0.02142939145589906,0.09229698153735466,0.22214694874021657
2016-08-26 00:00:00+00:00,0.036626674552188376,0.07529813738933822,-0.02094815949281026,0.09229698153735466,0.220114427715294
2016-08-28 00:00:00+00:00,0.036400062774959885,0.07045551291355023,-0.022151673899723057,0.090438244942729,0.22236447402838877
2016-08-29 00:00:00+00:00,0.039040676931469065,0.08783330619211505,-0.018545467322994336,0.09785255138195659,0.23439935426923242
2016-08-30 00:00:00+00:00,0.02988192540315371,0.07395531457442717,-0.025046031926087675,0.07695236908399572,0.2048849636489276
2016-08-31 00:00:00+00:00,0.028131477831116136,0.07556648570706281,-0.02383903117605246,0.07222690901013529,0.19330869902108194
2016-09-01 00:00:00+00:00,0.03208465311768727,0.09048021086083358,-0.02335663849906633,0.06919085354710397,0.18152133329262554
2016-09-02 00:00:00+00:00,0.040245496354319954,0.11528242203040184,-0.024804515199880472,0.08259360254746806,0.1965873904827804
2016-09-04 00:00:00+00:00,0.03843772243626553,0.11347573680545286,-0.023115529396029788,0.08118627483008556,0.19090744307650898
2016-09-05 00:00:00+00:00,0.04197488510820779,0.12170835340841935,-0.02094815949281026,0.08950757944977639,0.19621954056139845
2016-09-06 00:00:00+00:00,0.058884670129741856,0.14700694522037816,-0.016867011108301577,0.11506278941958215,0.22515661889264038
2016-09-07 00:00:00+00:00,0.055036234355716473,0.13595433333393503,-0.013279777798412828,0.10704379255750496,0.2127126532427237
2016-09-08 00:00:00+00:00,0.04953395264730798,0.1268195324373571,-0.012325351574685173,0.10273442908298236,0.2085784678440259
2016-09-09 00:00:00+00:00,0.04250062773175678,0.09627885652359058,-0.017825783952600593,0.0807167251196228,0.1905374974542955
2016-09-11 00:00:00+00:00,0.04347627417486599,0.09758485122404137,-0.017825783952600593,0.08371804044705211,0.19172084201956974
2016-09-12 00:00:00+00:00,0.04392625168358322,0.10201251830898972,-0.011610129229259969,0.076103432561756,0.176602326538692
2016-09-13 00:00:00+00:00,0.03677772054598005,0.08972317551264108,-0.012325351574685173,0.057049793364890355,0.16361120727750578
2016-09-14 00:00:00+00:00,0.03836232755554203,0.0915631024346486,0.011243969479112992,0.05685741167903391,0.16376324072515658
2016-09-15 00:00:00+00:00,0.03375245730990528,0.09235060739725265,0.015196084352345651,0.05193913183861376,0.16338311375817405
2016-09-16 00:00:00+00:00,0.028436123682672232,0.08073791421543364,0.01194253744325302,0.03644854004782694,0.18942683871956145
