,tsne1,tsne2
21222,32.121628,-15.554588
21319,14.517742,11.323078
21416,-3.3986893,-17.719421
21513,-25.694073,-15.90678
21610,54.63156,-19.790009
21707,-28.59261,-26.037872
21804,-16.771332,-31.76512
21900,46.350403,-2.3861609
21997,10.3792925,-31.609924
22094,-8.247828,9.618675
22191,4.949529,-33.126583
22288,34.67664,7.6348104
22385,-25.85741,-23.696564
22482,-7.6866837,-27.253815
22579,-26.101662,26.029442
22676,0.55334467,-27.174011
22773,3.266643,-22.279833
22870,56.228363,-19.420467
22966,16.968588,12.356605
23063,-12.533856,-25.659513
23160,-7.17413,15.882744
23257,17.562517,12.169574
23354,-6.1034913,-25.233074
23451,-12.4679575,-21.72127
23548,13.282513,15.12198
23645,-29.47471,-30.673416
23742,-21.187027,-27.015085
23839,9.661454,32.10833
23935,-10.824414,-30.961508
24032,-20.84843,-13.232154
24129,4.655798,11.140868
24226,3.5035555,1.0384157
24323,29.883821,11.7761545
24420,-41.509647,-12.650794
24517,-21.355804,-30.56982
24614,-13.6811,-24.02193
24711,-31.274256,1.0635517
24808,-6.4639974,11.227576
24905,-27.706945,-23.763191
25001,25.516315,-18.280773
25098,-5.6807456,18.052752
25195,-25.920235,-9.562223
25292,-33.18961,-35.8753
25389,6.857025,-12.444712
25486,0.20873949,-24.40781
25583,3.1616752,-22.798536
25680,1.1913242,-27.664068
25777,-18.839216,-27.539597
25874,5.3510194,-31.935707
25970,-6.6394315,5.099665
26067,-11.659573,28.55025
26164,-3.0421565,-21.322199
26261,-13.708345,-26.063145
26358,8.519445,-19.478388
26455,14.823678,2.3732958
26552,23.60751,-12.410464
26649,-21.645716,-15.6666565
26746,-5.0047116,-23.38961
26843,-15.34889,-0.88154995
26940,-25.325558,-23.79326
27036,3.0532835,-23.607536
27133,20.25252,-1.6316309
27230,10.151024,31.1094
27327,-11.833896,-26.506424
27424,-5.113107,18.34322
27521,-22.710793,-13.634406
27618,-20.265524,-26.34634
27715,41.441242,-16.737597
27812,-15.760479,0.4394604
27909,8.299988,-32.325653
28005,46.476513,-14.373571
28102,-47.596325,-13.005252
28199,5.154463,-30.413383
28296,7.9920607,-29.813892
28393,22.144821,-13.629783
28490,-8.399713,-30.308702
28587,-26.882309,27.510427
28684,4.8737907,-33.55949
28781,-18.780766,-18.650837
28878,-19.043112,-33.295864
28975,23.083296,-13.188123
29071,4.5246344,-24.437143
29168,10.394508,-30.993824
29265,8.826402,-30.413332
29362,-24.225048,-11.638249
29459,0.5124574,-25.271057
29556,23.761234,13.060174
29653,-30.15974,-31.471346
29750,7.2095366,-29.117884
29847,-27.738508,-32.494118
29944,-10.701612,-27.955637
30040,-27.639317,-25.11824
30137,21.172941,-14.779408
30234,13.296217,4.0585647
30331,39.782192,-14.264692
30428,-17.242996,-28.724941
30525,34.197746,8.353716
30622,-8.158482,3.9520671
30719,-2.000609,-13.012543
30816,-6.721205,-16.05736
30913,-3.41003,-12.40585
31010,-6.5468087,-14.969745
31106,22.678175,-17.082197
31203,-16.711737,0.25773442
31300,-31.343401,-21.676748
31397,-25.176569,-24.792635
31494,-19.084156,-30.352674
31591,36.64202,7.552667
31688,-41.53096,-11.12818
31785,-8.126298,5.738134
31882,0.5236376,-25.070166
31979,-43.43308,-13.746497
32075,37.49007,-0.80867934
32172,-21.360382,26.124043
32269,-4.8839693,15.499649
32366,-22.251783,-33.238777
32463,-9.1319475,3.7478995
32560,-14.660915,-30.09783
32657,10.318473,-2.519841
32754,-19.875206,6.003688
32851,-20.783113,-16.91316
32948,-26.450644,32.25948
33045,-12.538429,-11.4993305
33141,-15.519697,-29.440556
33238,8.019874,-33.175797
33335,11.997211,0.020156436
33432,-31.734728,18.538427
33529,-28.491362,-31.595345
33626,-25.392258,-4.69771
33723,-18.309452,-15.9031105
33820,16.537678,-4.4079566
33917,48.981544,-18.494005
34014,28.7348,-9.245066
34110,-5.737671,-27.450075
34207,1.0482628,-10.23262
34304,29.077497,18.78637
34401,15.256019,28.794502
34498,1.0660841,-29.23678
34595,23.068073,-10.790214
34692,30.538399,18.779953
34789,41.364548,-7.3840833
34886,14.00716,2.640841
34983,6.285706,14.349145
35080,5.4057255,-26.098808
35176,13.900084,19.432264
35273,-1.0716625,-9.492377
35370,47.69258,-4.2276483
35467,-31.711578,18.12483
35564,-17.620314,-20.166601
35661,-10.768611,-33.071705
35758,-5.124489,31.239359
35855,40.501495,-4.3755302
35952,45.942417,-5.2979503
36049,9.654455,-21.946611
36145,-11.811941,-3.4200413
36242,34.322647,-0.602416
36339,9.072171,-23.30531
36436,45.671757,-6.087649
36533,-10.097839,-31.809319
36630,-7.854283,12.359969
36727,-32.0765,-26.94049
36824,-19.782381,-12.268764
36921,-22.800074,-11.292068
37018,-27.216463,-34.73978
37115,-31.006638,-22.672873
37211,-1.9210266,7.917237
37308,16.018362,31.762222
37405,-31.98283,-36.71728
37502,-1.2081143,22.483034
37599,3.3074307,-26.55199
37696,-25.151733,-14.5777025
37793,2.2447405,-27.852768
37890,21.019173,2.8859231
37987,31.369148,17.679605
38084,43.96058,-19.918568
38180,22.791441,-11.831568
38277,27.06959,19.899582
38374,-27.883415,-16.804674
38471,1.213099,-14.221973
38568,55.60959,-15.120923
38665,9.0992,-22.590372
38762,-1.4311785,-21.361265
38859,41.07445,-16.593592
38956,-9.351688,-29.366835
39053,-23.247355,-11.494711
39150,8.660695,-10.86095
39246,15.626052,16.105068
39343,-23.90077,-32.367702
39440,-11.506002,-14.480748
39537,38.599888,16.43702
39634,20.56634,8.879042
39731,-29.607273,-33.02929
39828,-14.29631,5.8391814
39925,-8.515425,-29.071598
40022,47.030434,-9.350167
40119,13.678026,16.787374
40215,38.118538,13.007948
40312,4.458077,-12.875377
40409,-26.683903,-31.398026
40506,-26.05093,-28.602753
40603,-27.021463,-12.103487
40700,2.8872833,-21.083435
40797,24.391832,4.067147
40894,-11.5093775,-11.21759
40991,1.9641104,-22.875826
41088,-5.092545,14.507216
41185,0.12155954,15.908944
41281,-10.54154,-32.05113
41378,-5.131943,12.406118
41475,44.835766,-0.6324305
41572,-30.583307,-36.469788
41669,-24.143373,-13.309689
41766,7.883848,-33.152473
41863,-7.233413,18.68033
41960,-33.228382,15.2406845
42057,4.130413,-4.555151
42154,-32.25003,16.900192
42250,43.042442,-11.599278
42347,-32.375393,18.86953
42444,-25.964008,-31.065062
42541,-32.810196,13.951038
42638,-5.691518,14.764818
42735,-29.672165,-33.828434
42832,10.92429,30.605522
42929,-4.69633,7.929244
43026,-30.866428,-25.529957
43123,-18.221651,32.344612
43220,25.861357,12.657694
43316,-7.026196,25.07569
43413,55.26178,-16.858873
43510,-16.519602,-0.4345212
43607,-26.103151,-33.81764
43704,-11.518634,-22.992193
43801,-12.980856,30.898312
43898,47.42901,-6.8243856
43995,-17.787413,-33.568726
44092,-33.49128,17.31673
44189,11.93091,12.847534
44285,-32.873135,-38.68339
44382,-24.024874,-17.905718
44479,-15.522587,-0.4633145
44576,-10.775107,-26.799866
44673,11.878568,31.013214
44770,-25.700815,-32.24282
44867,-25.526386,-24.911047
44964,-32.668793,14.46155
45061,26.196686,13.562909
45158,-10.760358,-30.606777
45255,-30.440691,-36.12389
45351,-22.168163,-12.678718
45448,6.5629244,30.276518
45545,0.5975087,-27.206186
45642,-25.818905,-29.081312
45739,39.96851,-5.513446
45836,-31.166336,15.459992
45933,-18.443026,-24.824125
46030,-5.587492,10.046859
46127,-6.379113,12.077374
46224,-26.704296,-10.867024
46320,-23.080252,-33.615566
46417,12.052538,-0.32995763
46514,-26.32582,-13.935577
46611,2.175989,-21.36765
46708,38.93906,-6.1338477
46805,-30.638193,-34.132793
46902,11.398747,15.934932
46999,-5.103029,-24.211325
47096,-32.250237,-8.665185
47193,5.4279966,-33.3289
47290,12.764516,-30.932526
47386,-41.462322,-13.225803
47483,-9.9253,-25.847134
47580,-19.470467,-14.6713915
47677,-4.8054733,13.23977
47774,29.957369,-11.001845
47871,20.978754,-4.672174
47968,-13.231532,-31.242737
48065,11.989492,15.695759
48162,-12.933263,-25.989134
48259,-3.5471644,-10.190053
48355,-18.248821,-26.666231
48452,14.38674,9.742902
48549,-21.183506,-33.416985
48646,-20.777357,-10.312514
48743,-10.387566,-30.350485
48840,-26.661959,-21.469004
48937,-18.155214,-28.207996
49034,-19.204325,12.993873
49131,-30.455463,-30.11358
49228,-29.944105,-37.099674
49325,-6.100626,9.11526
49421,4.021384,13.169911
49518,-17.935482,-29.064869
49615,-19.149252,-20.825396
49712,-30.936056,-35.589725
49809,-27.321121,-35.79792
49906,-32.40204,-36.065704
50003,-30.248095,-36.037094
50100,-27.72354,-34.5254
50197,-30.22371,-35.175716
50294,-8.21913,-27.466835
50390,-33.72682,-27.593397
50487,-31.89071,-26.207533
50584,-18.912157,-21.737206
50681,-15.555906,-30.08997
50778,-22.772493,-28.175526
50875,-31.489096,-27.343716
50972,27.340754,4.7499523
51069,-11.395259,-3.8806603
51166,-25.454885,-12.586141
51263,-20.530039,22.234615
51360,-33.08479,16.473099
