root_code,calibration_trades,calibration_start,calibration_end,q50_size,q90_size,q99_size,root
0,1744463,2023-06-22 00:00:04.064891+00:00,2023-07-21 20:59:56.098268+00:00,1.0,4.0,13.0,GC
1,553017,2023-06-22 00:00:03.966970+00:00,2023-07-21 20:59:58.213461+00:00,1.0,4.0,12.0,SI
2,706187,2023-06-22 00:00:00.162726+00:00,2023-07-21 20:59:55.113014+00:00,1.0,3.0,11.0,HG
3,284708,2023-06-22 00:01:10.756358+00:00,2023-07-21 20:59:58.013231+00:00,1.0,2.0,6.0,PL
4,33948,2023-06-22 00:33:24.040162+00:00,2023-07-21 20:58:39.199421+00:00,1.0,2.0,4.0,PA
