,rpc1,rpc2,rpc3
0,0.5541114274678156,0.7031986300101017,1.1416214716602011
97,-0.18928370272209472,-0.06237298724775066,1.4237957347440677
194,1.2592322254921744,0.3739202570910659,0.09087391892477677
291,-0.4298199357336988,0.7527314529644711,2.253931403571529
388,1.0835076444290186,3.7870081801247544,3.249127313609569
485,-0.40806610010166633,-0.03344746174902838,1.2710677944641458
581,-0.12262397515390677,1.135727164537764,0.7969995974706708
678,-1.5248484000211113,-0.79976790471015,0.07826105569495126
775,0.8920764708170401,-0.20701841405802238,-0.02614745897729908
872,1.6155038652277964,-0.39602941832132466,-0.23695454993302303
969,-0.9800262790255978,-0.09662762670106678,-0.11123724203895982
1066,-0.10427983664370388,-0.20007333653591355,0.14700909723085032
1163,0.8681579611421177,-0.3372544462366381,-0.19256205215366565
1260,12.823908316336428,-3.9324324321590547,2.531187147884854
1357,2.5147263596672587,-1.003047214157803,-0.7122874128646889
1454,-0.8567214634268181,-0.2442554356352225,0.700214879691902
1550,-0.013225050381803438,1.5843180325199555,0.8047331697136803
1647,-0.8137953710882886,0.04150928746949775,0.5758775866050533
1744,-1.3969887893124873,-0.8162039988826446,0.24769904146324875
1841,0.22645233966582934,1.0385075251509066,1.486136418012466
1938,0.11827178965715957,0.7576359862681692,2.7526222665445172
2035,-1.200354724270571,-0.13097845885642567,0.10792271835135006
2132,0.5448830406752467,0.1982802309802377,1.708088664166462
2229,2.0973406959291148,-0.4727738584651783,1.2121591572292765
2326,-0.17225180453794714,-1.2864249044305616,-0.028677778546561575
2423,-0.5020037415921713,0.8753302865619433,1.2705319454500155
2520,-1.1052668842864348,-0.007968678677132135,0.1153755307611466
2616,-1.0666218699435395,0.17953675455695975,0.5940951441572713
2713,-0.41110951327587575,0.32220426324387186,1.4463749723610972
2810,0.038011979380414895,1.1287399164636125,2.088432123672817
2907,0.9579584406087469,1.9390521944958123,2.0988731539402568
3004,0.705414977216432,1.7986877476292706,1.9079325831092233
3101,0.8631116273551078,0.49796636854494125,0.9510884188710168
3198,-0.8899096462293911,0.2428810337788033,0.5106106663790164
3295,2.1148126171164967,-1.5746591918982966,-0.6382463315759619
3392,-0.12576489941068847,-1.44249306451391,-0.24625229348859334
3489,-1.0365305827822464,-0.18617157580142504,1.0396215458953695
3585,0.1306980300096635,0.9378979161859552,1.1641580282604775
3682,0.6065296938784925,0.810174547763425,1.8303915420557273
3779,0.875338610063614,-0.1779573996637058,0.5973671246702976
3876,0.5964812538902322,1.2966593828157813,3.959053765850297
3973,0.16936396841352852,1.3301997036770088,2.760689307649609
4070,0.037074662406069714,0.31968665450853107,0.2465845142638051
4167,-0.4403434176597012,0.23617494405711073,0.9636110452257678
4264,-0.6456707547495598,1.0360928279039716,0.22933128458530985
4361,-0.24407966824682636,0.39125013008260934,0.6297720754518955
4458,-0.109195142710661,-0.11132256835106688,0.7695352406109122
4555,-0.765910792858445,-0.19299721007516954,1.3665768037757926
4651,-0.12905339534953986,-0.5472450414288591,0.09232694779191271
4748,-0.575317622007475,0.21768815302569852,0.4354365421160056
4845,-1.6326878215414922,-1.0401571159410685,0.0868819588779987
4942,-0.4675314447360813,-0.637633565302335,0.5009340076309157
5039,2.069697327993993,2.144149762576235,4.441033267879721
5136,0.5941237287136014,0.47728186085359503,2.5132267009783034
5233,-1.2196849328971178,-0.954968978996595,0.029547294386779124
5330,1.2033391467687093,1.724203629113781,4.056443427465202
5427,-1.040094002787671,0.6753923632838171,0.28142605940949317
5524,0.4078916948076736,0.26900093167671557,0.6615640586863446
5620,1.3146513452121067,0.7249397492473693,0.2647874141411716
5717,5.247818835411618,1.5754598710431977,3.116013460676356
5814,-1.2485620241758704,-0.5257078132625872,0.38181274217964367
5911,2.0476689771444962,-1.9777308260708073,-0.5474915067326648
6008,1.5644265321058324,1.1792204824061339,0.286449598301175
6105,0.4128965101809152,1.5003430569521226,2.0659603575577417
6202,1.6837996029080498,1.3481740246929872,2.3252590296172286
6299,-0.4052837584721888,0.899228212062282,-0.18613081557112998
6396,-0.7435587559139519,-1.0128539605119384,0.2918853763672332
6493,0.24669680051018872,-0.0882401470618491,-0.13104965755453601
6590,-0.3571032827470777,-1.464899215364271,0.512771293408785
6686,1.5822257202848502,-1.9054099969518699,0.24032807716664836
6783,0.8960130861706903,0.9548865452835494,3.2982164364366255
6880,-0.5171099098772252,2.133793882471731,-0.6957816858864754
6977,0.6826593989580867,1.5207955653944436,1.6019644527707753
7074,-1.8761712057357376,-1.3680892692911968,0.227437637163354
7171,-1.064838166247289,-0.4420947844386083,0.6503938754777209
7268,2.0583633073328307,0.04495775900533147,1.3005516556758463
7365,-0.7985470204362048,-0.26323625904690445,0.6337691766579201
7462,-1.3566539680223992,-0.28056826851720684,0.05099235184011812
7559,-0.9803688562641226,-0.49164357655751656,0.39098384911511264
7655,-0.46282884215383713,0.29212452631225094,0.40719514639854215
7752,-1.2442837906142248,-0.47043809742590925,0.6556242587539906
7849,0.28640263641862107,0.6371307687318073,1.7889234883341616
7946,0.8674671806586758,0.7368128799555687,0.033950528825646066
8043,0.17976359966999544,1.2700324247727426,-0.17780018789270097
8140,4.890661149269148,-2.9912822542983166,-1.1047716318775027
8237,-0.06936864110851892,-1.1033917578907901,0.32345238377311514
8334,-1.2840444732416831,-0.31262556832180655,0.3948706832741571
8431,-0.48569399179595274,-0.2549765098193154,0.946761408245846
8528,4.431745591385713,-1.8502010706097223,-1.1054379336752054
8625,2.367541148051762,1.3055262610761798,0.24278422864692453
8721,0.9096878208770589,0.6266425724122756,0.8252598829026664
8818,-0.0961267266424839,0.09283016988678264,0.18123112786918694
8915,-0.2925062076224906,-1.2634717695332056,0.10429441275259721
9012,-0.4744215916767057,0.34318954979260685,1.337854978089075
9109,1.1365224502883629,1.3875420432177235,2.8504051931652388
9206,-1.1912282189142953,0.16783074775441778,-0.07582216755259516
9303,-1.183149163226322,-1.0040764805288802,-0.09721338429574344
9400,-0.6067963711334126,-0.06437811108234677,-0.0645346511804955
9497,0.8129608166311608,1.1069443295959218,0.8804229631174035
9594,-0.09418529122284403,-0.11282688207407368,-0.6330830705242952
9690,1.420835632561849,1.6168377715697597,1.287510011400573
9787,1.466537906923282,0.6924919405756917,0.046407311794433304
9884,0.7823857976174986,0.21134425472094395,0.6214417714729219
9981,0.39356141317991233,0.7369688006310336,0.03171483544261404
10078,-0.12012156759064657,-1.31194547474316,0.034881907166315985
10175,-1.252090158437686,-0.897470991428849,0.6319980011382806
10272,0.23504967059835002,-0.32308706917260543,-0.31052830116595953
10369,-0.11905157391700522,0.5594090375146032,-0.3332872391628655
10466,0.6058332650323659,2.140828371754615,0.8111259310183112
