root,chunks,rows,raw_rows,first_start,last_end,downloaded
GC,30,41136248,50643841,2026-05-24T00:00:00Z,2026-06-23T00:00:00Z,True
HG,30,14509173,15964487,2026-05-24T00:00:00Z,2026-06-23T00:00:00Z,True
PA,30,2585587,3278290,2026-05-24T00:00:00Z,2026-06-23T00:00:00Z,True
PL,30,16497576,17536652,2026-05-24T00:00:00Z,2026-06-23T00:00:00Z,True
SI,30,23414152,36240697,2026-05-24T00:00:00Z,2026-06-23T00:00:00Z,True
