,pc1,pc2,pc3
0,-0.8156052920725495,-1.060001735558957,-0.5739869634483856
97,0.2192468735264482,-0.8297694089631443,-1.0978025335063772
194,-1.0430360062683763,-1.125155207121989,0.5727337101079916
291,-0.2814310442468217,-0.5190369112512556,-2.112776958720464
388,-3.9249131331897136,0.8783052184838699,-3.8193846450101203
485,0.31957226858079607,-0.4782983713707203,-1.1263751264003465
581,-0.7227779260332213,-0.09202574775689042,-0.6844816682731977
678,1.7718471252348236,-0.06343071545862641,-0.0525717979869393
775,-0.3348176183546088,-1.1798155924618492,0.6857269486222723
872,-0.8322285098362532,-0.8886460485188258,0.6633589201112305
969,0.7857666822122165,0.3973624761899343,-0.06817704070013855
1066,0.2563857985611513,-0.258531693648936,-0.024837232923002505
1163,-0.35713429735398555,-0.47874026895854915,0.414312108005162
1260,-6.703233640414897,-6.263735580853453,-0.3972363632895561
1357,-0.9769214094652579,-1.5022027326221272,1.4465744584844953
1454,0.8609917738939737,-0.375228944787995,-0.5359903685156007
1550,-1.2558079443901633,0.6013845741624336,-1.0781707109087495
1647,0.571811170180642,-0.006956682412959245,-0.5902715649203045
1744,1.6978643877375328,-0.23665875091249575,-0.14800813727597695
1841,-0.8909572419176627,-0.6727365270736466,-1.1432744722866357
1938,-0.6270279709624063,-1.2528041807163115,-2.2563003526645145
2035,0.9565395583469004,0.43340748174278393,-0.33089809876631526
2132,-0.5365782871450875,-1.0284716771641285,-1.3129873852608351
2229,-1.108420929021269,-1.911706562661213,-0.3909809264049022
2326,1.1605404948555247,-0.7665050454446778,0.35025190553245666
2423,-0.32429643812418224,0.06570190820998915,-1.3360916531066982
2520,0.82050126842235,0.31936313790376153,-0.2564713329280597
2616,0.6274174925797426,0.256243784338158,-0.7405772420574032
2713,0.05381684267782898,-0.4179444824948725,-1.3148846915989292
2810,-0.9240516194725398,-0.37214141612173474,-1.9971860585545567
2907,-2.1140654825710157,-0.8325104857338218,-1.6685058215616635
3004,-1.8577481698829543,-0.5372999307168382,-1.639101336084858
3101,-0.9091364772284973,-1.0575099083895505,-0.40872129635706156
3198,0.46534557129417975,0.187019008727099,-0.604833783316541
3295,-0.21312102106234684,-1.8220903823824914,1.5129967519710756
3392,1.2163809028154056,-0.6060563112336188,0.47198775499012213
3489,0.9474042989099439,-0.4478529286175936,-0.8571841462248209
3585,-0.8223998899809043,-0.1464873800844784,-1.11627554518273
3682,-0.9886675233597915,-1.1195305651155432,-1.313141160649666
3779,-0.5469165019234271,-0.5005750218981985,-0.45391070152851437
